arm,model,forcing,tap,component,horizon,n_draws,base_med_cm,policy_med_cm,avoided_med_cm,avoided_mean_cm,avoided_p2_5_cm,avoided_p97_5_cm,avoided_p05_cm,avoided_p95_cm
noegu50,Ladrillo L24,spliced,false,glaciers,2050,2000,3.9865205168516265,3.9774921949873177,0.008788473692515453,0.009019934468495933,0.005284291426549292,0.014214282730151729,0.005680906917396733,0.013238897303518104
noegu50,Ladrillo L24,spliced,false,glaciers,2100,2000,9.563582617222325,9.514082049950986,0.04972119842056344,0.05085916237241866,0.0304679329328863,0.07794114456599362,0.03336111801528236,0.07164471766693782
noegu50,Ladrillo L24,spliced,false,glaciers,2150,2000,13.299792585848136,13.218044430862996,0.08832916408536651,0.08935302455939424,0.05564394098773753,0.12881428883395443,0.060645954089574426,0.1215827664745083
noegu50,Ladrillo L24,spliced,false,glaciers,2200,2000,15.655363668690153,15.537880364244007,0.12028796660354324,0.1216710399000618,0.07605153002497826,0.17349010178069238,0.08340530011994814,0.1638314885416637
noegu50,Ladrillo L24,spliced,false,glaciers,2300,2000,18.208188009974734,18.020695114619656,0.1746514296172723,0.17556791627388244,0.104494771843867,0.2540296473398688,0.11390611442129793,0.24009763863304556
noegu50,Ladrillo L24,spliced,false,gis,2050,2000,3.2760727310831586,3.2681395150187744,0.007178770790178035,0.007425653480154906,0.004441572343180411,0.01177606374985026,0.004758860025601131,0.01101642605780837
noegu50,Ladrillo L24,spliced,false,gis,2100,2000,8.230142941945065,8.190011056269533,0.048770916857098,0.054230070925465626,0.029426332581179483,0.1072212725400369,0.03140936749049787,0.09269970347501405
noegu50,Ladrillo L24,spliced,false,gis,2150,2000,11.972759682061028,11.86279038796854,0.10605151638216448,0.12100370426589832,0.06091234955546514,0.25336247629355224,0.06613986463745106,0.21722434186991074
noegu50,Ladrillo L24,spliced,false,gis,2200,2000,14.683303886635823,14.51572999655739,0.17510927894472594,0.19723518891114225,0.0936884183026491,0.41422802814894394,0.10076481449217693,0.36384433194686777
noegu50,Ladrillo L24,spliced,false,gis,2300,2000,17.51892374401388,17.207558304850444,0.3190641506220615,0.359751456277402,0.15818423034523343,0.7910748631715899,0.17099987486764778,0.6841640994113748
noegu50,Ladrillo L24,spliced,false,ais,2050,2000,1.9211402951059242,1.9189420337208634,0.0024267750890982764,0.018990032763237744,0.0009186675734895733,0.005955364203661474,0.0011158740883460139,0.004532518373271954
noegu50,Ladrillo L24,spliced,false,ais,2100,2000,7.718449473823263,7.392873900918301,0.02768321642274696,0.3179617901680007,0.00928889718189565,2.3237066826311477,0.011343274682197979,1.6188499410846995
noegu50,Ladrillo L24,spliced,false,ais,2150,2000,39.85194298048359,37.55609004753727,0.11064364181270747,0.873687079100541,0.026636863505732356,5.814868502482892,0.03205755292716752,4.110659499441081
noegu50,Ladrillo L24,spliced,false,ais,2200,2000,78.99427324946778,75.98415766216948,0.2942231184561308,1.5541634265442161,0.05206630859062193,9.54599447847644,0.06348948660595984,7.261898231496777
noegu50,Ladrillo L24,spliced,false,ais,2300,2000,154.28542380339678,147.08422760954466,0.9366721225596137,3.4770495653921722,0.11980460511954782,23.14422056429211,0.14934226801095302,17.568996510703084
noegu50,Ladrillo L24,spliced,false,te,2050,2000,8.559882462353027,8.537749032462642,0.023337729511017535,0.02358734180757529,0.016189674590519988,0.03219791859165358,0.01746146906205217,0.030265476660292643
noegu50,Ladrillo L24,spliced,false,te,2100,2000,20.284986319439568,20.168529855066915,0.11505296297889522,0.11699650162120881,0.07508237349746412,0.16943242242737658,0.08037242046922675,0.1581248957584309
noegu50,Ladrillo L24,spliced,false,te,2150,2000,29.640208521650976,29.39761374858816,0.24889244275546396,0.25424004266704264,0.1484473283618229,0.38756001602580575,0.16788481522518292,0.354545788483113
noegu50,Ladrillo L24,spliced,false,te,2200,2000,37.168746803737285,36.747246484906945,0.4109435027074255,0.4215356067927221,0.23320636799011954,0.6651989626418437,0.2675381521140833,0.6068960317638591
noegu50,Ladrillo L24,spliced,false,te,2300,2000,45.808473650864315,45.06950117675175,0.79816961481826,0.8233475318994538,0.422716525531098,1.371967614712925,0.492565845965627,1.24049644585167
noegu50,Ladrillo L24,spliced,false,lws,2050,2000,1.0367873592541808,1.0367873592541808,0.0,0.0,0.0,0.0,0.0,0.0
noegu50,Ladrillo L24,spliced,false,lws,2100,2000,2.596380650083528,2.596380650083528,0.0,0.0,0.0,0.0,0.0,0.0
noegu50,Ladrillo L24,spliced,false,lws,2150,2000,4.2307986469202445,4.2307986469202445,0.0,0.0,0.0,0.0,0.0,0.0
noegu50,Ladrillo L24,spliced,false,lws,2200,2000,5.648882730278795,5.648882730278795,0.0,0.0,0.0,0.0,0.0,0.0
noegu50,Ladrillo L24,spliced,false,lws,2300,2000,8.483616077316128,8.483616077316128,0.0,0.0,0.0,0.0,0.0,0.0
noegu50,Ladrillo L24,spliced,false,total,2050,2000,18.851110448699735,18.810411868130615,0.04173738622039025,0.05902296251946386,0.03102360553727319,0.06327689482536504,0.03268860455876705,0.05679733677413239
noegu50,Ladrillo L24,spliced,false,total,2100,2000,52.13516308288419,51.576244247179446,0.2536829990599401,0.5400475250870933,0.1637077558466986,2.597820296942541,0.17595773832409556,1.871680699233456
noegu50,Ladrillo L24,spliced,false,total,2150,2000,100.5265679462041,97.81202527188888,0.657595452966703,1.3382838505928762,0.34236338648961534,6.221676578728472,0.3707163568528827,4.498431060187426
noegu50,Ladrillo L24,spliced,false,total,2200,2000,155.0777869794607,150.65348101700275,1.2342481462183201,2.2946052621481425,0.539816669948339,10.189180550226647,0.5919403085759753,7.9897181919614635
noegu50,Ladrillo L24,spliced,false,total,2300,2000,249.2032871641165,242.38010608242405,2.523741385598697,4.83571646984291,0.9830058571663638,24.393268541957575,1.0787605016047024,18.9593583690909
