baseline,zone,HadCRUT5,BerkeleyEarth,GISTEMP,mean,spread_ratio,spread_abs,cv
1850-1900,south,1.9717624623835641,1.510165779381496,2.2846646737808634,1.922197638515308,1.512856869738216,0.7744988943993674,0.16550032525198294
1850-1900,all,2.3320724904339976,1.669577939782043,3.0394629727281277,2.3470378009813895,1.8204978038491082,1.3698850329460848,0.23832310221900188
1850-1900,central,2.416448663130385,1.679102039184106,2.9816948530576566,2.359081851790716,1.7757675135136484,1.3025928138735505,0.22607362291006694
1850-1900,north,2.5867126542798515,1.8404063248499491,4.05623625949514,2.827785079541647,2.2039895237948883,2.215829934645191,0.32553030612113737
1901-1930,south,1.1409961910716293,0.9570998027899817,1.1259967941409676,1.0746975960008596,1.1921391977572064,0.18389638828164756,0.07758401905743562
1901-1930,all,1.6058439113409442,1.1694504871392606,1.6531417236367019,1.4761453740389687,1.4136055710068232,0.4836912364974413,0.14749493287102847
1901-1930,central,1.680277793710876,1.1354106677731184,1.5763184591062753,1.4640023068634231,1.4798855087440792,0.5448671259377575,0.16133427780937598
1901-1930,north,2.046383550373619,1.466156367213016,2.3960833415324645,1.9695410863730334,1.6342617984786478,0.9299269743194485,0.19472037138579537
1961-1990,south,1.1561130275752756,1.0407636345095468,1.0847553357469366,1.0938773326105862,1.110831498373871,0.11534939306572878,0.043451758233745315
1961-1990,all,1.7069926698065006,1.338288384809702,1.5800770029933184,1.5417860192031736,1.2755043600331526,0.3687042849967985,0.09919579178169304
1961-1990,central,1.8078483567365198,1.2958354775853214,1.516530679554065,1.540071504625302,1.395121825268506,0.5120128791511984,0.1361560991126835
1961-1990,north,2.2139445203766557,1.7464280533257144,2.2513245983006565,2.0705657240010087,1.2891024019074075,0.5048965449749421,0.11093944279307909
1971-2000,south,0.7189191020167974,0.5754741983613466,0.6573557390929554,0.6505830131570332,1.2492638315738704,0.14344490365545082,0.09031380993437488
1971-2000,all,1.2686174805878532,0.8684516871336941,1.1404174985801596,1.0924955554339022,1.4607807197368659,0.40016579345415904,0.15271855146611787
1971-2000,central,1.3701059853414674,0.8331502952310019,1.0752060857169499,1.0928207887631398,1.644488387250211,0.5369556901104655,0.20091566402702649
1971-2000,north,1.7727143927004119,1.260953584043936,1.8030995924201842,1.6122558563881775,1.4299492187789824,0.5421460083762482,0.154266924012881
1995-2014,south,1.3488452481127426,1.3761981074621579,1.4407156916946637,1.3885863490898547,1.0681104401787107,0.09187044358192109,0.02773707972669701
1995-2014,all,1.7844634947253395,1.6483782358655332,1.810398550023329,1.747746760204734,1.0982907385165286,0.16202031415779583,0.040656585580900406
1995-2014,central,1.9018438517689833,1.6579028176706823,1.7831591903674722,1.7809686199357124,1.1471383192659224,0.24394103409830104,0.05592493565953096
1995-2014,north,2.132270371757986,1.9518422579860863,2.287174168408258,2.1237622660507767,1.1718027719966302,0.3353319104221715,0.06452266809765811
