component,window,ours_accel_shipped,ours_accel_median,ours_sd,ours_p2.5,ours_p16,ours_p50,ours_p84,ours_p97.5,obs_accel,obs_se_ar1,obs_band_corr,obs_band_indep,obs_se_mc,difference,sigma_B,sigma_BC,sigma_MC,z_A_model_only,z_B,z_BC,z_MC,obs_percentile_in_ensemble,verdict,shipped_ratio
ais,1993-2024,0.0006006679077708,0.00058457338032955,0.0002598479977043146,0.00017768062451053,0.000358526639336288,0.00058457338032955,0.000894230790130424,0.001174675437094515,0.0008262092819011844,0.0006077096521522296,0.00018119524458022672,0.00020517097820186146,0.0004662241347492449,-0.00024163590157163443,0.0006609326767757253,0.0006920456152062768,0.0005337470615690765,-0.9299125015640719,-0.36559835829334986,-0.34916181283745357,-0.45271612523971216,79.5,UNRESOLVED,0.727
gis,1993-2024,0.0009173072159163,0.0009182678639127,7.364241818556269e-05,0.0007511773820987201,0.000849522073367976,0.0009182678639127,0.000974453239357024,0.0010247162198657523,0.001458149942450543,0.0019687030865689187,6.655881182068417e-05,0.0001439929463635506,0.000721765440247085,-0.0005398820785378429,0.0019700799600072595,0.0019753351658451943,0.0007255126163556949,-7.3311291486580314,-0.2740406935238575,-0.27331163231068256,-0.7441387873441977,100.0,UNRESOLVED,0.629
gsic_hind,1993-2023,0.0013461418118966,0.0013618400415457,0.0002953041740545797,0.000889946634712045,0.0011005056525141281,0.0013618400415457,0.0016750490878636038,0.0020181316549507298,0.00043619607645030135,0.00012860579801222307,0.00034201149001903487,0.00046442573598478687,0.0001226049510593704,0.0009256439650953986,0.0003220931643118466,0.0005651860496698668,0.00031974447491446686,3.1345441291470406,2.8738392106924744,1.6377685996249916,2.894949053749913,0.0,BAR-DEPENDENT,nan
te,1993-2024,0.0014878802104203,0.00148788021042035,6.978937025405366e-05,0.0013317128189486225,0.0014180820419981161,0.00148788021042035,0.001546307020124336,0.0016104596616735873,0.0004105358949039205,0.00092881926029838,0.00020353077057138247,0.000483622008680524,0.0008456805448323693,0.0010773443155164294,0.0009314374775054346,0.0010495075139234935,0.0008485553253079203,15.437083206147038,1.1566469479001005,1.0265236801296167,1.2696217717159304,0.0,UNRESOLVED,nan
total,1993-2024,0.005189514237624,0.0051778317813981,0.00039331344218516897,0.004478680881614048,0.004797849214246996,0.0051778317813981,0.00559356514565688,0.006027585580468305,0.009093335711771225,0.0027843107166049272,0.00022144713827252716,0.0030167690996043845,0.002315228690269175,-0.003915503930373125,0.0028119533478357336,0.004124072917727381,0.002348399316992122,-9.955174449719761,-1.392449819050788,-0.9494264549839262,-1.6673075579787608,100.0,UNRESOLVED,0.571
