component,draw,chain_seed,rate,accel
ais,1,2026,0.031858616870438186,0.0004264377863305205
ais,2,2026,0.03145221565473393,0.0005260159713093766
ais,3,2026,0.03245544939473695,0.0006261181245082512
ais,4,2027,0.03203924261612048,0.0008502865851583926
ais,5,2027,0.03145117113790917,0.0008296866981573719
ais,6,2027,0.03266938995752079,0.0005101226231138484
ais,7,2028,0.030750956632144076,0.0005344817204687962
ais,8,2028,0.031010812554503272,0.00044970788055033115
ais,9,2028,0.02537756537944938,0.0010532213930906377
ais,10,2029,0.030518198025225787,0.0007036284788032703
ais,11,2029,0.03153941799389617,0.0004981395978567903
ais,12,2029,0.032403811405773995,0.0005669060787072466
gis,1,2026,0.062041223383526856,0.0009149520655192745
gis,2,2026,0.06242153737151861,0.0009277675797439389
gis,3,2026,0.06336263160364745,0.001016834367504102
gis,4,2027,0.06351143838908117,0.0009641961495829674
gis,5,2027,0.06264526223824168,0.0009229403151302466
gis,6,2027,0.06340523367855146,0.0008960933271020307
gis,7,2028,0.06324051077381222,0.0009699126683482507
gis,8,2028,0.06190879278051097,0.0009207743006259188
gis,9,2028,0.06528337269983714,0.0009301962210189112
gis,10,2029,0.06261962150931528,0.0010080822372298813
gis,11,2029,0.06482998683316425,0.0009639929379186651
gis,12,2029,0.06378353777885515,0.001030745697976007
gsic_hind,1,2026,0.06935643830642925,0.0014342734239730193
gsic_hind,2,2026,0.07288432944314686,0.0014797940642620128
gsic_hind,3,2026,0.06719686395589841,0.0013098494909668111
gsic_hind,4,2027,0.0583506475349127,0.00127095228315514
gsic_hind,5,2027,0.054112151875747375,0.001241072035849132
gsic_hind,6,2027,0.04523937247197591,0.001144447351876911
gsic_hind,7,2028,0.06170389592533148,0.0014469478517775127
gsic_hind,8,2028,0.056742052682853296,0.0010844375830387396
gsic_hind,9,2028,0.06377381303861177,0.001369874010032019
gsic_hind,10,2029,0.04847400739533457,0.0013338791893043012
gsic_hind,11,2029,0.035925559909792355,0.0009428462977870808
gsic_hind,12,2029,0.046700420901953414,0.0012832709544969136
te,1,2026,0.14439082999649513,0.001495310993021255
te,2,2026,0.14647337381291042,0.0015168778104030197
te,3,2026,0.13472967898537377,0.0013952601427524595
te,4,2027,0.14906064287768966,0.001543671560910332
te,5,2027,0.13751536850533938,0.0014241087348856895
te,6,2027,0.14254320573480767,0.0014761770018284685
te,7,2028,0.14838094702743268,0.0015366326327676835
te,8,2028,0.15683498263435328,0.0016241825996092774
te,9,2028,0.14953067128333697,0.0015485391736390125
te,10,2029,0.1475139819451795,0.0015276543450323048
te,11,2029,0.13597619986355905,0.00140816910914752
te,12,2029,0.14858906321570872,0.001538787883375797
total,1,2026,0.3171445883543516,0.005052148740837651
total,2,2026,0.32594811968401144,0.005296505271436216
total,3,2026,0.3167323138326118,0.005222636283325327
total,4,2027,0.3110678353063652,0.005418494779934138
total,5,2027,0.29569418348266113,0.0052423463537756955
total,6,2027,0.29998511083629614,0.004804991321824757
total,7,2028,0.31513195139391265,0.005315298253349904
total,8,2028,0.31592096207938997,0.00488228439026276
total,9,2028,0.31177759602794014,0.00567520806455067
total,10,2029,0.2964777430570397,0.005339247328440725
total,11,2029,0.2880992185674547,0.004667452787033399
total,12,2029,0.3032018724890281,0.005250672698108188
