quantity,basin,v0_m,vol_share,loss_share,rate_scale,fit_cm,want_cm,calib_window_cm,tap_onset_K,tap_V_m,tap_tau,m2300_SSP1-2.6,dorm2100_SSP1-2.6,m2300_SSP2-4.5,dorm2100_SSP2-4.5,m2300_SSP5-8.5,dorm2100_SSP5-8.5,g4_rel_to_base,all_pass
basin_fit,south,4.62,0.6285714285714287,0.7981913218430523,0.7009935869207333,1.3479679973070509,1.3479679973070504,3.4334267560919383,,,,,,,,,,,
basin_fit,high,2.73,0.37142857142857144,0.20180867815694783,0.19037461349189883,0.340810069328082,0.340810069328082,0.7807428762654022,,,,,,,,,,,
p1_control_single_basin,ALL,,,,,4.329654052116854,5.7806307509160195,,,,,,,,,,,,
total_prediction,ALL,,,,,4.214169632357341,5.7806307509160195,-1.5664611185586788,,,,,,,,,,,
p2_2300,SSP2-4.5,,,,,24.562527925955855,24.092068854976677,15.413216357908638,,,,,,,,,,,
p2_2300,SSP5-8.5,,,,,65.63154130694232,62.7128976927479,39.690040612241546,,,,,,,,,,,
p3_cell,high,,,,,,,,4.0,0.5,50.0,0.13129374469624594,0.0,0.24562527925955857,0.0,1.1480574468752804,0.04195828880941982,1.46020454397449,False
p3_cell,high,,,,,,,,4.0,0.5,100.0,0.13129374469624594,0.0,0.24562527925955857,0.0,1.0914990466439245,0.021803162392241216,1.239140219742957,False
p3_cell,high,,,,,,,,4.0,0.5,200.0,0.13129374469624594,0.0,0.24562527925955857,0.0,0.9759058463839698,0.011115979907201942,1.121921665758566,False
p3_cell,high,,,,,,,,4.0,0.5,400.0,0.13129374469624594,0.0,0.24562527925955857,0.0,0.8558138038178418,0.005612675169323056,1.0615606281873766,False
p3_cell,high,,,,,,,,4.0,1.0,50.0,0.13129374469624594,0.0,0.24562527925955857,0.0,1.6397994806811376,0.08391657761883964,1.92040908794898,False
p3_cell,high,,,,,,,,4.0,1.0,100.0,0.13129374469624594,0.0,0.24562527925955857,0.0,1.5266826802184255,0.04360632478448243,1.4782804394859144,False
p3_cell,high,,,,,,,,4.0,1.0,200.0,0.13129374469624594,0.0,0.24562527925955857,0.0,1.2954962796985163,0.022231959814403884,1.243843331517132,False
p3_cell,high,,,,,,,,4.0,1.0,400.0,0.13129374469624594,0.0,0.24562527925955857,0.0,1.0553121945662602,0.011225350338646111,1.1231212563747532,False
p3_cell,high,,,,,,,,4.0,1.5,50.0,0.13129374469624594,0.0,0.24562527925955857,0.0,2.1315415144869947,0.12587486642825946,2.38061363192347,False
p3_cell,high,,,,,,,,4.0,1.5,100.0,0.13129374469624594,0.0,0.24562527925955857,0.0,1.9618663137929264,0.06540948717672365,1.7174206592288717,False
p3_cell,high,,,,,,,,4.0,1.5,200.0,0.13129374469624594,0.0,0.24562527925955857,0.0,1.6150867130130626,0.033347939721605824,1.365764997275698,False
