component,year,obs,p50,bias,in90,in_sample
ais,1900,-0.6340783032503996,-0.6167203960565699,0.01735790719382968,true,true
glaciers,1900,-5.83348844224866,-5.569907747004555,0.2635806952441051,true,true
gis,1900,-4.130332357233222,-4.048913528686773,0.08141882854644855,true,true
te,1900,-3.6098928928375242,-4.090387378497741,-0.48049448566021713,false,true
total,1900,-13.937918849348069,-12.939944208671772,0.997974640676297,true,false
ais,1950,-0.36264223185452554,-0.3689428266754159,-0.006300594820890348,true,true
glaciers,1950,-2.4007698968664437,-2.5517214757320215,-0.15095157886557775,true,true
gis,1950,-1.3604312723333192,-1.323002100581531,0.03742917175178828,true,true
te,1950,-2.815257120132446,-2.564580751487818,0.25067636864462806,false,true
total,1950,-5.985805844939225,-5.352210217608432,0.6335956273307932,false,false
ais,2000,0.0017998782071199648,-0.009236258419202503,-0.011036136626322468,false,true
glaciers,2000,-0.00850888165561,-0.0006240566436677142,0.007884825011942286,false,true
gis,2000,-0.04322274381464186,-0.04920960663660212,-0.005986862821960259,false,true
te,2000,-0.23769707679748553,-0.01523510068144951,0.22246197611603602,false,true
total,2000,-0.2893630562230687,-0.30379265567945996,-0.014429599456391273,false,false
ais,2018,0.696409138766202,0.5724719282846135,-0.12393721048158857,false,true
glaciers,2018,1.20556921092,1.137714457400262,-0.06785475351973802,true,true
gis,2018,1.2730523759668522,1.2702984367403123,-0.002753939226539881,true,true
te,2018,2.074393606185913,2.6133432493468995,0.5389496431609864,false,true
total,2018,5.965000044906917,6.178011213384849,0.2130111684779319,true,false
ais,2025,0.7663673305319003,0.8505590672771048,0.08419173674520453,false,true
glaciers,2023,1.63055217082,1.4750674749078598,-0.1554846959121401,true,true
gis,2025,1.6502983936827973,1.6595930920777877,0.00929469839499042,true,true
te,2025,3.2329575871586798,3.8360670208519103,0.6031094336932306,false,true
total,2024,8.225314682835013,8.261739758087634,0.0364250752526214,true,false
ais,2019,0.6917651205871491,0.6102359418508002,-0.0815291787363489,false,true
ais,2020,0.7446601482114583,0.6488732797480423,-0.095786868463416,false,true
ais,2022,0.7131118056700219,0.7270789663366861,0.013967160666664258,true,true
ais,2024,0.7646276896479223,0.8084786141882612,0.0438509245403389,true,true
ais,2025,0.7663673305319003,0.8505590672771048,0.08419173674520453,false,true
