block,arm,ssp,horizon,quantity,value,note
A,posterior (shipped),,,crossing_GMST_degC,3.0218119758949253,"amp 0.945; p05 2.261 p95 3.989; delta vs shipped +0.000 degC; the L14 posterior column as sampled; prior N(0.95, 0.10)"
A,Xie cap60 = the prior,,,crossing_GMST_degC,2.9983849552462294,amp 0.950; p05 2.342 p95 3.723; delta vs shipped -0.023 degC; Xie et al. 2022 as published -- reproduced only by a POLAR-CAP mask (cap60 0.92/0.98)
A,land60 ssp245,,,crossing_GMST_degC,2.5207661128176264,"amp 1.130; p05 1.969 p95 3.130; delta vs shipped -0.501 degC; 34-model CMIP6 land-only PAI1, the mask matching DAIS's continental lineage"
A,land60 ssp585,,,crossing_GMST_degC,2.455573885761998,amp 1.160; p05 1.918 p95 3.049; delta vs shipped -0.566 degC; same metric at ssp585
A,DAIS equilibrium,,,crossing_GMST_degC,2.3816602905383926,"amp 1.196; p05 1.860 p95 2.957; delta vs shipped -0.640 degC; the hard-coded stock map, = where the CMIP6 warming-level curve SATURATES at 2-4 K"
B,posterior (shipped),ssp126,2100,tipped_fraction,0.04177360285374554,"amp 0.945; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,posterior (shipped),ssp126,2150,tipped_fraction,0.038232104637336506,"amp 0.945; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,posterior (shipped),ssp126,2300,tipped_fraction,0.06618287752675386,"amp 0.945; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,Xie cap60 = the prior,ssp126,2100,tipped_fraction,0.035965160523186684,"amp 0.950; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,Xie cap60 = the prior,ssp126,2150,tipped_fraction,0.033997740784780024,"amp 0.950; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,Xie cap60 = the prior,ssp126,2300,tipped_fraction,0.0630922711058264,"amp 0.950; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp245,ssp126,2100,tipped_fraction,0.11674137931034483,"amp 1.130; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp245,ssp126,2150,tipped_fraction,0.09899060642092747,"amp 1.130; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp245,ssp126,2300,tipped_fraction,0.14106004756242568,"amp 1.130; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp585,ssp126,2100,tipped_fraction,0.1355268727705113,"amp 1.160; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp585,ssp126,2150,tipped_fraction,0.11351082045184305,"amp 1.160; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp585,ssp126,2300,tipped_fraction,0.15655564803804994,"amp 1.160; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,DAIS equilibrium,ssp126,2100,tipped_fraction,0.15989060642092748,"amp 1.196; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,DAIS equilibrium,ssp126,2150,tipped_fraction,0.1320230677764566,"amp 1.196; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,DAIS equilibrium,ssp126,2300,tipped_fraction,0.17577086801426872,"amp 1.196; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,posterior (shipped),ssp245,2100,tipped_fraction,0.33069726516052317,"amp 0.945; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,posterior (shipped),ssp245,2150,tipped_fraction,0.44461462544589775,"amp 0.945; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,posterior (shipped),ssp245,2300,tipped_fraction,0.485328418549346,"amp 0.945; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,Xie cap60 = the prior,ssp245,2100,tipped_fraction,0.33266242568370985,"amp 0.950; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,Xie cap60 = the prior,ssp245,2150,tipped_fraction,0.4536781212841855,"amp 0.950; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,Xie cap60 = the prior,ssp245,2300,tipped_fraction,0.49447764565992863,"amp 0.950; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp245,ssp245,2100,tipped_fraction,0.5972242568370987,"amp 1.130; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp245,ssp245,2150,tipped_fraction,0.6923705112960761,"amp 1.130; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp245,ssp245,2300,tipped_fraction,0.6878335315101071,"amp 1.130; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp585,ssp245,2100,tipped_fraction,0.6374518430439953,"amp 1.160; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp585,ssp245,2150,tipped_fraction,0.7256781212841855,"amp 1.160; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp585,ssp245,2300,tipped_fraction,0.7151771700356718,"amp 1.160; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,DAIS equilibrium,ssp245,2100,tipped_fraction,0.682929013079667,"amp 1.196; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,DAIS equilibrium,ssp245,2150,tipped_fraction,0.7627250891795482,"amp 1.196; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,DAIS equilibrium,ssp245,2300,tipped_fraction,0.7458041617122473,"amp 1.196; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,posterior (shipped),ssp585,2100,tipped_fraction,0.9559733650416171,"amp 0.945; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,posterior (shipped),ssp585,2150,tipped_fraction,0.9954524375743163,"amp 0.945; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,posterior (shipped),ssp585,2300,tipped_fraction,0.9944302021403092,"amp 0.945; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,Xie cap60 = the prior,ssp585,2100,tipped_fraction,0.9740601664684899,"amp 0.950; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,Xie cap60 = the prior,ssp585,2150,tipped_fraction,0.9980422116527943,"amp 0.950; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,Xie cap60 = the prior,ssp585,2300,tipped_fraction,0.9968577883472057,"amp 0.950; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp245,ssp585,2100,tipped_fraction,0.9978648038049941,"amp 1.130; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp245,ssp585,2150,tipped_fraction,0.9998851367419739,"amp 1.130; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp245,ssp585,2300,tipped_fraction,0.999856837098692,"amp 1.130; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp585,ssp585,2100,tipped_fraction,0.9986990487514863,"amp 1.160; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp585,ssp585,2150,tipped_fraction,0.9999332936979786,"amp 1.160; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,land60 ssp585,ssp585,2300,tipped_fraction,0.9999342449464923,"amp 1.160; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,DAIS equilibrium,ssp585,2100,tipped_fraction,0.9992850178359096,"amp 1.196; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,DAIS equilibrium,ssp585,2150,tipped_fraction,0.9999695600475624,"amp 1.196; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
B,DAIS equilibrium,ssp585,2300,tipped_fraction,0.9999820451843044,"amp 1.196; spliced driver, instantaneous; exact marginal over 10000 draws x 841 configs"
D,,ssp126,,warming_level_degC,1.845248491189436,calib 1900-2024 0.41 K; SMB anchor 1979-2008 0.65 K; 2100 1.85 K; 2300 1.74 K
D,,ssp245,,warming_level_degC,2.750240671312681,calib 1900-2024 0.41 K; SMB anchor 1979-2008 0.65 K; 2100 2.75 K; 2300 3.15 K
D,,ssp585,,warming_level_degC,4.700222867090688,calib 1900-2024 0.41 K; SMB anchor 1979-2008 0.65 K; 2100 4.70 K; 2300 7.79 K
