quantity,basin,python,julia,absdiff,tol,window,ssp,tap_onset_K,in_lit_bracket,first_fire_year,k_c,cm2100_med,cm2100_q05,cm2100_q95,m2300_med,m2300_q05,m2300_q95,lit_lo,lit_hi,in_band,ratio_med,ratio_q05,ratio_q95,g4_cm_med,tap_V_m,tap_tau,within_inventory,m2300_SSP1-2.6_med,tap2100_SSP1-2.6_m,m2300_SSP2-4.5_med,tap2100_SSP2-4.5_m,m2300_SSP5-8.5_med,tap2100_SSP5-8.5_m,g4_rel_to_base,headroom_bind_frac,bands_ok,ratio_ok,g4_ok,all_pass
base,,,,,,,SSP5-8.5,,,,1.0,13.95295684279371,11.583168740141128,16.67475896229249,0.49877638866617047,0.38555942670817667,0.6566483430199366,1.732,3.127,False,,,,,,,,,,,,,,,,,,,
base_ratio,,,,,,,,,,,1.0,,,,,,,7.944954128440367,31.90816326530612,,2.7348998986777793,2.5572813817178335,2.89104426388938,7.433164807479095,,,,,,,,,,,,,,,
g3_nesting,,0.0,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,4.063076637569531,3.8698318901633115,4.31949997117185,9.531079247950085,0.25,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.744647405569099,0.02097914440470991,1.282237040992299,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,3.9125266846823683,3.735369808760155,4.138416198650143,8.523322927091156,0.25,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.716368205453421,0.010901581196120608,1.1466613680508155,0.0,False,False,True,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,3.6050670665136746,3.4489605175751996,3.761735102936019,7.988963802839191,0.25,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.6585716053234436,0.005557989953600971,1.0747728605184246,0.0,False,False,True,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,3.2822017277137765,3.1259723348810904,3.3902878276274837,7.713798565945248,0.25,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.5985255840403797,0.002806337584661528,1.0377542763728023,0.0,False,False,True,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,5.4052985042224275,4.9761832619528406,5.969723894839265,11.628993688421076,0.5,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.9905184224720276,0.04195828880941982,1.5644740819845977,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,5.094916958927859,4.72294869311256,5.5890605888914,9.613481046703217,0.5,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.9339600222406715,0.021803162392241216,1.2933227361016313,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,4.466303886120768,4.208397085019072,4.814106169952512,8.54476279819929,0.5,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.8183668219807169,0.011115979907201942,1.1495457210368494,0.0,False,False,True,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,3.8166723129189455,3.648151335629205,4.019815055136341,7.994432324411401,0.5,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.6982747794145889,0.005612675169323056,1.0755085527456045,0.0,False,False,True,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,6.749283858771779,6.059061787754043,7.630542966394354,13.726908128892067,0.75,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.236389439374956,0.06293743321412973,1.8467111229768967,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,6.2811841379207625,5.684745270646947,7.057949907307083,10.703639166315277,0.75,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.1515518390279218,0.032704743588361826,1.4399841041524466,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,5.337558880334653,4.919763902283193,5.88543391909363,9.100561793559386,0.75,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.9781620386379901,0.016673969860802912,1.224318581555274,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,4.353320997393755,4.116199911839244,4.674392917421189,8.27506608287755,0.75,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.7980239747887982,0.008419012753984583,1.1132628291184063,0.0,False,False,True,False
