year,ais_p5,ais_p50,ais_p95,gsic_p5,gsic_p50,gsic_p95,gis_p5,gis_p50,gis_p95,te_p5,te_p50,te_p95,total_p5,total_p50,total_p95,ais_obs,gsic_obs,gis_obs,te_obs,total_obs,ais_obs_lo,ais_obs_hi,gsic_obs_lo,gsic_obs_hi,gis_obs_lo,gis_obs_hi,te_obs_lo,te_obs_hi,total_obs_lo,total_obs_hi
1900,-0.6817816795208673,-0.5879579780291386,-0.5015882069180094,-7.201493742446177,-6.82814081528832,-6.438734596529185,-5.06739678513135,-4.501962616343366,-3.9166905248886277,-4.479557736365073,-4.193569190586528,-3.879104505441664,-15.149640660635058,-14.57395314356296,-13.801899659085393,-0.6340783032503996,-7.27700420292941,-4.130332357233222,-3.6098928928375242,-14.198217868071225,-1.1909090540625829,-0.135909087007696,-8.711818187887019,-5.75863636190241,-5.1259090120142154,-3.1363637924194343,-4.488535174456509,-2.7237472815947097,-17.325940847210333,-11.070494888932117
1901,-0.6762155186069343,-0.5842784828526586,-0.49948696123461955,-7.091082948081083,-6.727595832146175,-6.350304508964463,-5.018285368395579,-4.459036171653062,-3.8796883722176676,-4.445852434891791,-4.162015737737747,-3.8499171627402005,-14.669403342739617,-14.104056912442655,-13.342120812243346,-0.6286254796114836,-7.192015799609098,-4.14182832891291,-3.6964476108551025,-13.752241184900765,-1.1759090922095559,-0.135909087007696,-8.621818035299128,-5.688636285608465,-5.140909164602106,-3.1563634872436515,-4.497419222918423,-2.8534157081083817,-17.008286185421955,-10.496196184379576
1902,-0.6704296199209868,-0.5805920194319015,-0.4973109255584801,-6.9826010109368175,-6.6289800151410505,-6.262494299381627,-4.9695682968812145,-4.416726351092857,-3.8433046261054713,-4.412049406747122,-4.130370797384542,-3.820645192940799,-14.352115177965404,-13.79429780820729,-13.044545272048422,-0.6231535824862393,-7.1059981909665195,-4.110059530084785,-3.7697138309478753,-14.911070353898126,-1.1659090540625827,-0.135909087007696,-8.511818187887018,-5.628636438196356,-5.110909240896052,-3.1413637161254884,-4.537406405535611,-2.9573383613066238,-18.10408136490349,-11.718059342892762
1903,-0.6649745029145161,-0.5768968050889758,-0.4952937116650541,-6.877069584974923,-6.532622280618212,-6.176444877690816,-4.920476571223038,-4.374087927038191,-3.8075073355752163,-4.417958320784609,-4.135902468436857,-3.82576205858113,-14.200613077025531,-13.651502198532071,-12.910121723333326,-0.6177760037508879,-7.048844107714567,-4.069244558160955,-3.89201683998108,-13.898856883530264,-1.1559091112830417,-0.135909087007696,-8.446818035299128,-5.563636285608465,-5.065909164602107,-3.091363716125488,-4.720405825701627,-3.0500416083769375,-17.087209166609718,-10.71050460045081
1904,-0.6598871780411734,-0.5736013723014042,-0.4936434182476513,-6.776421156357084,-6.439322782752276,-6.091887596245071,-4.872403129738653,-4.3317399061219035,-3.7700703097178403,-4.537202354781482,-4.24753360181216,-3.929022267902519,-14.207556308412629,-13.6654745510637,-12.92716076391914,-0.612356558713046,-6.964708670702848,-3.986545354669745,-4.005975580215455,-13.744080748090635,-1.1409090540625828,-0.135909087007696,-8.3418184930628,-5.488636285608465,-4.865909164602106,-3.1363637924194343,-4.880475863543423,-3.1063808722929522,-16.879925381067288,-10.60823611511398
1905,-0.6557903719958862,-0.5716737101601093,-0.4935622307700213,-6.688441592473893,-6.356595019974895,-6.0166145909028295,-4.825526329324269,-4.291357539217087,-3.736359729228799,-4.563454172686537,-4.272109424079127,-3.951755214122822,-14.040979561812211,-13.50681946624441,-12.776241174293949,-0.6069045933810149,-6.865145072070035,-3.965610296075995,-4.084479761123657,-12.970216531161334,-1.1309091112830418,-0.135909087007696,-8.231817882711237,-5.393636209314519,-4.75590893572027,-3.191363716125488,-4.823582705584438,-3.2861709876493963,-16.059206747263165,-9.881226315059504
1906,-0.6513711041797623,-0.5693675528038763,-0.49307444560696057,-6.601216036680393,-6.276451023748661,-5.944403596591845,-4.777636056703653,-4.250655340409662,-3.701719861869819,-4.533071743493717,-4.243666701271055,-3.9254453360267396,-14.08109968293636,-13.555669594114818,-12.836701906609255,-0.6014521512118254,-6.785165366259489,-3.9195184534246272,-4.1820330142974855,-14.432600292481698,-1.1159090540625827,-0.14090908223932436,-8.131817882711237,-5.313636285608465,-4.690909164602107,-3.146363639831543,-5.087132128802213,-3.2905945105986163,-17.50445568403161,-11.360744900931788
1907,-0.6461441788836786,-0.5663930533563808,-0.4918623685050338,-6.5111231693527065,-6.1926748577686315,-5.869968067741166,-4.728382432934582,-4.209626344358673,-3.6675704610606186,-4.485287171419916,-4.198932841138545,-3.8840659499955428,-13.938008979579754,-13.419299166439124,-12.709811657451187,-0.5960208806124601,-6.7199607458981605,-3.8829637354070488,-4.245766305923461,-13.798995908912747,-1.1059091112830417,-0.14090908223932436,-8.05181834047491,-5.273636514490302,-4.665909164602106,-3.121363639831543,-5.053520831194791,-3.449860410256819,-16.842734432817306,-10.755257385008187
1908,-0.640971142550271,-0.5629773335174277,-0.49018819324428087,-6.418458045686459,-6.10718640603859,-5.791641870877734,-4.680253416369587,-4.167491788773446,-3.6323159414284505,-4.473992063705356,-4.188358847341879,-3.874284872084814,-13.719985195085577,-13.20623559414122,-12.508843183034706,-0.5906124981966887,-6.640979727831754,-3.8119527643377134,-4.304152536392211,-15.283324541043815,-1.0909090540625828,-0.14090908223932436,-7.956817882711237,-5.213636285608465,-4.590909164602106,-3.0513635635375977,-5.185761126604947,-3.4153179450468576,-18.400284239181428,-12.1663648429062
1909,-0.6358434931443612,-0.5596542122483757,-0.48883202244583085,-6.328903664984644,-6.0233368519708925,-5.714998898079407,-4.631770009787175,-4.12595341217658,-3.5980020015226417,-4.439594626976543,-4.156157447250505,-3.8444981699942953,-13.464716567433337,-12.961033424073563,-12.269697039395025,-0.5851665410128508,-6.5662955847653475,-3.7546384638006036,-4.4123697757720945,-14.744668796048046,-1.0809091112830418,-0.14590910131281076,-7.856817882711237,-5.148636514490302,-4.415909164602106,-3.1113637924194344,-5.262451037493618,-3.5983433051542804,-17.86906977837015,-11.620267813725942
