quantity,basin,python,julia,absdiff,tol,window,ssp,tap_onset_K,in_lit_bracket,first_fire_year,cm2100_med,cm2100_q05,cm2100_q95,m2300_med,m2300_q05,m2300_q95,lit_lo,lit_hi,in_band,ratio_med,ratio_q05,ratio_q95,g4_cm_med,tap_V_m,tap_tau,within_inventory,m2300_SSP1-2.6_med,tap2100_SSP1-2.6_m,m2300_SSP2-4.5_med,tap2100_SSP2-4.5_m,m2300_SSP5-8.5_med,tap2100_SSP5-8.5_m,g4_rel_to_base,headroom_bind_frac,bands_ok,ratio_ok,g4_ok,all_pass
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,10.705796344205986,9.215624837646557,12.49180967750971,7.396916753137081,1.5,50.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,1.9594144559707027,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,9.57389959856708,8.313386348526143,11.099527609628328,7.396916753137081,1.5,100.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,1.7526500358699146,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,13.35871500828952,11.331082167359158,15.767452371210696,7.396916753137081,2.0,50.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.4460163744742327,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,11.853501280320849,10.129029048032432,13.914347337964172,7.396916753137081,2.0,100.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.170330481006516,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,16.011985964699853,13.435989016131373,19.05986881687942,7.396916753137081,2.5,50.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.932618292977763,0.0,1.0,0.0005,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,14.132996437072295,11.950596336433325,16.726692944815465,7.396916753137081,2.5,100.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.588010926143117,0.0,1.0,0.0005,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,10.838624273883989,9.321526260654128,12.656479934094252,7.396916753137081,2.5,200.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,1.9837645739900545,0.0,1.0,0.0005,True,True,True,True
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,10.621784163435544,9.148997840855005,12.387657580904484,7.396916753137081,1.5,50.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,1.944013278509136,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,13.2449922422904,11.241464421068072,15.628729355632167,7.396916753137081,2.0,50.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.4254814711921444,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,11.544253181101844,9.883168484045068,13.532047204002856,7.396916753137081,2.0,100.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.113368871835436,0.0,1.0,0.0,True,True,True,True
