block,n_model_scen,slope_per_K,se,z,worth_over_1_4K,between_model_sd,ratio,prior_sd,worth_over_prior_sd,verdict
R19,43,-0.024891847448849858,0.00981084811948923,-2.5371759042321993,-0.07467554234654958,0.22828727562507367,0.3271121535008046,0.15,0.4978369489769972,resolved but NEGLIGIBLE vs the spread
SLOWP,43,-0.00032366288763502934,0.04158399824568367,-0.007783351800920798,-0.000970988662905088,0.49694623023160817,0.0019539109139685923,0.45,0.002157752584233529,UNRESOLVED — no shape to borrow
FAST,43,0.028845734424631127,0.009560696217660114,3.0171165120118033,0.08653720327389339,0.1312038053575648,0.6595632118905149,0.15,0.5769146884926226,SHAPE IS REAL and material
