year,incumbent_hindcast_cm,stock_hindcast_cm,A_hindcast_cm,B_hindcast_cm,A+B_hindcast_cm,A+B'_hindcast_cm,A+B+C_hindcast_cm,A+B'+C_hindcast_cm,A+B+C+D_hindcast_cm,A+B'+C+D_hindcast_cm,A+B'+C+D2_hindcast_cm
1850,-6.27266719,-27.0634823,-5.30161815,-24.0735429,-5.28624616,-4.77581393,-3.05876121,-0.949202017,-5.18922555,-3.42014337,-4.72821223
1851,-6.23205024,-26.12786,-5.26421394,-23.210001,-5.24915061,-4.75239315,-3.04251342,-0.949157245,-5.12503478,-3.41563314,-4.70561302
1852,-6.19124726,-25.2088587,-5.20484632,-22.3614355,-5.19010977,-4.70017005,-3.02581254,-0.926657786,-5.06022564,-3.39892601,-4.65537971
1853,-6.15025761,-24.3070084,-5.1423913,-21.5280651,-5.12797767,-4.64423278,-3.00865655,-0.901527647,-4.99529457,-3.37871104,-4.60162595
1854,-6.10923657,-23.4348456,-5.11669847,-20.7243089,-5.10258423,-4.63791318,-2.99138388,-0.901527146,-4.97860918,-3.37743091,-4.59598423
1855,-6.06812958,-22.5874751,-5.09999408,-19.9443417,-5.08519952,-4.63791318,-2.97387588,-0.901526524,-4.97860907,-3.37743079,-4.59598423
1856,-6.02719366,-21.7830374,-5.08530735,-19.2095962,-5.06957296,-4.63791317,-2.9566918,-0.901526065,-4.97860897,-3.37743067,-4.59598423
1857,-5.98685178,-21.0485655,-4.98662975,-18.5525305,-4.97106037,-4.54543421,-2.94075472,-1.0808758,-4.91301724,-3.32863766,-4.50990611
1858,-5.94675506,-20.3553845,-4.96066215,-17.9397398,-4.94545439,-4.53705441,-2.92530142,-1.28921054,-4.8929669,-3.32705148,-4.50215651
1859,-5.90651375,-19.6757169,-4.93770407,-17.3381007,-4.92286466,-4.53358833,-2.90948864,-1.28921029,-4.8856114,-3.3264008,-4.49938078
1860,-5.86597288,-19.00003,-4.93172069,-16.7356966,-4.91531304,-4.53358832,-2.89297578,-1.28920973,-4.8856113,-3.32640069,-4.49938078
1861,-5.82526242,-18.3374252,-4.89737569,-16.1432348,-4.88141822,-4.51154572,-2.87604439,-1.28522836,-4.82434813,-3.32183541,-4.47799466
1862,-5.78436984,-17.6874641,-4.89246368,-15.5600017,-4.87498748,-4.51154571,-2.85866728,-1.28522737,-4.82434803,-3.32183528,-4.47799466
1863,-5.74360078,-17.0678745,-4.89246172,-15.0079044,-4.87418284,-4.51154571,-2.84151143,-1.28522649,-4.82434793,-3.32183516,-4.47799466
1864,-5.70299021,-16.4790424,-4.89246172,-14.4876875,-4.8764509,-4.5115457,-2.82465382,-1.28522575,-4.82434783,-3.32183504,-4.47799466
1865,-5.66342658,-15.9663423,-4.86282241,-14.0566757,-4.84727681,-4.49626058,-2.81001438,-1.61631273,-4.78941655,-3.3190295,-4.4633041
1866,-5.6241688,-15.4855865,-4.85720723,-13.6608145,-4.8401991,-4.49626058,-2.79596723,-1.86212327,-4.78941646,-3.3190294,-4.4633041
1867,-5.58445227,-14.9968658,-4.85830948,-13.2495606,-4.84373768,-4.49626057,-2.78091278,-1.86212277,-4.78941637,-3.31902929,-4.4633041
1868,-5.5443628,-14.5059806,-4.82782209,-12.8294867,-4.81373283,-4.47933047,-2.7650057,-1.86140889,-4.7470904,-3.31568112,-4.44696709
1869,-5.50408947,-14.0230297,-4.82658957,-12.4132435,-4.81136516,-4.47933046,-2.7486497,-1.86140782,-4.74709031,-3.31568101,-4.44696709
1870,-5.46372227,-13.5524196,-4.81938679,-12.0064906,-4.80281844,-4.47933046,-2.73204058,-1.86140663,-4.74709021,-3.31568089,-4.44696709
1871,-5.42309532,-13.0867282,-4.78778482,-11.5993776,-4.77174683,-4.46033308,-2.71481444,-1.85930086,-4.69537211,-3.31165656,-4.42856716
1872,-5.38235703,-12.632893,-4.74117377,-11.2010421,-4.72565367,-4.42062405,-2.69729693,-1.84348313,-4.63073441,-3.30290451,-4.38993781
1873,-5.34149966,-12.1905146,-4.65824732,-10.8110199,-4.64302661,-4.34204723,-2.67947188,-1.80166612,-4.56515623,-3.26132811,-4.31509073
1874,-5.30052473,-11.7595947,-4.63879572,-10.4294052,-4.6240673,-4.3416167,-2.6613443,-1.80166414,-4.56505777,-3.26126679,-4.31509073
