ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvHL,glaciers,2100,fixed,2000,11.268552754212807,11.293327555321362,9.826103887423015,12.893396232270828,3.0672923448478127,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2100,joint,2000,10.525679719871901,10.729413267727093,8.34671473347547,13.95592636807472,5.6092116345992515,1.8287176453920826,0.9340755596087369,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2150,fixed,2000,13.866624997009758,13.915264242844348,11.893036134041145,16.076181128439316,4.183144994398171,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2150,joint,2000,12.711795722758485,12.990267087487734,9.875014651955864,17.36486316082321,7.489848508867345,1.7904826437757528,0.916718792460292,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2300,fixed,2000,14.889166961978065,14.964361224859488,12.614110814068535,17.49428822124565,4.880177407177115,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2300,joint,2000,13.245206986010999,13.539139137068481,10.199377003180857,18.22660827964491,8.027231276464054,1.6448646446046553,0.8895868398705457,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2100,fixed,2000,8.454984004255651,8.479505498459497,6.62566599724148,10.341099615375864,3.7154336181343837,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2100,joint,2000,7.882471851556524,8.108130537208265,5.94892176862286,11.082540024505889,5.133618255883029,1.38170097585023,0.9322870211923565,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2150,fixed,2000,11.659060659029372,11.691418196622347,8.679234242548722,14.667053716316612,5.987819473767891,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2150,joint,2000,10.524310898630048,10.939569933292754,7.529848624754828,15.698263969492972,8.168415344738143,1.3641719461522264,0.902672282649073,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2300,fixed,2000,13.062838997279652,13.231618105901056,9.278771176111052,17.748658161951226,8.469886985840175,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
