level_K,frame,com_med,com_p05,com_p95,gmip3_central,gmip3_lo,gmip3_hi,inside_likely
1.2,as_fitted,49.262222594708376,38.4386833518427,61.92143230134151,37.4,11.8,54.0,True
1.2,as_run,49.590072451332944,36.77914803980056,62.810819547422405,37.4,11.8,54.0,True
1.5,as_fitted,56.984874070816964,45.48521420650978,68.34078066588518,46.3,17.2,63.2,True
1.5,as_run,57.20610041084618,44.91001944715922,69.62672307742722,46.3,17.2,63.2,True
2.0,as_fitted,66.91280973008375,54.799201593271036,76.83037728073478,63.0,41.5,75.5,True
2.0,as_run,67.30364038782454,54.9822394409438,77.73805115540893,63.0,41.5,75.5,True
3.0,as_fitted,79.9724911323223,68.53916809132309,87.52577089274857,75.5,58.5,83.9,True
3.0,as_run,80.28389779097425,68.53108946341162,87.96478297781177,75.5,58.5,83.9,True
