year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected,provenance
1900,-1.17867082486161,-0.6408373361947939,-0.15397748312212708,-1.4846335664201944,0.1830111186337296,-0.6340783032503996,-7.301600390751463,-6.39694778938694,-5.270203165160988,-8.157823592761133,-4.50553668885454,-7.27700420293,-4.522767351704268,-4.107905915935202,-3.7010401479161974,-5.215342566594308,-2.953234419577584,-4.130332357233222,-4.029521324615034,-3.6234454793199635,-3.2205585174861397,-4.828089610266271,-2.453863302324338,-3.6098928928375242,-15.076162288750279,-13.468272091036908,-12.036546380564186,NaN,NaN,-13.937918849348069,-7.27700420293,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1901,-1.1686850420148618,-0.6392058448698223,-0.1594432980378344,-1.4884236093316074,0.17738553316097055,-0.6286254796114836,-7.263381043428666,-6.36398147817627,-5.23625711172138,-8.151467412138063,-4.404692364094997,-7.19201579961,-4.465459270004225,-4.059568066394464,-3.6607636250327062,-5.17062082986244,-2.9190474374806787,-4.14182832891291,-4.001246832502561,-3.5980203550008123,-3.1979603850866,-4.75742787153646,-2.4110823690782306,-3.6964476108551025,-14.64814081559996,-13.067893994165722,-11.642522812933228,NaN,NaN,-13.717743189686836,-7.19201579961,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1902,-1.1583258725207717,-0.6368205471410993,-0.16463333107648956,-1.4553098180965762,0.20658097404555228,-0.6231535824862393,-7.185027144651743,-6.298776576277551,-5.18409277754576,-8.145471585087453,-4.3825392801484,-7.10599819097,-4.405616825909435,-4.009885127538065,-3.6212952780724996,-5.197126716362832,-2.929561367906437,-4.110059530084785,-3.97711057344892,-3.576316432447687,-3.178669698076057,-4.76309552643243,-2.459593994061651,-3.7697138309478753,-14.348596225042474,-12.79252919324431,-11.383951211308469,NaN,NaN,-13.307361420412224,-7.10599819097,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1903,-1.147692932989117,-0.6329788725739158,-0.1693608302521427,-1.4261636407644356,0.16872858442742944,-0.6177760037508879,-7.104891308593668,-6.2315617560502625,-5.1320624869866736,-8.056210538038313,-4.3189762110912,-7.04884410771,-4.362439954467726,-3.9754390287710457,-3.593943208844304,-5.108971697716204,-2.8070622637092018,-4.069244558160955,-3.9575133385097065,-3.5586941129146217,-3.1630067850850976,-4.7204700574519745,-2.3957252279462162,-3.89201683998108,-14.199953837995173,-12.66306825872595,-11.27185897570726,NaN,NaN,-13.366047505500095,-7.04884410771,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1904,-1.1377636868673,-0.6307037301113043,-0.17419712222688957,-1.440147266414745,0.12684307148252633,-0.612356558713046,-7.036498833504114,-6.17339052485816,-5.08936938349834,-7.902570275174376,-4.320190766192817,-6.9647086707,-4.326908880069777,-3.9482240866470937,-3.573162604939685,-4.992777093426568,-2.9589686965434745,-3.986545354669745,-3.983948981326208,-3.5824656983561063,-3.1841352337963196,-4.800025330882157,-2.36819793170815,-4.005975580215455,-14.154410632618786,-12.644742881496931,-11.260486418658836,NaN,NaN,-13.401862591297018,-6.9647086707,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1905,-1.128249821782967,-0.6296488892069528,-0.17556259749068168,-1.43531879949878,0.14529727432355796,-0.6069045933810149,-6.969176701602775,-6.115982984922076,-5.047363817797374,-7.853233264098686,-4.25289005754099,-6.86514507207,-4.3054521873826275,-3.9304999505717846,-3.558482531840916,-4.84083797299336,-3.037318635145063,-3.965610296075995,-3.968481634933685,-3.568557076996864,-3.1717730969184097,-4.672855335790943,-2.4652713928112737,-4.084479761123657,-13.986781466306395,-12.4934939868259,-11.128674906441397,NaN,NaN,-13.311246733632538,-6.86514507207,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1906,-1.118537805573298,-0.6291140483872764,-0.18202231510418213,-1.4011443048479622,0.13413541642012108,-0.6014521512118254,-6.888822998737248,-6.050286349709548,-4.994567294176358,-7.808979288702442,-4.208645199205025,-6.78516536626,-4.264189360823159,-3.8947538255381295,-3.5277144749700593,-4.852976401803316,-2.9724706003414796,-3.9195184534246272,-3.9378324399983695,-3.540996561023226,-3.1472770047399043,-4.787106492581315,-2.3476323799569587,-4.1820330142974855,-14.029270233049976,-12.560914758972157,-11.212319607510176,NaN,NaN,-13.567440039263273,-6.78516536626,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1907,-1.1082533363935827,-0.62724573172692,-0.18768565286844224,-1.4057140081795978,0.0911960513711191,-0.5960208806124601,-6.8101857811027,-5.984034563796621,-4.943801324181141,-7.7647978596602965,-4.164191642003239,-6.7199607459,-4.244881439358596,-3.8794441775927755,-3.5188047593103158,-4.852172251377855,-2.9555766194723923,-3.8829637354070488,-3.90479565588386,-3.511289065663979,-3.12087265347853,-4.642085433685573,-2.397058870304541,-4.245766305923461,-13.925147317677755,-12.483695816338543,-11.15460657789598,NaN,NaN,-13.430518857797505,-6.7199607459,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1908,-1.0972284302210324,-0.6254536054070579,-0.19113766859019898,-1.404101193724786,0.13003900505581345,-0.5906124981966887,-6.746127321972145,-5.932283104009241,-4.90394995912471,-7.673806251785169,-4.04765980515398,-6.64097972783,-4.223246632223277,-3.8647366559992586,-3.5108239384198834,-4.7503275061027965,-2.9527483215035035,-3.8119527643377134,-3.938632837215233,-3.541716298044938,-3.1479167149849885,-4.699166747408045,-2.2861282343880687,-4.304152536392211,-13.79058710966549,-12.370394029831916,-11.052802607268955,NaN,NaN,-13.478100215899776,-6.64097972783,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1909,-1.0882712807515451,-0.6245636063683577,-0.19713031201814002,-1.3805421020616493,0.11361903833565372,-0.5851665410128508,-6.672939217459355,-5.8719893039355355,-4.857532874826379,-7.540802985306023,-3.9857295550365555,-6.56629558477,-4.172283564392723,-3.8217814790828677,-3.473635731485428,-4.61286634754576,-3.0115096919101036,-3.7546384638006036,-3.9521710529847427,-3.5538901973188866,-3.1587370116395115,-4.723340251202074,-2.3595998875805724,-4.4123697757720945,-13.586669361398307,-12.18980708129989,-10.88999579274819,NaN,NaN,-13.127202387002756,-6.56629558477,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1910,-1.079041663469925,-0.6239924804097029,-0.2043019061704632,-1.3635701372479163,0.09249384203012555,-0.5797470959750088,-6.604827036871904,-5.816066940842287,-4.814407365865505,-7.500586062098005,-3.993150087237847,-6.4967437354,-4.115999330651042,-3.776776460807928,-3.4371860133112477,-4.425591339423591,-3.103808767788862,-3.709659749811346,-3.9256618800599314,-3.530052491780972,-3.1375497946534665,-4.688791684236609,-2.375328029615326,-4.497396707534791,-13.400392983862734,-12.023951454736718,-10.74308773181518,NaN,NaN,-12.932223767549981,-6.4967437354,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
