key,level_K,central,lo,hi
03-06-07-09-19,1.2000,35.4380,4.0885,58.0079
03-06-07-09-19,1.5000,45.8257,12.2437,64.1755
03-06-07-09-19,2.0000,62.7735,26.0361,73.6147
03-06-07-09-19,3.0000,74.0775,50.9962,87.6514
01-02-04-08-10-11-12-13-14-15-16-17-18,1.2000,44.7716,38.0825,55.3863
01-02-04-08-10-11-12-13-14-15-16-17-18,1.5000,50.6968,43.2178,64.8915
01-02-04-08-10-11-12-13-14-15-16-17-18,2.0000,63.2624,47.2766,73.5722
01-02-04-08-10-11-12-13-14-15-16-17-18,3.0000,78.5694,59.9878,84.9338
03-04-06-07-09-19,1.2000,40.2409,1.9690,56.0996
03-04-06-07-09-19,1.5000,49.1828,12.3092,66.9484
03-04-06-07-09-19,2.0000,64.2405,35.5531,76.8735
03-04-06-07-09-19,3.0000,75.8897,52.8759,85.3340
01-02-08-10-11-12-13-14-15-16-17-18,1.2000,33.5468,25.4834,43.3040
01-02-08-10-11-12-13-14-15-16-17-18,1.5000,40.9985,31.4673,56.5450
01-02-08-10-11-12-13-14-15-16-17-18,2.0000,56.1771,35.7904,68.1536
01-02-08-10-11-12-13-14-15-16-17-18,3.0000,73.0717,50.2666,81.2911
