block,t_after_2020,year,phi_median,phi_min,phi_max,n_models
R19,80,2100,0.14358328238447943,0.026568196409564874,0.41096885912642783,4
R19,180,2200,0.29426240628170197,0.07922183861791189,0.7660357762939037,4
R19,280,2300,0.4066788601337413,0.18416778312207496,0.9167336045470772,4
R19,500,2520,0.6087872092443603,0.497134118524815,1.0124482976754696,4
R19,1000,3020,0.7777665116568105,0.71524521681905,1.0475969589829233,4
SLOWP,80,2100,0.29210159997811325,0.2135380878853549,0.3396066402882461,4
SLOWP,180,2200,0.5504996171198198,0.40365296289684655,0.6418848463001974,4
SLOWP,280,2300,0.6968830911319732,0.5273375474250461,0.8152662767557677,4
SLOWP,500,2520,0.8486396985364407,0.695203944062853,0.9115626697029113,4
SLOWP,1000,3020,0.9553061284494044,0.8627045159000292,0.9750488049623431,4
FAST,80,2100,0.6456061843189442,0.46549881788658454,0.701480305150972,4
FAST,180,2200,0.8693928543553828,0.6789311345090681,0.9262711723587287,4
FAST,280,2300,0.9457243555488783,0.7810592932373606,0.9770545476581867,4
FAST,500,2520,0.9903518392431057,0.8924678530614878,0.9951598263325543,4
FAST,1000,3020,0.9970110399925942,0.9660955751586399,0.9977215806593488,4
