ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvM,ais,2150,fixed,1000,76.17054048195106,80.49182275177166,36.88038448893526,141.66588139489397,104.78549690595871,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate fair | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,ais,2150,joint,1000,73.46366845637516,74.46336664938038,8.677176515194205,142.82724842213835,134.15007190694416,1.2802351076059613,0.9644630061904667,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate fair | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,ais,2300,fixed,1000,218.18055967502394,230.317052972411,120.10905223993817,377.39227944060724,257.2832272006691,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate fair | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,ais,2300,joint,1000,216.4916883941221,222.24745845932455,94.16896446452887,391.34634813362175,297.1773836690929,1.1550592975006029,0.9922592953129399,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate fair | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,te,2100,fixed,1000,20.145524783951114,20.147640637546875,14.720252715491974,25.94581118773303,11.225558472241058,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate fair | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,te,2100,joint,1000,19.800631201374394,20.209995767916027,12.124144672724093,30.29431991138208,18.170175238657986,1.6186433203826618,0.9828798908802079,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate fair | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,te,2150,fixed,1000,32.580464705899544,32.58388658217922,23.806412550795148,41.9610109308891,18.154598380093955,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate fair | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,te,2150,joint,1000,31.777765072405476,32.67696643938466,18.67520170755673,49.34346092531046,30.66825921775373,1.6892832645298659,0.975362548056329,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate fair | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,te,2300,fixed,1000,58.81906606061191,58.82524373698208,42.978851441546304,75.75421333591683,32.775361894370526,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate fair | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,te,2300,joint,1000,56.997431696239076,58.97864171357288,30.328469528171713,93.29340314130889,62.96493361313718,1.9211056712680261,0.9690298658857373,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate fair | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
