year,component,arm,med_cm,p05_cm,p95_cm
2227,gis,fixed,20.614085724364386,13.935837781369893,27.735498486793407
2228,gis,fixed,20.696141090129423,13.980120544645924,27.8540983017232
2229,gis,fixed,20.7772507004298,14.02418972032392,27.97538600158366
2230,gis,fixed,20.857567065044325,14.06810206762798,28.11878107804253
2231,gis,fixed,20.937839299535796,14.111698832947631,28.256736882536234
2232,gis,fixed,21.01111248471777,14.15502409806257,28.375118160241637
2233,gis,fixed,21.096136315360255,14.197998705435108,28.490271085114774
2234,gis,fixed,21.17493898910781,14.240078069495292,28.593366765123854
2235,gis,fixed,21.24750442440347,14.2735913233444,28.695332342066344
2236,gis,fixed,21.32279653365641,14.306992530925502,28.817867930834016
2237,gis,fixed,21.393631114979982,14.340093459718306,28.939949348913316
2238,gis,fixed,21.467450264509804,14.372881495536477,29.061478209864728
2239,gis,fixed,21.544145141416788,14.409188149318524,29.178212745981465
2240,gis,fixed,21.620825245186957,14.452401956256862,29.29157731243218
2241,gis,fixed,21.68800635941861,14.49543080530096,29.40456309619523
2242,gis,fixed,21.763909333018137,14.538222628702789,29.516876579654316
2243,gis,fixed,21.84360653341549,14.58101739389004,29.62813700439021
2244,gis,fixed,21.912436109296763,14.623818889261521,29.738651719076326
2245,gis,fixed,21.98034799938454,14.656300071411021,29.84787347936608
2246,gis,fixed,22.05202074721813,14.688172879258746,29.951693556139105
2247,gis,fixed,22.129911076942136,14.71948898066731,30.06357805123305
2248,gis,fixed,22.20929767573903,14.755428764141238,30.169971261295146
2249,gis,fixed,22.28942100398264,14.79730359909285,30.271779717630196
2250,gis,fixed,22.36653556057183,14.839190862113266,30.372677418993785
2251,gis,fixed,22.427227112330456,14.881187337325283,30.47549082249312
2252,gis,fixed,22.508341312124948,14.92378284555547,30.57484487775828
2253,gis,fixed,22.578702376103443,14.956121010094119,30.686293598439676
2254,gis,fixed,22.64194953181014,14.98512220724891,30.799481661376742
2255,gis,fixed,22.702303485644617,15.02894054808327,30.90719776252678
2256,gis,fixed,22.756654611709017,15.055982357286538,31.012411976981664
2257,gis,fixed,22.817261269403176,15.081677562516784,31.114116205092948
2258,gis,fixed,22.880678666654557,15.107906204672613,31.2163832113968
2259,gis,fixed,22.948217441173412,15.133780783952012,31.317740827385734
2260,gis,fixed,23.02001493856484,15.165943027499596,31.415961618849646
2261,gis,fixed,23.082207419911395,15.204560758683465,31.50890933737714
2262,gis,fixed,23.143075430272408,15.239839263509253,31.6059227246527
2263,gis,fixed,23.200051003998638,15.268562268352262,31.703038484953932
2264,gis,fixed,23.26608854377576,15.29707477438144,31.800477476688222
2265,gis,fixed,23.333446300335623,15.325378168862047,31.899141818892303
2266,gis,fixed,23.391763463004658,15.353935361434196,32.00178832326539
2267,gis,fixed,23.449148080231325,15.382147985717523,32.092537587351096
2268,gis,fixed,23.509312877978523,15.408541770667352,32.18858543365617
2269,gis,fixed,23.562632470904298,15.434194053487829,32.283722674298694
2270,gis,fixed,23.618398342631014,15.459571344021285,32.37815630430621
2271,gis,fixed,23.673452363204937,15.484689088209656,32.47192074243743
2272,gis,fixed,23.732335837106415,15.510594171125659,32.56423808273497
2273,gis,fixed,23.80031030861474,15.542193369276628,32.638241890413596
