ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp245,ais,2150,joint,2000,48.174039410921765,50.87427659626776,6.858868430197306,126.88032330518472,120.02145487498741,1.1069905701471972,0.8862165230296302,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,ais,2300,fixed,2000,176.55940737781577,168.91875235595774,22.751745156134362,322.3189419480283,299.56719679189393,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,ais,2300,joint,2000,157.24802989705114,147.16535085549484,15.142975114076537,332.4036314224852,317.26065630840867,1.0590634078296837,0.8906239108548851,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2100,fixed,2000,20.099426677633225,20.083833047449335,17.857531460832618,22.359158561800232,4.501627100967614,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2100,joint,2000,15.25010777776452,15.55286034042468,9.180145372904724,23.232259752105854,14.05211437920113,3.1215633956399147,0.7587334714743351,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2150,fixed,2000,29.61364975129113,29.590674752549965,26.31053564787703,32.943043650074074,6.632508002197046,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2150,joint,2000,21.90278134335713,22.75580548665727,12.704385362532168,36.17769105695302,23.473305694420855,3.5391296454742647,0.7396177616506789,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2300,fixed,2000,46.34802182531034,46.31206388861443,41.17835156033895,51.55882233054419,10.380470770205235,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2300,joint,2000,35.78163617327138,38.795709769354914,19.611962128719895,68.01596736810318,48.40400523938328,4.662987480135862,0.7720207845792303,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,lws,2100,fixed,2000,2.8138468232151475,2.813846823215153,2.8138468232151475,2.8138468232151475,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
