ssp,peak_gmt_K,model,committed_m_sle_midrange
SSP1-2.6,1.9191694921665703,PISM-dEBM,1.5580115695904047
SSP1-2.6,1.9191694921665703,Yelmo-REMBO,5.4780308
SSP2-4.5,3.186947386376716,PISM-dEBM,6.900560856133902
SSP2-4.5,3.186947386376716,Yelmo-REMBO,6.8233595000000005
SSP5-8.5,7.814805661771588,PISM-dEBM,7.397922176579791
SSP5-8.5,7.814805661771588,Yelmo-REMBO,7.42
