year,ais_p5,ais_p50,ais_p95,gsic_p5,gsic_p50,gsic_p95,gis_p5,gis_p50,gis_p95,te_p5,te_p50,te_p95,total_p5,total_p50,total_p95,ais_obs,gsic_obs,gis_obs,te_obs,total_obs
1900,-0.8078861435291422,-0.6649837537139722,-0.5643134984109061,-7.691842873264999,-7.170366374211568,-6.712666941277325,-4.944399069542351,-4.4563660723103435,-3.960377246167775,-4.328117436241491,-4.057211890186867,-3.7532739443686234,-15.358737882153711,-14.82294226849414,-14.177397020990888,-0.6340783032503996,-7.27700420292941,-4.130332357233222,-3.6098928928375242,-14.198217868071225
1901,-0.798740006367394,-0.6591674242992875,-0.5603723843556188,-7.581982968588039,-7.069665996444511,-6.62266920559359,-4.895873429878245,-4.41382637664165,-3.923254628562553,-4.295551609080468,-4.02668442342612,-3.7250333819622523,-14.873901051792302,-14.351071906465243,-13.718323412658307,-0.6286254796114836,-7.192015799609098,-4.14182832891291,-3.6964476108551025,-13.752241184900765
1902,-0.7897849923374202,-0.6533761371918412,-0.5563045198826237,-7.474589728212417,-6.970892896103807,-6.536536528646286,-4.847801410979519,-4.3705822520004745,-3.8864473010638045,-4.262891359091277,-3.9960684439512892,-3.696710937595436,-14.552244765921888,-14.041286645060715,-13.419387949282253,-0.6231535824862393,-7.1059981909665195,-4.110059530084785,-3.7697138309478753,-14.911070353898126
1903,-0.7806162538358008,-0.6476501070091678,-0.5519746974699673,-7.3684867750402585,-6.874060505954478,-6.450219342176614,-4.7988879039125365,-4.327535343916924,-3.84965471155333,-4.268600510614715,-4.001420248236871,-3.701661822125034,-14.395867001701353,-13.8945969847087,-13.285409444733563,-0.6177760037508879,-7.048844107714567,-4.069244558160955,-3.89201683998108,-13.898856883530264
1904,-0.7716807377307782,-0.641896828219725,-0.5485897626910232,-7.266535223070452,-6.78005698066409,-6.366021806654772,-4.751161169554873,-4.285052072957257,-3.8132025328447696,-4.383813264436351,-4.10942160485261,-3.8015724722744024,-14.391139676818097,-13.900445448498262,-13.299556831129665,-0.612356558713046,-6.964708670702848,-3.986545354669745,-4.005975580215455,-13.744080748090635
1905,-0.7628637301305538,-0.63714751030378,-0.5457825928385187,-7.174227363297516,-6.696820179724389,-6.290393310665435,-4.7036420882250445,-4.243633849768471,-3.777949591475329,-4.409177587767989,-4.133198324344082,-3.8235680061940758,-14.21731174800881,-13.7375112931688,-13.144387456658105,-0.6069045933810149,-6.865145072070035,-3.965610296075995,-4.084479761123657,-12.970216531161334
1906,-0.7532913369775908,-0.6317655182186324,-0.5426659426758642,-7.0867402672689686,-6.616586405880115,-6.218105912167101,-4.657606657060351,-4.20278465586964,-3.743285693610423,-4.379822296624555,-4.105680439716057,-3.7981115690707608,-14.252721395948095,-13.783289064146253,-13.199016670971435,-0.6014521512118254,-6.785165366259489,-3.9195184534246272,-4.1820330142974855,-14.432600292481698
1907,-0.74425221572107,-0.6261462326019878,-0.5385863784919508,-6.99635550002277,-6.532717767032832,-6.141331456017095,-4.610110012856166,-4.161118009360365,-3.707978183551143,-4.333653176423914,-4.062401137294868,-3.7580744493677485,-14.104848374986846,-13.644267879878857,-13.071262565242066,-0.5960208806124601,-6.7199607458981605,-3.8829637354070488,-4.245766305923461,-13.798995908912747
1908,-0.7353811710765189,-0.6203674836168591,-0.5347782686190717,-6.903457413752418,-6.446611164841819,-6.062299639966648,-4.562875280811168,-4.118751923974686,-3.6726409507713536,-4.32273992214286,-4.052170965474907,-3.748610650488734,-13.881414187134778,-13.429357614125124,-12.865168628726952,-0.5906124981966887,-6.640979727831754,-3.8119527643377134,-4.304152536392211,-15.283324541043815
1909,-0.7263537224929462,-0.6149086634217997,-0.5311483215210782,-6.810899089592664,-6.362040927238443,-5.984615634524296,-4.51477192497262,-4.076551313203333,-3.6366858154871964,-4.289505358726162,-4.021016620001211,-3.7197901707393015,-13.6224358435784,-13.179685671733795,-12.624051368120615,-0.5851665410128508,-6.5662955847653475,-3.7546384638006036,-4.4123697757720945,-14.744668796048046
1910,-0.7173851499068596,-0.6092551426633623,-0.5271679469689227,-6.720540811045357,-6.276822234643102,-5.906093990175571,-4.467860827100701,-4.034429803557396,-3.6011197285826753,-4.249670327619481,-3.9836749433408993,-3.6852458713924596,-13.406094756680108,-12.971392350027639,-12.426400071239177,-0.5797470959750088,-6.496743735400114,-3.709659749811346,-4.497396707534791,-14.584220989879785
1911,-0.7082529045806787,-0.6033753950145332,-0.5229891433648557,-6.6275687311565585,-6.191036600305433,-5.828702516359799,-4.421030089543951,-3.9918113200500285,-3.5640147163696594,-4.2150180378418165,-3.951191609841004,-3.6551959621071504,-13.194590035384385,-12.768607412297538,-12.231922191679894,-0.5743019017306241,-6.407831534472379,-3.7024556940252134,-4.502541589736938,-13.043930420599185
1912,-0.6997458038826192,-0.5975271304900418,-0.5187821305377075,-6.536194885601846,-6.106467876568923,-5.750658798002649,-4.372968689561156,-3.949588588611111,-3.5284083675201794,-4.181824974521895,-3.920076166889841,-3.626411470575279,-13.040017821857823,-12.622587171249352,-12.093646077292867,-0.5688701542941008,-6.332779654589567,-3.6499250238591983,-4.496937417984009,-12.278627734047507
1913,-0.6913064958081905,-0.591821559536175,-0.5145106720716982,-6.446894970008944,-6.02290809140229,-5.6737323090513065,-4.325482343701424,-3.9073075162131077,-3.4922398677319113,-4.243358362126103,-3.9777580564201,-3.679772236267479,-13.063922077466511,-12.652808392661104,-12.130337648182827,-0.563472453030673,-6.264344748583707,-3.6160070245916187,-4.43869423866272,-11.516863662958656
1914,-0.6826659185133978,-0.5864699827843838,-0.5113399537596559,-6.36487919173485,-5.946812615379416,-5.60376924645357,-4.278176398088358,-3.8657303487875354,-3.456026036355914,-4.284549433497239,-4.016370896066528,-3.715492471957795,-12.829198221661303,-12.424438041695087,-11.911968413266122,-0.5580358418551359,-6.151126059618863,-3.6001985376531427,-4.3344473361969,-11.317767953942738
1915,-0.6743221667164696,-0.5813108881963533,-0.5076157389556141,-6.285275228489487,-5.873397155270227,-5.537524773046619,-4.2315160862334436,-3.824190424356515,-3.4195717189503734,-4.267957649054455,-4.000817624670285,-3.7011043429023687,-12.59737074674017,-12.199950416072088,-11.694361620582356,-0.5526043805209073,-5.996160849657926,-3.567949086969549,-4.308618783950806,-10.966806909463546
1916,-0.6658776434091226,-0.575746301862456,-0.5033127374236689,-6.206156421355043,-5.798656921880177,-5.467856197070497,-4.18518495815447,-3.7824947436333383,-3.382920224849256,-4.217928341014721,-3.9539197513046087,-3.6577197302881177,-12.655417025991236,-12.263582028567043,-11.768189414111571,-0.5471856984225187,-5.89606166752902,-3.5504369562322453,-4.27322907447815,-13.597869378010007
1917,-0.6574697839995209,-0.5698745047531353,-0.49904880086226955,-6.12337117284291,-5.721948587596341,-5.3955613596957726,-4.138002145231565,-3.74092176504468,-3.346177757125361,-4.166443673411183,-3.9056576122474977,-3.6130730532287623,-12.755780671723869,-12.371053553880834,-11.883951321714951,-0.5418106946078214,-5.776659354296598,-3.4816617792302904,-4.251692819595336,-12.611988349679645
1918,-0.6489086892235737,-0.5639195277112818,-0.4944401047632132,-6.035829274224064,-5.642729053808743,-5.321479709938687,-4.09041124562728,-3.698426003238862,-3.310155382855982,-4.116704355095304,-3.8590315775675745,-3.569939915046689,-12.347732019912561,-11.968937567641543,-11.489094080304467,-0.5363208684054288,-5.671779212084684,-3.470746785944159,-4.2542582035064695,-12.208527517008307
1919,-0.6403122345072276,-0.558155757841203,-0.489392946483958,-5.94824498635528,-5.561160639980814,-5.246046212577701,-4.043113084666342,-3.6561263117187806,-3.273237079727257,-4.067768149735422,-3.8131583873938926,-3.5275032235245174,-11.986221835699157,-11.614135762399854,-11.143906020740328,-0.5308707150545988,-5.585030707446012,-3.454160482233221,-4.2755896091461185,-11.564427391598436
1920,-0.6321836948496099,-0.552317683062589,-0.48428608087524555,-5.861259982433725,-5.4796071013278755,-5.17016093450777,-3.995451435867324,-3.6134728050345455,-3.236522023538668,-4.018357664072492,-3.7668406030720245,-3.4846552437390326,-11.85896703416497,-11.494499314373392,-11.030301880672107,-0.5255169781771574,-5.532799491015348,-3.4362096613103685,-4.26266884803772,-10.701706010615759
1921,-0.6238592350295024,-0.5463524647984275,-0.47883220186522124,-5.77521705024424,-5.3975779392638685,-5.093175467412926,-3.9468242495806907,-3.5704786834134494,-3.1989040723043938,-3.978026143461692,-3.7290335131808705,-3.449680396666322,-11.725808431659969,-11.366311018987346,-10.911207227948038,-0.5200888547030362,-5.471430548754606,-3.420304281061346,-4.285170221328736,-10.734537322586597
1922,-0.6161104896065299,-0.5404631095226088,-0.47336029923931844,-5.688518122477852,-5.317150486843847,-5.016970127686924,-3.8991544280980097,-3.5274146929394723,-3.1621269717203853,-3.9325581079255887,-3.686411413129742,-3.4102512463271206,-11.587265365323827,-11.233590219928448,-10.788010707056278,-0.5146193417635831,-5.397064169970426,-3.4399301355535346,-4.291196298599244,-10.889055580499917
1923,-0.607442760578072,-0.5343892519532409,-0.46768843734953597,-5.601664165255781,-5.236507251855715,-4.939995926526743,-3.8508003437603477,-3.484410192533425,-3.1247268123526073,-3.9134049558968567,-3.6684570952790208,-3.3936419404288967,-11.633129263433014,-11.286240582655964,-10.84832257266502,-0.5092426213351164,-5.277970084277067,-3.4075719659978687,-4.334321069717407,-12.369379719999987
1924,-0.599693426300791,-0.5284600375487987,-0.46292972350894307,-5.517439735215505,-5.156390084999898,-4.865512535168243,-3.8023246784318365,-3.4416883035548134,-3.0873865324199707,-3.888216206845299,-3.6448449605214996,-3.3717986617057223,-11.375369756813129,-11.034165908235279,-10.60295054824273,-0.5037558468905363,-5.183896597948942,-3.348880941217596,-4.327344751358032,-11.843624490956326
