ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvML,glaciers,2100,fixed,2000,9.47414665539766,9.491212000506613,8.265516118351938,10.813529200291018,2.5480130819390805,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvML | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvML,glaciers,2100,joint,2000,8.881586102774435,9.058168685535627,7.133719885483701,11.689661217248915,4.555941331765214,1.788036868436353,0.9374549947160012,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvML | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvML,glaciers,2150,fixed,2000,11.9275975187863,11.946952277955596,10.223001381505275,13.787819468273549,3.5648180867682733,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvML | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvML,glaciers,2150,joint,2000,10.778307903827265,11.054734261801881,8.446600933628094,14.745955069152455,6.299354135524361,1.7670899277879035,0.9036445006507915,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvML | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvML,glaciers,2300,fixed,2000,12.638902082009944,12.680936482302808,10.682425161555589,14.880546603074484,4.198121441518895,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvML | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvML,glaciers,2300,joint,2000,10.655361157238378,10.954157302212455,8.360423903258404,14.650751348989585,6.290327445731181,1.4983671943171133,0.8430606620811698,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvML | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvML,gis,2100,fixed,2000,7.254513406443261,7.249121165339794,5.8124264481027135,8.662094779981905,2.849668331879191,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvML | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvML,gis,2100,joint,2000,6.76742785904675,6.887033329997164,5.239653975017837,8.910130832294607,3.6704768572767703,1.2880365115530141,0.9328575853255857,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvML | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvML,gis,2150,fixed,2000,10.04270467173193,10.052234318787988,7.657507607570589,12.425023800918318,4.767516193347729,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvML | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvML,gis,2150,joint,2000,8.982466144109349,9.208088810254834,6.611287551111139,12.64137817531374,6.030090624202601,1.2648285563490238,0.8944269932972414,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvML | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvML,gis,2300,fixed,2000,10.230297824779807,10.39225440648082,7.308303547118702,13.906009281226899,6.597705734108197,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvML | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
