source,module,marker,marker_label,family,component,year,n_draws,med,p05,p17,p83,p95,band_basis,scenario
Ladrillo,L24,vvVL,Very Low,SSP1,glaciers,2100,2000,7.317448662621313,5.061296112351524,5.848352866106534,9.227890187412116,11.078691400243965,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,glaciers,2150,2000,8.82099448963426,5.9588839194997965,6.945643823777893,11.362279121313303,13.620823419458066,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,glaciers,2300,2000,10.386206709944577,6.8471824015419385,8.070718862873317,13.657273988503015,16.394706260401957,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,gis,2100,2000,6.058161998679735,4.417907620376754,4.982252230476567,7.582148294042748,9.133360046274008,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,gis,2150,2000,7.154589957523799,4.741963462406505,5.5747667035458806,9.360163070313861,11.50328769100025,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,gis,2300,2000,7.754813565272688,4.298735931678281,5.522833391880762,10.996612744254344,13.974838862245583,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,ais,2100,2000,4.303201072410232,3.3899637775876044,3.6472601161098526,5.55345431495555,52.916456821764434,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,ais,2150,2000,6.438603056184421,4.961213404781257,5.368484715384485,8.690916923288885,90.39653233051968,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,ais,2300,2000,11.84401582258521,8.293472184882358,9.715198237755345,16.66110938825628,141.86241203462936,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,te,2100,2000,14.367720451390163,9.223788548200048,11.514213007971987,18.015537600567985,21.154645276723045,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,te,2150,2000,17.281050314208528,10.269389743614518,13.317640309333934,22.36634728751769,26.59692895795489,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,te,2300,2000,18.60571270153607,8.845156741030301,12.614709948741444,25.97188005271708,32.61193141711955,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,lws,2100,2000,2.596380650083528,2.596380650083528,2.596380650083528,2.596380650083528,2.596380650083528,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
Ladrillo,L24,vvVL,Very Low,SSP1,lws,2150,2000,4.2307986469202445,4.2307986469202445,4.2307986469202445,4.2307986469202445,4.2307986469202445,"joint (Ladrillo posterior x FaIR forcing, tapped)",vvVL
