marker,decline,climate,year,gmst_K,ladrillo_cm,equilibrium_ceiling_cm,saturation_S_over_Seq,headroom_cm,headroom_floored_cm,frac_blocks_Seq_negative,regrowth_R1_cm
vvVL,True,fair,2100,,6.950901121879456,17.930708886814514,0.5348859388814077,0.0,0.0,0.0,-0.04930987162292455
vvVL,True,fair,2150,,8.484773199539372,17.021698430807096,0.6233635466075081,0.0,0.0,0.0008333333333333334,-0.04055894851138664
vvVL,True,fair,2300,,10.13023511855021,15.110951193438634,0.7643969733267563,0.0,0.0,0.010833333333333334,-0.026798409245542665
vvVL,True,magicc,2100,1.380962925005992,5.938132574115269,15.57472312261518,0.5461071185815394,0.0,0.0,0.006666666666666667,-0.05314844047386025
vvVL,True,magicc,2150,1.1290515639587266,6.867733145185252,13.827894951375159,0.643446599270248,0.0,0.0,0.034166666666666665,-0.04750539384218566
vvVL,True,magicc,2300,0.6779271324314322,7.571140470284723,10.151117277731085,0.838664796919007,0.0,0.0,0.09250000000000001,-0.038971735440726185
vvLN,True,fair,2100,,7.388410850387516,18.36296357565594,0.5432284516197294,0.0,0.0,0.0,-0.04792834419557135
vvLN,True,fair,2150,,8.725479558897295,15.696145857024124,0.6722411211339262,0.0,0.0,0.006666666666666667,-0.039816674646282024
vvLN,True,fair,2300,,9.053170650921224,7.302262876352881,1.1227866378993432,2.1626371325640283,1.8337977865001274,0.12916666666666668,-0.24175808342859195
vvLN,True,magicc,2100,1.4663199508461704,6.629076936180846,16.184079288151867,0.5632140116922151,0.0,0.0,0.0033333333333333335,-0.0505369583976254
vvLN,True,magicc,2150,0.856014831363842,7.306130823883398,11.723652797084725,0.7493416831400208,0.0,0.0,0.07333333333333333,-0.04637024526433109
vvLN,True,magicc,2300,-0.6724842763511164,7.3878779312477265,-8.60625264040738,112764400557.29318,16.2774592333248,9.970611268196624,0.47583333333333333,-2.9395462229066727
vvL,False,fair,2100,,7.367439583883871,18.874752241279456,0.5315255195849464,0.0,0.0,0.0,-0.047993006899156754
vvL,False,fair,2150,,9.151240201385804,17.83406019902008,0.6329741173216381,0.0,0.0,0.0,-0.038052401520977774
vvL,False,fair,2300,,10.63694970189399,15.380117410073996,0.778501615724583,0.0,0.0,0.008333333333333333,-0.025251763747245803
vvL,False,magicc,2100,1.622318018362048,6.60481636729902,17.14618471371922,0.5373911975522738,0.0,0.0,0.0008333333333333334,-0.05059916043517898
vvL,False,magicc,2150,1.3056142205345735,7.774791655218175,15.071211332876251,0.6492162546492122,0.0,0.0,0.012499999999999999,-0.04386784359504681
vvL,False,magicc,2300,0.8506228035345995,8.529303448100006,11.680701914640899,0.8222113950637171,0.0,0.0,0.07333333333333333,-0.03504765669383669
vvML,True,fair,2100,,8.662651766026542,21.26384155312406,0.5367291033373127,0.0,0.0,0.0,-0.04506076155121619
vvML,True,fair,2150,,11.045139790295435,19.558842584485177,0.6700086611714868,0.0,0.0,0.0,-0.03227577518767255
vvML,True,fair,2300,,11.837281572852461,9.952192057847572,1.123588387292839,2.40097970235918,2.2024845368978063,0.09333333333333334,-0.19378579604326163
vvML,True,magicc,2100,2.2203787692000665,8.08139506067154,20.286250325401685,0.5320296547410373,0.0,0.0,0.0,-0.04628855017281097
vvML,True,magicc,2150,1.647620321596223,9.910010789315344,17.32429249219934,0.6804970184002047,0.0,0.0,0.0008333333333333334,-0.03596862419155844
vvML,True,magicc,2300,-0.0301218668775795,10.259629610130787,2.3745830694844563,2.087330631216841,8.351429232798461,6.571055377260427,0.2008333333333333,-0.7675716004108875
vvM,False,fair,2100,,9.499829769492797,23.08585967232753,0.5360384519473267,0.0,0.0,0.0,-0.04309423991913608
vvM,False,fair,2150,,14.413467135901065,24.731577657619862,0.6742051714717442,0.0,0.0,0.0,-0.021880442100923325
vvM,False,fair,2300,,21.288416592681152,25.81429528478148,0.8651160734322351,0.0,0.0,0.0,-0.00414266886492598
vvM,False,magicc,2100,2.8185724243841883,8.949848424525966,22.56196968136738,0.5255452077058718,0.0,0.0,0.0,-0.044621457298748446
vvM,False,magicc,2150,3.517745376607664,13.685076714286762,24.31271862417417,0.6586232784656021,0.0,0.0,0.0,-0.02387652380699201
vvM,False,magicc,2300,3.875576396170535,20.14723309269381,25.022661062150668,0.8525525258607276,0.0,0.0,0.0,-0.005030856720845023
vvHL,True,fair,2100,,10.491239284848747,23.014595549043218,0.5730083165616522,0.0,0.0,0.0,-0.0397195211401824
vvHL,True,fair,2150,,13.065603272703083,21.153734056290055,0.711806898259997,0.0,0.0,0.0,-0.025185385834790353
vvHL,True,fair,2300,,14.110653848012578,16.327376006905197,0.9043237072502062,0.3098990026514007,0.3098990026514007,0.0025,-0.039442545015266894
vvHL,True,magicc,2100,2.6825898642904904,9.709727045879758,22.100272748066295,0.5627404154766612,0.0,0.0,0.0,-0.042323262325743904
vvHL,True,magicc,2150,2.037990111212377,11.80352925338805,19.404099331215733,0.7059184356410027,0.0,0.0,0.0,-0.02997136117777721
vvHL,True,magicc,2300,0.8934431854190883,12.37262048658149,12.035963482309425,1.0263365424966353,1.4544639297532296,1.415538967465238,0.06333333333333334,-0.1694510523142494
vvH,False,fair,2100,,10.49540377278905,24.12117469264239,0.5509645270888583,0.0,0.0,0.0,-0.03989656261297547
vvH,False,fair,2150,,16.70350889575886,26.18090638229356,0.7142305035263519,0.0,0.0,0.0,-0.016987590749621972
vvH,False,fair,2300,,25.15600130306609,27.662895270602952,0.9281037925156093,0.0,0.0,0.0,-0.001438181641123748
vvH,False,magicc,2100,3.408348100345692,10.246302851062893,24.065367903274165,0.5438593149812898,0.0,0.0,0.0,-0.04070770613168406
vvH,False,magicc,2150,4.7344674738895645,16.61578670450198,26.190148843299532,0.7115115921655386,0.0,0.0,0.0,-0.017179708685336692
vvH,False,magicc,2300,6.535614732699389,24.90255341037827,27.54876881500949,0.9250489008481532,0.0,0.0,0.0,-0.0015792321111138818
