bookfix,block,a,b,T_off,amp_b,S2000_mm,S2020_mm,kappa_anch,nu_anch,anch_exact,com1p2,com1p5,com2p0,com3p0
False,SLOW,0.24081,0.47762,0.46510,1.44100,32.91270,36.87748,0.00102,1.35373,True,35.43800,45.82570,62.77350,74.07750
False,FAST,0.14218,0.41429,-1.52600,1.23005,60.07800,67.95755,0.00321,1.59756,True,44.77160,50.69680,63.26240,78.56940
True,SLOW,0.22669,0.47762,0.59164,1.44100,18.78991,22.75469,0.00102,1.35373,True,35.43800,45.82570,62.77350,74.07750
True,FAST,0.12817,0.41429,-1.27556,1.23005,46.06559,53.94514,0.00321,1.59756,True,44.77160,50.69680,63.26240,78.56940
