year,ssp,component,gmst,med,p05,p17,p83,p95,n_finite
1990,SSP1-2.6,glaciers,0.5557397132233756,-0.7187142214357669,-0.8918184752149886,-0.8099486081751616,-0.67032000356045,-0.6350587840434335,2000
1991,SSP1-2.6,glaciers,0.5885637306361448,-0.6854061636177247,-0.8449439731894098,-0.7683512426712578,-0.6399119625686606,-0.6067766152621572,2000
1992,SSP1-2.6,glaciers,0.5090689778394178,-0.6474268291628644,-0.7933963430234706,-0.722166915981981,-0.6061202810880884,-0.576383709701257,2000
1993,SSP1-2.6,glaciers,0.3084522979487564,-0.6275830998891165,-0.7616483499364437,-0.6965705299219668,-0.5884045205158084,-0.5605681674924485,2000
1994,SSP1-2.6,glaciers,0.332676813580452,-0.5864842959366587,-0.7091802932365902,-0.6505266959752076,-0.5498017137570512,-0.5249796485310084,2000
1995,SSP1-2.6,glaciers,0.4547856293863089,-0.5496146964898951,-0.6608119980032885,-0.6084866734277895,-0.516179724248934,-0.4930939925430182,2000
1996,SSP1-2.6,glaciers,0.5463394857269461,-0.5016968373449313,-0.6017089792963146,-0.5545739119530525,-0.4708414660787902,-0.45018587168920515,2000
1997,SSP1-2.6,glaciers,0.600043540445978,-0.4608410122561164,-0.5459261301661568,-0.5058092244711117,-0.43357351133767696,-0.41487409289202304,2000
1998,SSP1-2.6,glaciers,0.6466075693928761,-0.41291154204140046,-0.4868803123631335,-0.452043901737057,-0.3890847214184727,-0.37215519366345406,2000
1999,SSP1-2.6,glaciers,0.686007840655961,-0.3350928592740381,-0.39687264397075833,-0.36786857524901717,-0.31581683048846576,-0.30206980357573815,2000
2000,SSP1-2.6,glaciers,0.7295563669080296,-0.2912150477744577,-0.343639181698861,-0.31928265781555304,-0.27432009099467225,-0.2617126066595864,2000
2001,SSP1-2.6,glaciers,0.7655239205849365,-0.24071421458959952,-0.2831432798939704,-0.26360444202894406,-0.22599893450611852,-0.21605550678810267,2000
2002,SSP1-2.6,glaciers,0.7999498588212678,-0.1800680968316457,-0.20996717122877107,-0.1961788355224217,-0.16917103152099125,-0.16170425325630297,2000
2003,SSP1-2.6,glaciers,0.8301407393993533,-0.11541391839601767,-0.13220668109121375,-0.12450213899378174,-0.10894068922894343,-0.10425028711602828,2000
2004,SSP1-2.6,glaciers,0.8359312010698448,-0.050958500774298976,-0.05840279834322994,-0.0552601497646187,-0.04764699209895565,-0.04490160947579391,2000
2005,SSP1-2.6,glaciers,0.843916603443868,0.002378390612165937,-0.0076308362986230675,-0.0029410658013273227,0.0072949275283574365,0.011127561544601948,2000
2006,SSP1-2.6,glaciers,0.8516506513236204,0.07627010356274955,0.06333587534529923,0.06867220916927858,0.08586541261563589,0.09475303895631368,2000
2007,SSP1-2.6,glaciers,0.8597675192449368,0.1591638381600431,0.14149447084938319,0.14842978950815094,0.1738995175607966,0.1882775421845906,2000
2008,SSP1-2.6,glaciers,0.8671015531069908,0.22399820028694162,0.20101512877028455,0.20997907277133065,0.24549919580371027,0.2648749968264249,2000
2009,SSP1-2.6,glaciers,0.8915919796329949,0.270733911708005,0.24381557882150928,0.25487653593770626,0.29756443593562903,0.3209441662882301,2000
2010,SSP1-2.6,glaciers,0.91224213325433,0.33247479719688977,0.2991279397032579,0.31271753248693923,0.3659775108483879,0.3954497401017267,2000
