name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.5489583108418754,0.9437701479558336,1.5903679267104938,0.9906387671033073,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
antarctic_alpha,2,antarctic_icesheet,0.29618737,0.23016505,1.0231069e-05,0.9999879,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.14055982141320048,0.37791622701146266,0.698157088488051,0.39835788713082937,"Partition of ocean subsurface temperature into ice flux, α_DAIS",–
antarctic_nu,3,antarctic_icesheet,0.008766364,0.0034420667,0.0030000487,0.014999919,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.00417492215952244,0.0086988839429909,0.013440024362404594,0.008723700698302545,Runoff-decrease-with-height to precipitation constant ν,m⁻¹ᐟ² yr⁻¹ᐟ²
anto_alpha,4,antarctic_ocean,0.36223876,0.26114184,7.3700244e-07,0.9999599,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.16640267807869374,0.39157861985728337,0.7056615366027307,0.40741603217103084,Antarctic ocean temperature sensitivity a_ANTO,°C °C⁻¹
anto_beta,5,antarctic_ocean,0.9759287,0.5780004,2.5803324e-06,1.9999987,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.19824362926791958,0.9404287896112085,1.7394498482864897,0.9455154993368862,Antarctic ocean temperature offset b_ANTO,°C
gis_c1,6,greenland_icesheet,0.032766,0.05,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.019154913632506827,0.04564881773216305,0.08160938632529766,0.047368361216371134,Committed-loss sensitivity to regional temperature,m SLE K⁻¹
gis_c0,7,greenland_icesheet,0.040429,0.1,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.06969863812886647,0.11022168374679014,0.18196038409937704,0.11619158736815766,Committed loss at zero regional anomaly,m SLE
gis_f,8,greenland_icesheet,0.782569,0.3,0.02,0.98,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.3533985399341835,0.5856379756506509,0.744755373162161,0.5718145491932645,Surface-mass-balance share of the committed loss,–
gis_alpha_f,9,greenland_icesheet,0.0028487,0.02,0.0,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.0005880223953518551,0.0020095721157203502,0.004938434442299406,0.0022781079807737683,"Fast (SMB) channel rate, temperature-dependent part",yr⁻¹ K⁻¹
gis_beta_f,10,greenland_icesheet,0.0073684,0.05,1e-06,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.0016304366270080601,0.0047970854509041,0.010211852382819775,0.005204688851802478,"Fast (SMB) channel rate, constant part",yr⁻¹
gis_slow_ell,11,likelihood_only,-4.207448374546157,1.0,-8.207448374546157,-0.207448374546157,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,-6.4940016419571505,-5.657207795828094,-4.971041588242534,-5.683391297033632,Slow (discharge) channel: log rate at the reference temperature,ln(yr⁻¹)
gis_slow_w,12,likelihood_only,0.9328151097655012,1000.0,0.0,1.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.05108466837511615,0.4408151021435581,0.9244514068033123,0.45914753319639195,Slow (discharge) channel: temperature-dependent fraction of the rate,–
gis_amp,13,likelihood_only,1.9221976385152952,0.3181243343729514,1.5101657793813976,2.2846646737809513,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,1.5743025970694502,1.9131650530986763,2.2302851715795518,1.908079971432036,Southern-Greenland/global warming ratio,–
gis_s_high,14,greenland_icesheet,0.0,0.5,-2.0,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,-0.783148648143604,-0.5564713376179784,-0.36246558698205833,-0.5617169884431521,log₁₀ rate scale of the high basin (NO+NE) relative to the active basin,log₁₀(–)
thermal_alpha,15,thermal_expansion,0.16,1000.0,0.05,0.3,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.14835157164420235,0.16696651074329694,0.18593363295808912,0.16701662223334462,Thermal expansion coefficient α,kg m⁻³ °C⁻¹
