name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.5489583108418754,0.9437701479558336,1.5903679267104938,0.9906387671033073,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
gic_a_R19,16,glaciers_small_icecaps,0.069,0.018,0.01,0.141,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.03936135142142062,0.06762312726325675,0.09568118699684836,0.06755589016080973,"Committed-loss scale a, RGI 19",m SLE
gic_b_R19,17,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.19417528540353238,0.7231753969282567,2.5204800888926506,0.9548888841804659,"Equilibrium temperature sensitivity b, RGI 19",K⁻¹ (glacier frame)
gic_T_off_R19,18,glaciers_small_icecaps,0.162195920935,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,-3.1361427193761053,-0.14630935675112933,0.7181112946455721,-0.5405226348926234,"Equilibrium temperature offset T_off, RGI 19","K rel. 1850–1900, glacier frame"
gic_log10_kappa_R19,19,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,-2.997760262065848,-2.7784459154299803,-2.562114146180699,-2.7797048546729672,"log₁₀ of the response-rate constant κ, RGI 19",log₁₀(yr⁻¹ K⁻ν)
gic_a_SLOWP,20,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.09012801709862965,0.1318846322710534,0.17623333505671265,0.13227593952429625,"Committed-loss scale a, SLOWG",m SLE
gic_b_SLOWP,21,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.11441466778583904,0.17199997297956404,0.2879066608829421,0.18234237915084914,"Equilibrium temperature sensitivity b, SLOWG",K⁻¹ (glacier frame)
gic_T_off_SLOWP,22,glaciers_small_icecaps,0.342896725929,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,-3.8748566352527476,-2.7242722399550776,-1.0194437758434753,-2.623608017313222,"Equilibrium temperature offset T_off, SLOWG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_SLOWP,23,glaciers_small_icecaps,-3.4077329224195196,0.114,-4.748442048628195,-2.1692365340734474,"N(k10c(gic_amp_SLOWP), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -3.408,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,-3.6885517548844704,-3.4787432959533033,-3.2612083611298317,-3.477274371917454,"log₁₀ of the response-rate constant κ, SLOWG",log₁₀(yr⁻¹ K⁻ν)
gic_a_FAST,24,glaciers_small_icecaps,0.139935475733,0.0242107853213,0.08091770565225,0.2367786170182,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.12172407553432733,0.15138724439428364,0.18277095408489014,0.15168530312942513,"Committed-loss scale a, FASTG",m SLE
gic_b_FAST,25,glaciers_small_icecaps,0.368982026346,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.25072160381024833,0.33295668562054803,0.4593645292283606,0.34072975170345327,"Equilibrium temperature sensitivity b, FASTG",K⁻¹ (glacier frame)
gic_T_off_FAST,26,glaciers_small_icecaps,-1.21396297595,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,-2.177531549604224,-1.5216528654929808,-0.9231356267835238,-1.5328335315183694,"Equilibrium temperature offset T_off, FASTG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_FAST,27,glaciers_small_icecaps,-2.583191353176445,0.114,-3.774659554587068,-1.5210935581243517,"N(k10c(gic_amp_FAST), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.583,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,-2.7622771709908096,-2.610975215229952,-2.455525485382386,-2.609815614842748,"log₁₀ of the response-rate constant κ, FASTG",log₁₀(yr⁻¹ K⁻ν)
gic_amp_R19,28,likelihood_only,0.72,0.15,0.58,0.88,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.5983381473436775,0.7261490826849664,0.8582135186402471,0.7279640020659546,"Regional/global warming ratio, RGI 19",–
gic_amp_SLOWP,29,likelihood_only,2.5,0.45,1.8,3.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,2.077569009750937,2.633658664824922,3.1907168710943603,2.635274715661284,"Regional/global warming ratio, SLOWG",–
gic_amp_FAST,30,likelihood_only,1.45,0.15,1.33,1.82,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,1.346307040850694,1.4696188795618106,1.6643397281419106,1.4818254387343655,"Regional/global warming ratio, FASTG",–
gic_u_unch,31,likelihood_only,28.15,1000.0,14.5,41.8,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,21.0228318557499,33.27763378444979,40.815149866309866,32.43342064532564,Uncharted-ice content of the Frederikse glacier target,mm SLE
d2_steric_1,32,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.008289428661695547,0.2120084745930203,0.3964709565570155,0.20839470881154867,"Thermal-expansion discrepancy, basis coefficient 1",cm (RMS)
d2_steric_2,33,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,-0.04906746185913029,0.06887548401536114,0.19687215637943564,0.07063537010882182,"Thermal-expansion discrepancy, basis coefficient 2",cm (RMS)
antarctic_kappa,34,antarctic_icesheet,0.05877084,0.016584998,0.025000414,0.084999464,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.03212087784141587,0.053895818414569446,0.07653515673366942,0.05399602673344938,Exponential dependence of precipitation on Antarctic temperature κ_DAIS,°C⁻¹
ais_gmst_amp,35,antarctic_icesheet,1.09,0.18,0.55,1.63,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.7854090932260469,1.0738981648969044,1.3662217751396735,1.073558414962245,Antarctic/global warming ratio,–
ais_mu,36,antarctic_icesheet,10.803983219053745,1.8146745536450215,7.050094127655029,13.64998722076416,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,8.33896484907166,10.94161020633112,13.128766692741154,10.847789116174388,Profile parameter µ,m¹ᐟ²
ais_bedheight0,37,antarctic_icesheet,780.0119260199738,22.981432678137423,740.0018920898438,819.9996337890625,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,748.6576884862538,780.4352165265142,811.4518767743889,780.3085050596798,Bed height at the continent centre b₀,m
ais_slope,38,antarctic_icesheet,0.0006282574195086,6.241869534698466e-05,0.0004504189419094,0.000749991624616,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.0005723372145779801,0.0006152634690525999,0.000678588090760355,0.000619411895831408,Bed slope,–
ais_iceflow0,39,antarctic_icesheet,1.236704511362016,0.3409994913939713,0.6000201106071472,1.7999885082244873,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.6925957865930039,1.1433901508633375,1.617250594057274,1.1465227455078537,Ice-flow constant f₀,m yr⁻¹
ais_precip_u,40,antarctic_icesheet,-1.9760223084136732,0.7434692410998681,-1000000000.0,1000000000.0,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,-1.7967173799750806,-1.6769510797620537,-1.4613675269090687,-1.661435286262125,"u = ln P₀ + κ_DAIS·T̄ (T̄ = −17.99 °C, DAIS scale); ln P₀ is derived",ln(m yr⁻¹)
ais_runoff_Ton,41,antarctic_icesheet,-15.635803044193976,5.538678616391889,-43.273209157795954,-5.221713088869225,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,-22.512193322325015,-15.240808476833653,-8.104228678817204,-15.304727306185185,Runoff onset temperature T_on = −h₀/c (sampled in place of h₀),°C (DAIS scale)
ais_c,42,antarctic_icesheet,97.23491521829128,26.614172731873794,47.5013542175293,142.49981689453125,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,59.065992245340574,97.20325507845682,132.91765772597523,96.8248714954951,Runoff-line slope c,m °C⁻¹
sd_ais,43,noise,0.0,5.0,0.0325870648137172,inf,"half-normal N+(0, 5) cm, FLOORED at 0.03259",AR(1) innovation sd of the ais residual,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.032614728279256766,0.0329435902179418,0.03410506198257623,0.03309690627502631,"AR(1) innovation sd, Antarctica",cm
rho_ais,44,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the ais residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.9063050434073215,0.9654630166076528,0.9876421781247321,0.9585329550864637,"AR(1) autocorrelation, Antarctica",–
sd_gsic,45,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gsic residual,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.01216373397557158,0.01675632830658385,0.022378574145498185,0.016941853443433956,"AR(1) innovation sd, glaciers",cm
rho_gsic,46,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gsic residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.17189274918240519,0.6107212233302715,0.9419004657488459,0.5906687823539399,"AR(1) autocorrelation, glaciers",–
sd_gis,47,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gis residual,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.021921505044669935,0.025470878011895202,0.029757528082086215,0.025613464008332296,"AR(1) innovation sd, Greenland",cm
rho_gis,48,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gis residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.8426867830606171,0.9599417236752511,0.9878106992397245,0.9433205221965473,"AR(1) autocorrelation, Greenland",–
sd_steric,49,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the steric residual,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.08954830734429892,0.10114235460998205,0.11490573506256403,0.10158995737021267,"AR(1) innovation sd, thermal expansion",cm
rho_steric,50,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the steric residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L32 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L32) | posterior parameters_subsample_brick_mengel_L32.csv n=10000 | quantiles 5/50/95 over all draws | commit f7389e7 | 2026-09-23 10:36,0.8530402099221326,0.9405084943835218,0.9832417778660364,0.9326559431615223,"AR(1) autocorrelation, thermal expansion",–
