scenario,estimator,dt_bin,n_models,median,lo95,hi95
ssp126,secant,0.75,40,1.6703271592796054,1.5213461299312065,1.886437839444785
ssp126,secant,1.25,40,1.6632692376981657,1.5583304957210853,1.7838268552701386
ssp126,secant,1.75,35,1.6587119364917096,1.6220135717802397,1.7290726633994449
ssp126,secant,2.25,21,1.602522046533106,1.4791458074236583,1.7797370472192675
ssp126,secant,2.75,9,1.8998878567637307,1.4674535535606992,2.1341946916925645
ssp245,secant,0.75,40,1.682804309226193,1.5425181352939505,1.882437678708337
ssp245,secant,1.25,40,1.6911821659564623,1.5667799063220083,1.7655073947786692
ssp245,secant,1.75,40,1.5916738384235223,1.510973356171456,1.7297493520293452
ssp245,secant,2.25,39,1.6010486585292505,1.4821408127498943,1.6966745620978054
ssp245,secant,2.75,27,1.5433246980413986,1.4880129229684833,1.7192681078705858
ssp245,secant,3.25,18,1.5497528585333664,1.4199484048932745,1.7400807060944907
ssp245,secant,3.75,10,1.6547549069413763,1.3789753383215597,1.8425445293610565
ssp585,secant,0.75,40,1.6452481987689869,1.5024976944047594,1.874312627680676
ssp585,secant,1.25,40,1.6911574234685034,1.5342021634591463,1.7282815325663936
ssp585,secant,1.75,40,1.582173839112869,1.4905225632921513,1.6842302117468926
ssp585,secant,2.25,40,1.5669135339913876,1.4473504764349403,1.6579845312477723
ssp585,secant,2.75,40,1.5356756270743124,1.4653098393432595,1.6553861072869842
ssp585,secant,3.25,39,1.5584873424702574,1.48304041138944,1.6680900725051788
ssp585,secant,3.75,34,1.5751680126088505,1.4711897473420066,1.6607154326831821
ssp585,secant,4.25,25,1.5817919425001494,1.4699935007445488,1.7074187219875123
ssp585,secant,4.75,21,1.5308271896312031,1.4601161707162582,1.7283858378327486
ssp585,secant,5.25,14,1.4855401689237184,1.3347478099462409,1.5973902049255082
ssp585,secant,5.75,7,1.4770607578919632,1.3559268776977267,1.67207376939807
ssp126,slope,0.75,40,1.723298837058525,1.4690106537800025,1.829266774917441
ssp126,slope,1.25,40,1.6642355727474694,1.5705210885717613,1.7593796659708947
ssp126,slope,1.75,35,1.6628081755725403,1.6107641731796398,1.7294624694435088
ssp126,slope,2.25,21,1.5985858907166695,1.4770143416922994,1.7866686334377242
ssp126,slope,2.75,9,1.9087721424502333,1.4676510277988677,2.134635100083346
ssp245,slope,0.75,40,1.6871663165628683,1.5095405536369855,1.8838368732967443
ssp245,slope,1.25,40,1.654709429300509,1.590152465328331,1.7414401455707704
ssp245,slope,1.75,40,1.595300302267693,1.528277181595682,1.7094527030930886
ssp245,slope,2.25,39,1.5997705737537635,1.4823587111213983,1.6939526296214635
ssp245,slope,2.75,27,1.5418399958482814,1.4937936233485025,1.7156465416166244
ssp245,slope,3.25,18,1.5479496057747228,1.4124850515586194,1.7410997719208807
ssp245,slope,3.75,10,1.6551471639883624,1.3789515135225179,1.8442181758808942
ssp585,slope,0.75,40,1.675786338534392,1.4536755026865396,1.873533138290993
ssp585,slope,1.25,40,1.6621307436557826,1.5362747079429446,1.7143149178992014
ssp585,slope,1.75,40,1.5706511915890617,1.482700051164431,1.6843556746825425
ssp585,slope,2.25,40,1.552890878759672,1.4484897091925766,1.647166520614557
ssp585,slope,2.75,40,1.5301936127874707,1.4693577433674898,1.6548406927493124
ssp585,slope,3.25,39,1.5580030171703239,1.4842085579065025,1.6640033067138755
ssp585,slope,3.75,34,1.573955816229754,1.4681728438304749,1.6554428776416692
ssp585,slope,4.25,25,1.5784727027242682,1.473960289623745,1.7105301463023004
ssp585,slope,4.75,21,1.52597465186096,1.460649732892321,1.728419564888587
ssp585,slope,5.25,14,1.4870892307502768,1.3389145920128724,1.5946529663815068
ssp585,slope,5.75,7,1.479466102979815,1.3556032111485243,1.6642075778072187
