ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvVL,ais,2100,fixed,2000,4.493080661872881,5.371563430781645,3.669869132519107,5.319360039130207,1.6494909066111,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2100,joint,2000,4.301651890564344,9.07555213406883,3.388620024225505,52.91526890500593,49.52664888078043,30.025414921827945,0.9573947619207124,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2150,fixed,2000,6.799740028007886,7.831344463147414,5.53402761745234,8.074348546214022,2.540320928761682,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2150,joint,2000,6.4357370404401255,14.81728316482591,4.958663148607743,90.39442636623289,85.43576321762515,33.631877866420645,0.9464681022997283,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2300,fixed,2000,12.619040612449236,13.608964289685199,10.534516081806613,14.757582256610226,4.223066174803613,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2300,joint,2000,11.841300752568564,26.796337456110923,8.29104830763532,141.86012724562528,133.56907893798996,31.62845984628725,0.9383677504680191,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2100,fixed,2000,14.784320505379647,14.720503437095987,13.356755324555378,15.902965254289903,2.546209929734525,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2100,joint,2000,14.367720451390163,14.714989315615009,9.223788548200048,21.15464527672304,11.930856728522993,4.685731757305234,0.9718214946816194,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2150,fixed,2000,17.79723646261435,17.720414030756096,16.078745911785212,19.143851283821277,3.065105372036065,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2150,joint,2000,17.281050314208528,17.712477752134316,10.26938974361452,26.596928957954887,16.32753921434037,5.326909594463447,0.9709962752087862,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
