exp,forcing,gcm,ssp,rate_early_mm_yr,rate_tail_mm_yr,loss_2050_cm,loss_2100_cm,loss_2200_cm,loss_2300_cm,loss_2500_cm,loss_3001_cm,still
exp05,MIROC5 rcp85 Rmed,,,0.528697304189432,1.417562384532306,1.848170249950178,12.098502635567549,34.83291128244092,54.76277513745944,89.31587013154359,162.82766615313236,2.681236263736261
exp06,NorESM1 rcp85 Rmed,,,0.47821855481648484,0.7404950978233955,1.6253352855867862,8.902458160328951,24.358908206374917,36.90642367501019,60.016909060239776,104.9263596901183,1.5484449324797918
exp07,MIROC5 rcp26 Rmed,,,0.4730790628484558,0.08198472896165576,1.5969205986887607,4.050384459645807,6.300614931693178,8.015676808794852,11.06417764243996,17.071984543905895,0.17330026923621944
exp08,HadGEM2-ES rcp85 Rmed,,,0.5827960435572516,0.955584400878621,2.0300546361370038,10.083263143668821,29.07384685398069,45.259201996549805,71.62157355453148,124.07375600405992,1.6396549212070073
exp09,MIROC5 rcp85 Rhigh,,,0.5853657895412663,1.4193781893902297,2.0408431001464145,14.04316126081316,38.0565347184923,58.60840670622242,93.8817076480334,167.87237471646242,2.4247713391357464
exp10,MIROC5 rcp85 Rlow,,,0.4924080217716958,1.416232820305794,1.724786689729875,10.840810852385964,32.67195155131649,52.197855806771365,86.44849393309873,159.7022405320962,2.8761367761844223
expa01,IPSL-CM5-MR rcp85,,,0.6504362269799656,1.3027222241560765,2.282443913878289,12.051550024597015,33.79190048063144,52.82639779796753,87.38329154698458,158.59638498358228,2.002843891713618
expa02,CSIRO-Mk3.6 rcp85,,,0.44027569672207845,0.49958945624424017,1.500736123787958,7.415473529398059,18.898957741330538,27.43476007553684,42.963386465307735,71.92836100291177,1.1347195858498709
expa03,ACCESS1.3 rcp85,,,0.5300156956073175,0.7733125416886395,1.812613903778317,9.32282838120268,24.709229386286133,37.36432559462089,60.3459572125268,104.92404244960922,1.459037058897927
expb01,CNRM-CM6-1 ssp585,CNRM-CM6-1,ssp585,0.6115771985782148,1.5494513570473514,2.1182617256787353,14.24973755406378,46.88939968845069,75.21451194515855,126.97794213780449,228.85131846345686,2.5335335598669992
expb02,CNRM-CM6-1 ssp126,CNRM-CM6-1,ssp126,0.5681596642569948,0.2361989842173024,1.9867488299020453,5.241370106205824,11.473151598515017,16.59592457571598,25.062209694650374,40.62153002427903,0.4157264217729875
expb03,UKESM1-0-LL ssp585,UKESM1-0-LL,ssp585,0.8860931065227277,2.0322503164882106,3.0439423277256386,20.820443961485516,66.06141193435744,105.94347632339989,179.1351512667939,307.3944514310119,2.293495233772124
expb04,CESM2 ssp585,CESM2,ssp585,0.9884807247727688,2.4751395566041254,3.4307315549926103,19.590179188919404,68.70838437159595,114.76319760129047,200.16019616896497,354.31139209272607,2.503983633239898
expb05,CNRM-ESM2-1 ssp585,CNRM-ESM2-1,ssp585,0.6345261474963274,1.488830825828279,2.185651638188223,13.784162149488646,42.02319461941719,67.08943099429644,110.678434409502,200.38428472245621,2.3463663896323457
