draw,loglik,weight,ohc2018,te2100,tot2100
1,-0.6435162515606643,0.004572816273687654,55.609226072541446,13.856262666363534,95.8509779397971
2,-3.5065255467514898,0.00026109263072225414,42.44385920876385,13.639503400508177,108.3955609755179
3,-3.3021364752984623,0.00032030200706305024,71.66252313804436,19.26772279991191,99.33590379780453
4,-0.9720119622211887,0.0032924552297216966,81.55448888892901,22.63620345041307,76.64874491693807
5,-0.6469540387316447,0.0045571228952700745,62.790676895590565,21.37892016515891,59.64728974237637
6,-1.9501930912295526,0.0012379446052176095,62.38624356473887,22.193377499471776,120.01656146909983
7,-2.255662042309169,0.000912090078773891,67.88231295774925,22.323536622005587,130.09709820197634
8,-2.00282549161422,0.001174473576840457,53.5899236838213,13.76235686471321,93.90191873046469
9,-4.104742644813344,0.00014354637493613624,60.53418587039293,15.46848598298911,103.80995009334748
10,-3.9954693002481574,0.0001601212751557452,84.25826469654005,18.392783431026757,51.08054797956059
11,-3.028939498181352,0.0004209277904752168,71.66611670304393,22.07665486059445,53.29719885337413
12,-3.0758773879393777,0.0004016268445538048,73.00148116176403,15.703503361017184,56.36149573546828
13,-1.3670190771223942,0.002218045587152689,58.75879904656189,16.235363413234214,39.63294873910553
14,-1.6055139385924564,0.001747404563576894,65.91833990786854,14.080405785685052,34.64808679649893
15,-1.0205309177891018,0.003136522183807486,55.91876939539553,15.273240350390427,65.1807264926736
16,-1.5975881762972097,0.0017613091060430916,66.99968184306988,16.74936425328831,39.10593169504794
17,-9.383844165458605,7.316570634391742e-7,88.56727724721448,12.106213338981002,31.00705089128708
18,-3.097531150060197,0.00039302359491991573,62.17435160332163,16.598173669583037,35.04737332917627
19,-2.1766558190039675,0.0009870739682100048,60.227122235747004,19.698639130435943,40.61429461793105
20,-1.2891238718201117,0.002397728059880418,75.45506037089578,18.761856284007877,58.76192195844128
21,-2.116979238204977,0.0010477722891079645,70.04514373252319,16.09518261630042,64.99037258126697
22,-4.037834893176507,0.00015347933075746825,59.01627481944626,18.118017386844237,41.461812635705385
23,-2.7372310218281117,0.0005635013765101674,81.30613105244814,14.419131315658356,37.443591219907816
24,-1.1680795481608348,0.0027062555699547595,62.63613396340882,24.28377763892319,66.15427126932822
25,-2.8176654277546933,0.0005199514128259071,68.4019349484334,17.276223599811956,36.44942990815106
26,-1.7582159459460245,0.0014999466985296701,59.464484357125876,16.84848227977094,41.92007643105375
