driver,last_year,alpha_1920-1949,alpha_1950-1992,alpha_1993-2025,alpha_full,early_over_modern,best_alpha,rmse_cm
FaIR ssp245harm (as calibrated),2025,0.17748420235139278,0.16289395493740533,0.13386305881405952,0.17711162160455818,1.3258639382947655,0.1660805503881297,0.3071808240586615
obs: Zanna+Cheng,2025,0.19778111905169318,0.21557190300819556,0.17837023845205857,0.2070106633370428,1.108823538994437,0.19755772984583816,0.17683179606834504
obs: Zanna+IGCC,2024,0.1883206977806054,0.19526621499545493,0.15630981735698526,0.19677440268077118,1.2047912342608185,0.1867631248236981,0.19653263691586925
