year,ssp,slot,med,p05,p95,n_finite
2100,SSP1-2.6,glaciers,7.918392702561013,6.174928639124931,9.8943429070598,2000
2150,SSP1-2.6,glaciers,9.739958013239882,7.604233151222081,12.119478670521469,2000
2300,SSP1-2.6,glaciers,12.389890398500548,9.670448688807996,15.297821873314353,2000
2100,SSP1-2.6,gsic_r19,0.5554543588709393,0.06794262220714772,1.5089043951764753,2000
2150,SSP1-2.6,gsic_r19,0.7885147933179422,0.10269628285989398,2.0442571155282576,2000
2300,SSP1-2.6,gsic_r19,1.2280242326597608,0.1757389245020282,2.9468077036916887,2000
2100,SSP1-2.6,glaciers_ex_r19,7.2761728118330655,5.702243193010654,9.068984106361846,2000
2150,SSP1-2.6,glaciers_ex_r19,8.8764508472041,6.998810752350279,10.988160988586184,2000
2300,SSP1-2.6,glaciers_ex_r19,11.0291559183975,8.763248001866103,13.637677431834582,2000
2100,SSP2-4.5,glaciers,9.988656603957978,7.79529452837216,12.283538313980316,2000
2150,SSP2-4.5,glaciers,13.951390449878557,11.108592098734697,16.953848003841884,2000
2300,SSP2-4.5,glaciers,19.084370728197218,15.215913572864524,22.989898928788048,2000
2100,SSP2-4.5,gsic_r19,0.8075032149288219,0.20283102061258562,1.8386614094683091,2000
2150,SSP2-4.5,gsic_r19,1.419121512639152,0.4894361127501866,2.859714831924264,2000
2300,SSP2-4.5,gsic_r19,2.657070122353643,1.1022533645375086,4.787066038863942,2000
2100,SSP2-4.5,glaciers_ex_r19,9.078672994742037,7.148756826956058,11.254654947528833,2000
2150,SSP2-4.5,glaciers_ex_r19,12.40489647745784,9.845861994517811,15.211326136311348,2000
2300,SSP2-4.5,glaciers_ex_r19,16.211372326219625,12.832629236074625,19.806129622724136,2000
2100,SSP5-8.5,glaciers,14.28878383836463,11.382627248367733,17.309828328090315,2000
2150,SSP5-8.5,glaciers,21.968917814288222,17.78766218287768,26.17852543563584,2000
2300,SSP5-8.5,glaciers,27.62120329854441,22.362636284562953,32.96233680483189,2000
2100,SSP5-8.5,gsic_r19,1.3967743429492379,0.5811288987743859,2.651066743670184,2000
2150,SSP5-8.5,gsic_r19,3.0903123923828657,1.502522671097586,5.129950775175686,2000
2300,SSP5-8.5,gsic_r19,5.2545455915769335,2.5416389692060504,8.100423069606613,2000
2100,SSP5-8.5,glaciers_ex_r19,12.759492138827099,10.091475391256722,15.700549819827526,2000
2150,SSP5-8.5,glaciers_ex_r19,18.705970257356498,14.897002736198408,22.771114907469137,2000
2300,SSP5-8.5,glaciers_ex_r19,22.281927726903504,17.5230968803568,27.092581553554293,2000
