year,ais_imb,ais_lo_imb,ais_hi_imb,ais_frd,ais_lo_frd,ais_hi_frd,d,sig_frd,sig_imb,provenance
1900,-0.7681519642532018,-1.3575031546193317,-0.1788007738870719,-0.6340783032503996,-1.2765581028245547,0.0084014963237555,-0.13407366100280216,0.3905652277046536,0.3582682008304741,"diag_target_divergence_frederikse_vs_imbie.py | imbie recalib_targets_ext.csv md5 eb768cd96463 | frederikse HEAD md5 070f74abe110 | d = IMBIE build - Frederikse build, cm SLE, both rel 1995-2005"
1901,-0.7626991406142858,-1.3451610305722042,-0.1802372506563674,-0.6286254796114836,-1.2642028734676574,0.0069519142446901,-0.13407366100280216,0.38636923638673176,0.35408017626621174,"diag_target_divergence_frederikse_vs_imbie.py | imbie recalib_targets_ext.csv md5 eb768cd96463 | frederikse HEAD md5 070f74abe110 | d = IMBIE build - Frederikse build, cm SLE, both rel 1995-2005"
1902,-0.7572272434890415,-1.3329621398580127,-0.1814923471200702,-0.6231535824862393,-1.25201194339226,0.0057047784197813,-0.13407366100280216,0.3822847178760004,0.3499908184613807,"diag_target_divergence_frederikse_vs_imbie.py | imbie recalib_targets_ext.csv md5 eb768cd96463 | frederikse HEAD md5 070f74abe110 | d = IMBIE build - Frederikse build, cm SLE, both rel 1995-2005"
1903,-0.7518496647536901,-1.3206967838452777,-0.1830025456621025,-0.6177760037508879,-1.2397327195739938,0.004180712072218,-0.13407366100280216,0.3780891889502163,0.34580371981251523,"diag_target_divergence_frederikse_vs_imbie.py | imbie recalib_targets_ext.csv md5 eb768cd96463 | frederikse HEAD md5 070f74abe110 | d = IMBIE build - Frederikse build, cm SLE, both rel 1995-2005"
1904,-0.7464302197158481,-1.3086677933316144,-0.1841926461000816,-0.612356558713046,-1.2277128476027874,0.0029997301766954,-0.13407366100280216,0.3740767713615449,0.3417857590369401,"diag_target_divergence_frederikse_vs_imbie.py | imbie recalib_targets_ext.csv md5 eb768cd96463 | frederikse HEAD md5 070f74abe110 | d = IMBIE build - Frederikse build, cm SLE, both rel 1995-2005"
1905,-0.740978254383817,-1.2963031962730789,-0.1856533124945553,-0.6069045933810149,-1.2153036815474991,0.0014944947854697,-0.13407366100280216,0.3698474700100209,0.33758355130046314,"diag_target_divergence_frederikse_vs_imbie.py | imbie recalib_targets_ext.csv md5 eb768cd96463 | frederikse HEAD md5 070f74abe110 | d = IMBIE build - Frederikse build, cm SLE, both rel 1995-2005"
1906,-0.7355258122146275,-1.2840256110819603,-0.1870260133472948,-0.6014521512118254,-1.2030635415128077,0.0001592390891567,-0.13407366100280216,0.36572120990941165,0.33343452818682845,"diag_target_divergence_frederikse_vs_imbie.py | imbie recalib_targets_ext.csv md5 eb768cd96463 | frederikse HEAD md5 070f74abe110 | d = IMBIE build - Frederikse build, cm SLE, both rel 1995-2005"
1907,-0.7300945416152622,-1.2718543464222187,-0.1883347368083057,-0.5960208806124601,-1.1908715140160782,-0.001170247208842,-0.13407366100280216,0.36161132729703227,0.32933726735985197,"diag_target_divergence_frederikse_vs_imbie.py | imbie recalib_targets_ext.csv md5 eb768cd96463 | frederikse HEAD md5 070f74abe110 | d = IMBIE build - Frederikse build, cm SLE, both rel 1995-2005"
1908,-0.7246861591994909,-1.2597364815736627,-0.189635836825319,-0.5906124981966887,-1.1787413409649683,-0.0024836554284088,-0.13407366100280216,0.35752513238193295,0.3252585546347549,"diag_target_divergence_frederikse_vs_imbie.py | imbie recalib_targets_ext.csv md5 eb768cd96463 | frederikse HEAD md5 070f74abe110 | d = IMBIE build - Frederikse build, cm SLE, both rel 1995-2005"
1909,-0.719240202015653,-1.2474283153381989,-0.1910520886931072,-0.5851665410128508,-1.1664375294900422,-0.0038955525356593,-0.13407366100280216,0.3533562239982927,0.32108699898027104,"diag_target_divergence_frederikse_vs_imbie.py | imbie recalib_targets_ext.csv md5 eb768cd96463 | frederikse HEAD md5 070f74abe110 | d = IMBIE build - Frederikse build, cm SLE, both rel 1995-2005"
1910,-0.713820756977811,-1.2352808672166804,-0.1923606467389416,-0.5797470959750088,-1.1542672046021465,-0.0052269873478713,-0.13407366100280216,0.34925234566999247,0.3169970275008325,"diag_target_divergence_frederikse_vs_imbie.py | imbie recalib_targets_ext.csv md5 eb768cd96463 | frederikse HEAD md5 070f74abe110 | d = IMBIE build - Frederikse build, cm SLE, both rel 1995-2005"
