draw,cfg,avoided_glaciers_2050_cm,avoided_glaciers_2100_cm,avoided_glaciers_2150_cm,avoided_glaciers_2200_cm,avoided_glaciers_2300_cm,avoided_gis_2050_cm,avoided_gis_2100_cm,avoided_gis_2150_cm,avoided_gis_2200_cm,avoided_gis_2300_cm,avoided_ais_2050_cm,avoided_ais_2100_cm,avoided_ais_2150_cm,avoided_ais_2200_cm,avoided_ais_2300_cm,avoided_te_2050_cm,avoided_te_2100_cm,avoided_te_2150_cm,avoided_te_2200_cm,avoided_te_2300_cm,avoided_lws_2050_cm,avoided_lws_2100_cm,avoided_lws_2150_cm,avoided_lws_2200_cm,avoided_lws_2300_cm,avoided_total_2050_cm,avoided_total_2100_cm,avoided_total_2150_cm,avoided_total_2200_cm,avoided_total_2300_cm
1,cfg_0095,0.0065143529545670376,0.03540177865319194,0.0637877402839564,0.08781619182261835,0.12689606089959682,0.005595236373801882,0.036424725518307,0.07020719611994153,0.1031191251634489,0.17456147234043584,0.0018147534594392667,0.017118003128479664,0.04723565810813568,2.646273146913673,2.6676689335879082,0.02314797000586033,0.10472949296844192,0.20962573802984252,0.32157151378696724,0.5556016529418102,0.0,0.0,0.0,0.0,0.0,0.037072312793668516,0.19367400026842319,0.39085633254185836,3.158779977686706,3.5247281197697333
2,cfg_0276,0.009746279876004849,0.06148777847841025,0.11664729919749917,0.16769209922590633,0.25659271011074125,0.009371705848881362,0.05724825533990696,0.10404220469161984,0.1508389670127066,0.25251093141871195,0.0030919812986307527,0.03746535071596924,0.10898104584674684,0.2135111383453534,0.49678263596570105,0.026302123467164762,0.12631406715380677,0.2669867435878004,0.43830516824314714,0.8629813439347771,0.0,0.0,0.0,0.0,0.0,0.04851209049068217,0.28251545168809855,0.5966572933236876,0.9703473728271206,1.8688676214298425
3,cfg_0047,0.006655090201812541,0.045064684932908605,0.08974061668078193,0.1316385695952178,0.20392554910034733,0.004719108908714631,0.043752762917073085,0.1320720210967785,0.2523234493610147,0.5495594751897812,0.0020471340329564214,0.4644011478078802,0.5271220767929918,0.6482316333341203,1.0755023501667722,0.02613213212234733,0.13321882874127056,0.291002354495447,0.47860119677404356,0.9126004054132792,0.0,0.0,0.0,0.0,0.0,0.039553465265839804,0.6864374243991449,1.0399370690659993,1.5107948490644105,2.7415877798702013
4,cfg_0835,0.011072833632590928,0.05878457838067064,0.10525178498719612,0.1487277789007706,0.22730938018608526,0.008045274691507842,0.055875677686682224,0.11323169609706696,0.2115795517083896,0.37527917955650736,0.0027192576824264236,1.3519085917912292,1.3834821459014393,1.4421626372025003,1.626624555410615,0.020833952976953896,0.09592995000504345,0.20480113098938446,0.3362482003268319,0.6499573499156668,0.0,0.0,0.0,0.0,0.0,0.04267131898348353,1.5624987978636398,1.8067667579750832,2.1387181681384675,2.87917046506891
5,cfg_0529,0.007745987058529913,0.048821660893928254,0.0907705425238774,0.1302765408386115,0.19840619382062386,0.005417060804923324,0.03588369756175602,0.07606752883706847,0.1454742338120596,0.25739136380132877,0.0013235335489913957,0.01573836227994896,3.769272448054494,3.7818519647092046,11.29334591912658,0.01918235286259673,0.09261817376010484,0.20271228920109863,0.33863919622787364,0.6683097338448079,0.0,0.0,0.0,0.0,0.0,0.033668934275038254,0.19306189449574163,4.138822808616553,4.396241935587739,12.417453210593322
6,cfg_0428,0.009079847734456692,0.045645701137658534,0.0770167579115082,0.10582948001184533,0.1576107520178418,0.007667997588935549,0.04688676441286077,0.08542023364814355,0.13493482610243035,0.22238259503566837,0.00196282419587801,1.9879715354053573,1.9949518279853322,2.017871004189061,2.1031252395357,0.020006122865341425,0.09636156454983791,0.20718028679195655,0.3404273309548458,0.6515389892482517,0.0,0.0,0.0,0.0,0.0,0.03871679238461212,2.1768655655057074,2.364569106336944,2.5990626412582003,3.134657575837423
7,cfg_0689,0.006469107190336665,0.03462652140190592,0.06143515684976819,0.0854568123980215,0.1300633990464064,0.006563037978080999,0.044429310969459124,0.10871201575549705,0.19036688411181757,0.35178264936784487,0.0021716719916686777,0.025005486178809377,0.07938515814274183,0.16611242540621163,0.4152668432002429,0.023260736524688852,0.11640599436240606,0.2431971974382101,0.383839250626707,0.6845666764729792,0.0,0.0,0.0,0.0,0.0,0.03846455368477564,0.22046731291256094,0.4927295281862172,0.8257753725427222,1.581679568087452
8,cfg_0349,0.006183625765649126,0.03448262910510458,0.06471289071344266,0.09449240199114683,0.14754260047582513,0.006117251280562286,0.0382411238068201,0.07878952538563411,0.12135789399606622,0.20452231718679315,0.0011423319369763263,0.010000051867342208,0.026638700676850924,0.05038899462014257,0.11514896517594764,0.017993031341042354,0.09461240967223361,0.21550927178095947,0.37090356220011245,0.7687162381723311,0.0,0.0,0.0,0.0,0.0,0.03143624032422565,0.1773362144515005,0.3856503885568827,0.6371428528074716,1.2359301210109095
9,cfg_0496,0.006607542545174816,0.04452429620853593,0.08858162305774897,0.12955549000939826,0.2025903889434737,0.007730607992449734,0.05342138781528405,0.10686591340980911,0.16398355553663535,0.30339388622421026,0.0022440041281490686,0.024157061021149673,0.07222562207986272,0.1469846579540004,0.37077537099685287,0.022936804602162297,0.11774937744053915,0.264918249406243,0.4507765409095583,0.9154422260376265,0.0,0.0,0.0,0.0,0.0,0.03951895926793725,0.23985212248548748,0.5325914079536602,0.8913002444095923,1.7922018722021278
10,cfg_0693,0.008930936361579711,0.04721748333822262,0.08457207965853897,0.11868861873406544,0.17898312071744016,0.006046118596785277,0.04139982090260119,0.08450344612951,0.1292908280655496,0.22896858841635392,0.002874326156021567,0.028679943654397633,1.0566459440460765,3.077060505122418,20.65710567537144,0.022783087541679237,0.11080767875964526,0.23784628294382415,0.3893302902471234,0.7436371633980983,0.0,0.0,0.0,0.0,0.0,0.04063446865606579,0.22810492665487203,1.463567752777962,3.714370242169167,21.808694547903343
