series,y0,y1,trend_mm_yr,se_mm_yr,endpoint_rate_mm_yr,n,covered
"Dangendorf 2024 (ESSD 16, 3471)",1900,2019,1.4989387689125873,0.024456934230904854,1.7381795847559165,120,True
"Dangendorf 2024 (ESSD 16, 3471)",1900,2020,1.512116885981938,0.025227326865078892,1.736788739319695,121,True
"Dangendorf 2024 (ESSD 16, 3471)",1900,2021,1.5242991086973763,0.025791284377743428,1.7275255040545145,122,True
"Dangendorf 2024 (ESSD 16, 3471)",1901,2021,1.526320011644965,0.02619432343314338,1.723573578283199,121,True
"Dangendorf 2024 (ESSD 16, 3471)",1901,2025,,,,0,False
"Dangendorf 2024 (ESSD 16, 3471)",1900,2007,1.3897573101508556,0.0200059054782061,1.4680743425986171,108,True
"IGCC 2025-indicators (Forster 2026, ESSD 18, 3889)",1900,2019,,,,0,False
"IGCC 2025-indicators (Forster 2026, ESSD 18, 3889)",1900,2020,,,,0,False
"IGCC 2025-indicators (Forster 2026, ESSD 18, 3889)",1900,2021,,,,0,False
"IGCC 2025-indicators (Forster 2026, ESSD 18, 3889)",1901,2021,1.631733547425835,0.027727211780956912,1.8058994995833333,121,True
"IGCC 2025-indicators (Forster 2026, ESSD 18, 3889)",1901,2025,1.6913821678312053,0.03094525572023306,1.8513805915322579,125,True
"IGCC 2025-indicators (Forster 2026, ESSD 18, 3889)",1900,2007,,,,0,False
