tag,t_on_mid,t_on_high,v_tot,mid_share,tau,v_mid,v_high,m2300_SSP1-2.6,dorm2300_SSP1-2.6,dorm2100_SSP1-2.6,in_band_SSP1-2.6,m2300_SSP2-4.5,dorm2300_SSP2-4.5,dorm2100_SSP2-4.5,in_band_SSP2-4.5,m2300_SSP5-8.5,dorm2300_SSP5-8.5,dorm2100_SSP5-8.5,in_band_SSP5-8.5,g4_2100_cm,g4_rel_to_ref,keeps_2100,ratio_585_over_245,within_inventory,all_pass
L12,2.5,5.0,1.5,0.0,50,0.0,1.5,0.09179890893615683,0.0,0.0,True,0.17196595249228305,0.0,0.0,True,1.92868648814848,1.4598057555105906,0.0,True,8.067567299094108,1.0,True,11.215513653698569,True,True
L12,2.5,5.0,1.5,0.0,100,0.0,1.5,0.09179890893615683,0.0,0.0,True,0.17196595249228305,0.0,0.0,True,1.721922068047692,1.2530413354098027,0.0,False,8.067567299094108,1.0,True,10.013156924914908,True,False
L12,2.5,5.0,1.5,0.0,200,0.0,1.5,0.09179890893615683,0.0,0.0,True,0.17196595249228305,0.0,0.0,True,1.359374256755855,0.8904935241179656,0.0,False,8.067567299094108,1.0,True,7.904903482663854,True,False
L12,2.5,5.0,1.5,0.0,400,0.0,1.5,0.09179890893615683,0.0,0.0,True,0.17196595249228305,0.0,0.0,True,1.0123706225930587,0.5434898899551692,0.0,False,8.067567299094108,1.0,True,5.887041056214245,True,False
L12,2.5,5.0,1.5,0.3,50,0.44999999999999996,1.0499999999999998,0.09179890893615683,0.0,0.0,True,0.45699144080036114,0.2850254883080781,0.021744360076367278,False,1.936695637585872,1.4678149049479825,0.21977847384904464,True,30.045414683998573,3.724222379573123,False,4.2379254066421925,True,False
L12,2.5,5.0,1.5,0.3,100,0.44999999999999996,1.0499999999999998,0.09179890893615683,0.0,0.0,True,0.41552328246630077,0.24355732997401772,0.011576974276128015,False,1.7528965511742476,1.2840158185363582,0.12821151755884086,True,20.888719054978196,2.5892215435654005,False,4.218527878317887,True,False
L12,2.5,5.0,1.5,0.3,200,0.44999999999999996,1.0499999999999998,0.09179890893615683,0.0,0.0,True,0.3451370056136072,0.17317105312132416,0.005976922163748649,False,1.4025954630490398,0.9337147304111503,0.06949104718737635,False,15.016672017831743,1.861363092628671,False,4.063880256929893,True,False
L12,2.5,5.0,1.5,0.3,400,0.44999999999999996,1.0499999999999998,0.09179890893615683,0.0,0.0,True,0.2779030367011536,0.10593708420887059,0.003037192953265279,False,1.048503168631997,0.5796224359941076,0.0362079571997905,False,11.688363019073158,1.44880886464816,False,3.7729100807182525,True,False
L12,2.5,5.0,1.5,0.5,50,0.75,0.75,0.09179890893615683,0.0,0.0,True,0.6470084330057466,0.47504248051346354,0.036240600127278796,False,1.9420350705441336,1.4731543379062442,0.36629745641507444,True,44.69731294060155,5.540370632621872,False,3.001560677535844,True,False
L12,2.5,5.0,1.5,0.5,100,0.75,0.75,0.09179890893615683,0.0,0.0,True,0.5778948357823126,0.4059288832900295,0.01929495712688003,False,1.7735462065919516,1.3046654739540622,0.2136858625980681,True,29.43615355890092,3.6487025726090008,False,3.068977427685527,True,False
L12,2.5,5.0,1.5,0.5,200,0.75,0.75,0.09179890893615683,0.0,0.0,True,0.46058437436115673,0.28861842186887365,0.009961536939581083,False,1.4314096005778298,0.9625288679399404,0.11581841197896059,False,19.64940849699017,2.435605154381119,False,3.10781190213679,True,False
L12,2.5,5.0,1.5,0.5,400,0.75,0.75,0.09179890893615683,0.0,0.0,True,0.3485277595070674,0.17656180701478433,0.005061988255442132,False,1.072591532657956,0.6037108000200665,0.06034659533298418,False,14.102226832392525,1.7480147744136,False,3.0774924045503647,True,False
L12,2.5,5.0,1.5,0.7,50,1.0499999999999998,0.45000000000000007,0.09179890893615683,0.0,0.0,True,0.8370254252111319,0.6650594727188488,0.05073684017819031,False,1.9473745035023948,1.4784937708645054,0.5128164389811042,True,59.349211197204525,7.356518885670621,False,2.326541637622522,True,False
L12,2.5,5.0,1.5,0.7,100,1.0499999999999998,0.45000000000000007,0.09179890893615683,0.0,0.0,True,0.7402663890983243,0.5683004366060412,0.027012939977632034,False,1.7941958620096552,1.3253151293717658,0.2991602076372953,True,37.983588062823635,4.7081836016526,False,2.423716500481754,True,False
L12,2.5,5.0,1.5,0.7,200,1.0499999999999998,0.45000000000000007,0.09179890893615683,0.0,0.0,True,0.5760317431087061,0.404065790616423,0.013946151715413514,False,1.4602237381066197,0.9913430054687302,0.1621457767705448,False,24.28214497614859,3.0098472161335654,False,2.5349709552917,True,False
L12,2.5,5.0,1.5,0.7,400,1.0499999999999998,0.45000000000000007,0.09179890893615683,0.0,0.0,True,0.4191524823129811,0.24718652982069803,0.007086783557618983,False,1.0966798966839149,0.6277991640460254,0.08448523346617784,False,16.51609064571189,2.0472206841790404,False,2.616422287736863,True,False
L12,2.5,5.0,2.5,0.0,50,0.0,2.5,0.09179890893615683,0.0,0.0,True,0.17196595249228305,0.0,0.0,True,2.9018903251555406,2.433009592517651,0.0,True,8.067567299094108,1.0,True,16.874795755199056,True,True
L12,2.5,5.0,2.5,0.0,100,0.0,2.5,0.09179890893615683,0.0,0.0,True,0.17196595249228305,0.0,0.0,True,2.557282958320894,2.0884022256830046,0.0,True,8.067567299094108,1.0,True,14.870867873892955,True,True
L12,2.5,5.0,2.5,0.0,200,0.0,2.5,0.09179890893615683,0.0,0.0,True,0.17196595249228305,0.0,0.0,True,1.953036606167832,1.4841558735299425,0.0,True,8.067567299094108,1.0,True,11.357112136807862,True,True
L12,2.5,5.0,2.5,0.0,400,0.0,2.5,0.09179890893615683,0.0,0.0,True,0.17196595249228305,0.0,0.0,True,1.374697215896505,0.9058164832586155,0.0,False,8.067567299094108,1.0,True,7.994008092725182,True,False
L12,2.5,5.0,2.5,0.3,50,0.75,1.75,0.09179890893615683,0.0,0.0,True,0.6470084330057466,0.47504248051346354,0.036240600127278796,False,2.9152389075511937,2.4463581749133043,0.36629745641507444,True,44.69731294060155,5.540370632621872,False,4.505720109408993,True,False
L12,2.5,5.0,2.5,0.3,100,0.75,1.75,0.09179890893615683,0.0,0.0,True,0.5778948357823126,0.4059288832900295,0.01929495712688003,False,2.6089070968651535,2.140026364227264,0.2136858625980681,True,29.43615355890092,3.6487025726090008,False,4.514501489416153,True,False
L12,2.5,5.0,2.5,0.3,200,0.75,1.75,0.09179890893615683,0.0,0.0,True,0.46058437436115673,0.28861842186887365,0.009961536939581083,False,2.025071949989807,1.5561912173519175,0.11581841197896059,True,19.64940849699017,2.435605154381119,False,4.396744793608419,True,False
L12,2.5,5.0,2.5,0.3,400,0.75,1.75,0.09179890893615683,0.0,0.0,True,0.3485277595070674,0.17656180701478433,0.005061988255442132,False,1.4349181259614021,0.9660373933235127,0.06034659533298418,False,14.102226832392525,1.7480147744136,False,4.117084182880719,True,False
L12,2.5,5.0,2.5,0.5,50,1.25,1.25,0.09179890893615683,0.0,0.0,True,0.9637034200147223,0.7917374675224392,0.06040100021213134,False,2.92413796248163,2.4552572298437405,0.6104957606917907,True,69.11714336827318,8.56728438770312,False,3.03427164597689,True,False
