rff_idx,fair_cfg_idx,seed_idx,post_idx,slr_2050_cm,slr_2100_cm,ais_2100_cm,gis_2100_cm,te_2100_cm
91,575,0,1,9.6519,30.1631,1.786,12.7168,4.2447
91,575,0,101,10.7583,35.2886,1.9823,16.8534,4.5445
91,575,0,5001,10.7271,34.4438,0.0254,17.9721,4.857
91,575,5,1,9.6863,30.2755,1.7749,12.9254,4.033
91,575,5,101,10.8137,35.4795,1.9731,17.1488,4.3179
91,575,5,5001,10.7586,34.5663,-0.0307,18.2807,4.6148
91,575,9,1,9.5511,29.7409,1.7972,12.4116,4.1095
91,575,9,101,10.6289,34.7128,1.9888,16.4123,4.3998
91,575,9,5001,10.5924,33.8787,0.0898,17.5221,4.7023
4389,575,0,1,10.0575,55.172,11.1648,23.4121,7.0639
4389,575,0,101,11.2543,71.1549,17.1833,32.2635,7.5629
4389,575,0,5001,11.2065,81.9297,26.2738,33.7039,8.0828
4389,575,5,1,10.0897,57.7752,13.5692,23.6817,6.8545
4389,575,5,101,11.3064,69.7469,15.4705,32.6484,7.3387
4389,575,5,5001,11.2346,82.1632,26.228,34.1009,7.8432
4389,575,9,1,9.9538,55.516,11.9808,23.0378,6.9296
4389,575,9,101,11.1204,70.0825,16.765,31.7178,7.4191
4389,575,9,5001,11.0672,79.1653,24.2139,33.1549,7.9291
8247,575,0,1,9.8032,36.7956,1.6484,17.1672,5.5644
8247,575,0,101,10.9428,53.9259,11.7519,23.2505,5.9575
8247,575,0,5001,10.9054,62.1016,18.5427,24.5317,6.367
8247,575,5,1,9.8366,36.9448,1.6375,17.4051,5.3542
8247,575,5,101,10.9968,55.0239,12.599,23.589,5.7324
8247,575,5,5001,10.9354,63.7017,19.9151,24.883,6.1265
8247,575,9,1,9.7011,36.3539,1.6595,16.8287,5.4295
8247,575,9,101,10.8115,53.7437,12.1873,22.7591,5.8131
8247,575,9,5001,10.7687,62.9307,20.0384,24.0338,6.2127
