arm,window,frac_along_S_plain,frac_along_S_epsw,frac_in_D2_plain,frac_in_D2_epsw
L21,full window,0.00011895331433892973,0.8143704233364888,0.424834148894611,0.7445427317577382
L21,1993-2025,0.8181205927124398,0.908240430912032,0.9517145045875105,0.9819652346202545
L21,full (AR1 metric),,0.09121010526008752,,0.19431583690651832
L22,full window,0.003775478132712834,0.8239283798819743,0.439615994131146,0.7558162204403606
L22,1993-2025,0.8230341539858579,0.9101395182145462,0.9563791781867083,0.9835787104358993
L22,full (AR1 metric),,0.28458423047377124,,0.4824324499714323
