ais_ocean_temp0,n_members,median_ais_1900,median_dAIS_9217,hist_pass_frac,modern_pass_frac,joint_pass_frac
0.72,2000,100.34987488430271,-25.74239223539534,0.0,0.0,0.0
1.0,2000,104.14507122300864,-26.71568680447365,0.0,0.0,0.0
1.25,2000,106.02248002077036,-27.21204584221544,0.0,0.0,0.0
1.5,2000,107.76061816802113,-27.599058364587147,0.0,0.0,0.0
1.75,2000,108.84880922416923,-27.931152008547244,0.0,0.0,0.0
2.0,2000,109.56775613075011,-28.173457146612247,0.0,0.0,0.0
2.5,2000,111.0814735931,-28.557125305372743,0.0,0.0,0.0
