component,n_years,coverage_param,coverage_pred,mean_bias,in_sample
ais,126,0.8492063492063492,0.9841269841269841,-0.003830506543608687,true
glaciers,124,0.7983870967741935,1.0,0.007061549068805594,true
gis,126,0.5952380952380952,0.9920634920634921,0.003295175968628055,true
te,126,0.3333333333333333,0.9444444444444444,0.2212212842937393,true
total,125,0.28,NaN,0.6938139400793008,false
