year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected,provenance
1900,-1.213159212084856,-0.7010365830082355,-0.18990630705460718,-1.5319032405595754,0.11158203174330941,-0.6340783032503996,-7.3309845653883805,-6.3811575520459085,-5.265673524985894,-8.154156668592222,-4.471622032449804,-7.27700420293,-4.500906998089792,-4.0927906150245965,-3.7169832480075646,-5.255958448751875,-2.8840446618991167,-4.130332357233222,-4.038350739182822,-3.6345457419285223,-3.246548124486018,-4.830521352692061,-2.4040363924139383,-3.6098928928375242,-15.128334266957845,-13.520626236953838,-12.069046862129092,NaN,NaN,-13.937918849348069,-7.27700420293,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1911,-1.1015696006011613,-0.6674536721798584,-0.23168061292568023,-1.397403751822589,0.056509605169299384,-0.5743019017306241,-6.568909016014257,-5.745843200603153,-4.764594696685293,-7.40843444392837,-4.077405081781287,-6.40783153447,-4.057603240689508,-3.7494648829397526,-3.432035688612455,-4.403138427292153,-3.1307688139794063,-3.7024556940252134,-3.9084479433954615,-3.5176322582351514,-3.1421154723300337,-4.656843459196852,-2.289600880188367,-4.502541589736938,-13.329783122210824,-11.912577721302743,-10.647585115638941,NaN,NaN,-12.7859735900405,-6.40783153447,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1912,-1.0899751801002855,-0.6633708269064166,-0.2351740776436605,-1.4022294095995906,0.06988851809595262,-0.5688701542941008,-6.497147453006,-5.685541270190537,-4.7160791353818485,-7.338829931552391,-4.01218518847336,-6.33277965459,-4.020946779904084,-3.7187653565482113,-3.4074363945226924,-4.365991147779524,-3.0755360285403857,-3.6499250238591983,-3.8889791261018836,-3.5001101776718677,-3.1264639213993144,-4.597888756908615,-2.3728155068560763,-4.496937417984009,-13.216246117187396,-11.81994097316333,-10.56741869079621,NaN,NaN,-12.504873544685173,-6.33277965459,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1913,-1.080147311683338,-0.6608162672926794,-0.23953402571835286,-1.372295103017453,0.026263633689195483,-0.563472453030673,-6.423497063609244,-5.62381090791917,-4.666634116608161,-7.188796001600174,-3.9846450498962875,-6.26434474858,-3.9598430511997886,-3.665031907060781,-3.362608957013524,-4.299909039048052,-3.0308859678261464,-3.6160070245916187,-3.97419518887022,-3.5768052688320884,-3.194971603526154,-4.704130719013346,-2.467614162289793,-4.43869423866272,-13.263875253844134,-11.878289067927025,-10.643922598197534,NaN,NaN,-12.481187939747363,-6.26434474858,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1914,-1.0730947241165705,-0.6594439365349929,-0.24554500686708344,-1.342901328592254,0.047992680988132426,-0.5580358418551359,-6.355553323271533,-5.568801340990915,-4.625123973460992,-7.187972864798328,-3.8734219283820734,-6.15112605962,-3.9259649387106483,-3.638540177749468,-3.3383887532024534,-4.251433035492751,-2.993729292194756,-3.6001985376531427,-4.074409723876223,-3.666999096711219,-3.275536995608917,-4.871225871373189,-2.4836810887764895,-4.3344473361969,-13.118760021841066,-11.73992975832559,-10.521103113320043,NaN,NaN,-12.215842947480144,-6.15112605962,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1915,-1.065574722932786,-0.6596506554330572,-0.25390298260665556,-1.3519521949159627,0.03537864629957735,-0.5526043805209073,-6.277846475347106,-5.505988140436768,-4.57273471641424,-7.048594180700596,-3.903210296657421,-5.99616084966,-3.9113689914598666,-3.632628253909503,-3.333715481118161,-4.2826151730252455,-3.0149290792199515,-3.567949086969549,-4.0477977456712155,-3.643048118127106,-3.254142848960869,-4.780773741532709,-2.512864297364111,-4.308618783950806,-12.920312828992156,-11.553334698640173,-10.348949114381758,NaN,NaN,-11.887195821280871,-5.99616084966,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1916,-1.0557005573079006,-0.6590100935142588,-0.26014691502302073,-1.340871792273517,0.04686395211647185,-0.5471856984225187,-6.172333535337934,-5.415137817667075,-4.4948800890915175,-6.974513041948212,-3.8043238135539363,-5.89606166753,-3.85148598447871,-3.577239436545185,-3.286352565769364,-4.188192821035309,-3.0045443697730745,-3.5504369562322453,-3.997405303794424,-3.5976945451272195,-3.213630892910099,-4.7257039600729565,-2.434708521725529,-4.27322907447815,-12.938570685710054,-11.590337745848132,-10.403479314016776,NaN,NaN,-11.995727195056805,-5.89606166753,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1917,-1.046967053749576,-0.6565088585821071,-0.26447115316980857,-1.305813718876418,0.01998122089916695,-0.5418106946078214,-6.100143439599241,-5.35857479472074,-4.447486089175423,-6.933376759039919,-3.7602605386794266,-5.7766593543,-3.784205309407461,-3.5160346251510237,-3.2314046482491574,-4.12672439898305,-2.913296442984664,-3.4816617792302904,-3.9534638224571244,-3.5581468846580773,-3.1783050524776226,-4.723781018757531,-2.365255785513823,-4.251692819595336,-13.040133416956415,-11.703959646487696,-10.531901811830531,NaN,NaN,-12.29178087162002,-5.7766593543,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1918,-1.03288253639141,-0.6529253552906995,-0.26782855584899995,-1.2843269269892628,-0.007630006311766013,-0.5363208684054288,-6.0413949273561585,-5.309318246579222,-4.413635384954528,-6.7815429442012505,-3.7055899759282385,-5.67177921208,-3.738392841651156,-3.4750324340200613,-3.196481883927023,-4.053970561775698,-2.8987629308886813,-3.470746785944159,-3.908908934582562,-3.518047153736893,-3.1424860766114704,-4.70336001997246,-2.368325714405633,-4.2542582035064695,-12.664915217975617,-11.343044385011549,-10.192201579261678,NaN,NaN,-11.69048315752298,-5.67177921208,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1919,-1.019547600124481,-0.649832016976425,-0.27068801065146486,-1.2882952537842103,0.01783034655614032,-0.5308707150545988,-5.981669032750223,-5.259975767939752,-4.378089388535267,-6.733214059762046,-3.6725786416231103,-5.58503070745,-3.7298857781796393,-3.4666154149971358,-3.189864103044329,-4.0416345770205995,-2.855567412645136,-3.454160482233221,-3.877523255361852,-3.489799808685272,-3.117254212271144,-4.587420355757529,-2.3153682642384066,-4.2755896091461185,-12.375300687475665,-11.070084765375299,-9.937840280441947,NaN,NaN,-11.250664952584467,-5.58503070745,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1920,-1.0103164454373195,-0.6461599943631421,-0.2739962654368583,-1.2752295025810787,0.0025385300629548573,-0.5255169781771574,-5.911558522708114,-5.202654969901793,-4.3332625953275,-6.639869777962008,-3.6300196622656697,-5.53279949102,-3.6989667355382196,-3.4398156344057282,-3.1661804697026823,-4.00904483487578,-2.814803926308127,-3.4362096613103685,-3.8736623863427195,-3.4863249978132305,-3.1141503468858693,-4.60394805527274,-2.364801130836161,-4.26266884803772,-12.318102036962467,-11.033152181602045,-9.919871883623774,NaN,NaN,-11.224365852032271,-5.53279949102,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1921,-1.0000045580136974,-0.6428748106457978,-0.27416790827820897,-1.2647007225973435,-0.01051046461528362,-0.5200888547030362,-5.841699235880346,-5.146070923295769,-4.2874325871838765,-6.578424686183039,-3.5481154051439976,-5.47143054875,-3.6808980913087614,-3.4252695993484235,-3.153628554318361,-4.017335784321223,-2.847811916604553,-3.420304281061346,-3.845986241218712,-3.4614162610763586,-3.0919006853659954,-4.510688852596809,-2.4458787582080537,-4.285170221328736,-12.241946248233413,-10.97352554290397,-9.873305012201287,NaN,NaN,-11.325210959935976,-5.47143054875,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1922,-0.9915266607702232,-0.6384240924935618,-0.2754744972474051,-1.2499375694173176,-0.03806300198822578,-0.5146193417635831,-5.763445929505636,-5.082478365308069,-4.235306982147516,-6.510474188803679,-3.5614807946818168,-5.39706416997,-3.661989844112766,-3.4083951671734996,-3.1415018148407707,-3.9760336175822486,-2.8181360796266914,-3.4399301355535346,-3.805283286716983,-3.4247832988789972,-3.0591783912580377,-4.4255768175538135,-2.439433440248177,-4.291196298599244,-12.142805952644297,-10.889806645080657,-9.811556593165825,NaN,NaN,-11.200481604358236,-5.39706416997,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1923,-0.9819296575127249,-0.6341174160613123,-0.2747542987441116,-1.230810807511607,-0.001975414404429228,-0.5092426213351164,-5.6888784305850635,-5.0197564056943405,-4.185228164656734,-6.467940454148895,-3.538277706657762,-5.27797008428,-3.632213385711941,-3.3775731214737617,-3.117935916573471,-3.942465087186016,-2.8248693291872295,-3.4075719659978687,-3.770835153870784,-3.3937797227560194,-3.0314845309900953,-4.39645615077164,-2.334059902007607,-4.334321069717407,-12.1957343368923,-10.961331630011811,-9.90053236156806,NaN,NaN,-11.352617614839804,-5.27797008428,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1924,-0.9731294097957109,-0.6301501093959878,-0.27673576808463785,-1.204376523583812,-0.020761733586140984,-0.5037558468905363,-5.604417589128238,-4.948466611149,-4.128892265866701,-6.316807124366926,-3.486154048691412,-5.18389659795,-3.572357138931156,-3.3241734425081564,-3.0697725798248507,-3.8707854547120895,-2.7696880035182234,-3.348880941217596,-3.7415792947176865,-3.367449231627636,-3.0079648912168206,-4.453071496899563,-2.327162683683693,-4.327344751358032,-11.916976911972014,-10.704413121518087,-9.660191525654918,NaN,NaN,-11.075476495691147,-5.18389659795,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1925,-0.9625329159621261,-0.6264507175353833,-0.2781092935575578,-1.2141939015567633,-0.024106909533139896,-0.4983725461092862,-5.517501335649815,-4.874278805033671,-4.069501745946392,-6.186517299116427,-3.462728215404005,-5.09053493413,-3.5202616025295654,-3.27483959770772,-3.0275091224846813,-3.8391587930222784,-2.719277454497727,-3.3296964471990402,-3.738379681645704,-3.3645695560329045,-3.0053926288035693,-4.411903785339981,-2.3425412311222606,-4.261248254776,-11.756460628262904,-10.561993605876687,-9.535317576038182,NaN,NaN,-11.202160503297451,-5.09053493413,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1926,-0.953732285858373,-0.6214146486429126,-0.2801661928246608,-1.1958759893308093,-0.047541552634144266,-0.49286192980679605,-5.439780761011552,-4.809653314255778,-4.018445293273919,-6.190344504277104,-3.400321548847531,-4.98425517949,-3.4770392136240535,-3.2355261064185434,-2.9928342166828634,-3.770066728683943,-2.6868173310566386,-3.227677327936346,-3.710959110690835,-3.339890837951712,-2.9833484308239053,-4.391490330663277,-2.3306936663408093,-4.176789331436157,-11.685295078467787,-10.506230500002468,-9.497544671841482,NaN,NaN,-11.233488262164094,-4.98425517949,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1927,-0.9426579798077139,-0.6168398047362804,-0.2823173866789246,-1.1736178393218004,-0.02964752856323414,-0.4874995144930753,-5.334703611738613,-4.715917491284325,-3.9405206734384106,-5.96970711062818,-3.2555229386239395,-4.87102313909,-3.3981645036478323,-3.1626217064853925,-2.926485649742078,-3.7016499664938496,-2.6344408811936333,-3.1523057764226743,-3.7155241179680143,-3.343999378500248,-2.987018373523581,-4.34428521848208,-2.297824895476948,-4.124979639053345,-11.61048671987407,-10.440278706280072,-9.446008044404554,NaN,NaN,-11.300538775892718,-4.87102313909,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1928,-0.9323080860592147,-0.6132576443143856,-0.28359206674529625,-1.1768174744647786,-0.040787546585255706,-0.48211411562832923,-5.257496430279394,-4.64819250157945,-3.8868912110932197,-5.967918254471693,-3.2680651436331205,-4.76876254949,-3.3201798958004654,-3.0887878101989568,-2.856146447738615,-3.621931693960408,-2.5661970604997246,-3.0399404352361508,-3.6905964256711146,-3.3215642697775882,-2.966978273517151,-4.3980892390905355,-2.205413070864847,-4.053016519546508,-11.2637614650576,-10.109888925131077,-9.13152124386804,NaN,NaN,-10.99322183443144,-4.76876254949,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1929,-0.9237748475016756,-0.6092665289867829,-0.2843114597054574,-1.1767409800009359,-0.05332411420221842,-0.47669376459988694,-5.161530178130182,-4.563214703803322,-3.8177728067790104,-5.932973674419207,-3.2128420733225846,-4.67126232061,-3.2136164713363295,-2.9901562074964625,-2.760446692679637,-3.5205403545562906,-2.4522963813913,-2.9371179407293146,-3.6471555164337808,-3.282467127926555,-2.932054857618171,-4.3134284529302285,-2.2273024836270086,-4.0196997165679935,-10.94072691622354,-9.80617648359355,-8.839263106810575,NaN,NaN,-10.474411885506226,-4.67126232061,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1930,-0.9125025650522636,-0.603705256861387,-0.2852746356040047,-1.1573916199474346,-0.03060742457187264,-0.4712276372042569,-5.0831057773703945,-4.495467775156952,-3.762521517214262,-5.7762385605787125,-3.2059529358823236,-4.5751269904,-3.1098208011812023,-2.891491721957387,-2.6638596249925914,-3.4128778819268053,-2.384564371263585,-2.8757768457586117,-3.6113994845502937,-3.2502864329291006,-2.903309539108792,-4.245791873601845,-2.2620529170418924,-3.9823153018951416,-10.595866519450718,-9.48280204084316,-8.53650260935318,NaN,NaN,-10.184452568299797,-4.5751269904,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1931,-0.9023153105372674,-0.5983685532940164,-0.2850736748937958,-1.0970460667428932,-0.03973582323604547,-0.4658552559939298,-5.002645252286154,-4.426167400683208,-3.7032455498258794,-5.63509451618316,-3.127344627877248,-4.44350086125,-3.0500742168016264,-2.8312006539265475,-2.606752228004451,-3.3181384616210403,-2.334432827637354,-2.6913759058172047,-3.571870388324659,-3.2147099519228384,-2.87153094395885,-4.1899749039138685,-2.2215599000673065,-3.9497736454010006,-10.411956669830019,-9.312493327132518,-8.382767230369787,NaN,NaN,-9.757755545159595,-4.44350086125,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
