year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected,provenance
1900,-1.213159212084856,-0.7010365830082355,-0.18990630705460718,-1.5319032405595754,0.11158203174330941,-0.6340783032503996,-7.3309845653883805,-6.3811575520459085,-5.265673524985894,-8.154156668592222,-4.471622032449804,-7.27700420293,-4.500906998089792,-4.0927906150245965,-3.7169832480075646,-5.255958448751875,-2.8840446618991167,-4.130332357233222,-4.038350739182822,-3.6345457419285223,-3.246548124486018,-4.830521352692061,-2.4040363924139383,-3.6098928928375242,-15.128334266957845,-13.520626236953838,-12.069046862129092,NaN,NaN,-13.937918849348069,-7.27700420293,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1901,-1.2043886544297702,-0.6978494234022132,-0.19180763516493526,-1.54261557518437,0.152859694501514,-0.6286254796114836,-7.291832067530537,-6.349224757677911,-5.235928912663024,-8.203365682478239,-4.356875953161894,-7.19201579961,-4.442954698054886,-4.046054378343962,-3.679555784221875,-5.1578895273545164,-2.949330429413663,-4.14182832891291,-4.010014292512365,-3.6090427288820788,-3.2237676272647233,-4.825178505110767,-2.4274627247655554,-3.6964476108551025,-14.715731748260046,-13.12042953247014,-11.685334167930117,NaN,NaN,-13.717743189686836,-7.19201579961,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1902,-1.194656938765651,-0.6946569818193411,-0.19591164077446457,-1.4999885118127851,0.13863659417473875,-0.6231535824862393,-7.212937542981148,-6.284794517221778,-5.180899935868693,-8.075950867210521,-4.421637254589802,-7.10599819097,-4.3826421236341035,-3.9968178251463904,-3.6361065783512485,-5.1478378256035695,-2.9318151836233115,-4.110059530084785,-3.9858251465225014,-3.587272317336266,-3.204321266208377,-4.7441464431909015,-2.449345249799819,-3.7697138309478753,-14.417828885787328,-12.84639254455642,-11.431237970811726,NaN,NaN,-13.307361420412224,-7.10599819097,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1903,-1.1838058481140348,-0.6907714798747093,-0.1989917299555946,-1.501212349124302,0.10074062574237774,-0.6177760037508879,-7.132847671103926,-6.2186089038558325,-5.1297693938796485,-8.093486880033863,-4.41235322611054,-7.04884410771,-4.34254450192831,-3.9627891071327475,-3.6127570837209215,-5.056730892227855,-2.8024252008615944,-4.069244558160955,-3.9661849704749716,-3.5695960126181876,-3.188531954969754,-4.793423732424733,-2.385661816956313,-3.89201683998108,-14.273992056613963,-12.716150487714978,-11.318773582077329,NaN,NaN,-13.366047505500095,-7.04884410771,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1904,-1.1729491025815693,-0.6874102472499648,-0.20215931928041175,-1.479760473495622,0.08477506871220652,-0.612356558713046,-7.064008117720768,-6.160750425280781,-5.084690954624564,-7.996023320106834,-4.321115587176282,-6.9647086707,-4.30999441349202,-3.937861931969465,-3.5965623729792373,-4.951027915362588,-2.9606605059188764,-3.986545354669745,-3.992678538595992,-3.5934404212448223,-3.209830908292379,-4.754113803107219,-2.434653665157846,-4.005975580215455,-14.223552037715754,-12.686534813311788,-11.30689270506719,NaN,NaN,-13.401862591297018,-6.9647086707,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1905,-1.1600667632006891,-0.6853176345127044,-0.2056316512726354,-1.4297903041862683,0.09666391035732468,-0.6069045933810149,-6.993178213639781,-6.1044777858640105,-5.040045481562935,-7.8924455494156405,-4.235014702837515,-6.86514507207,-4.282041081567769,-3.918713321069527,-3.5815782228277646,-4.859541805712339,-3.0054988804894176,-3.965610296075995,-3.9771773004325706,-3.5794891914482534,-3.1973690101223227,-4.68577570731647,-2.4409893054268963,-4.084479761123657,-14.059501794136544,-12.534057882062381,-11.169314219799572,NaN,NaN,-13.311246733632538,-6.86514507207,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1906,-1.1477820351353216,-0.6830316548246411,-0.21014393189096048,-1.436637765878006,0.08125841340432888,-0.6014521512118254,-6.914219763287784,-6.037260447587288,-4.986201902393224,-7.755611981060425,-4.180290330423837,-6.78516536626,-4.2388496525018295,-3.882807644170314,-3.552926813715881,-4.810394266125185,-2.9588196170944596,-3.9195184534246272,-3.946460947533206,-3.551844245070825,-3.1726752367635824,-4.789723483239633,-2.3106040122590796,-4.1820330142974855,-14.106067281478794,-12.60304938154131,-11.25497675950334,NaN,NaN,-13.567440039263273,-6.78516536626,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1907,-1.1394198357727487,-0.6792186202389895,-0.2141915881184997,-1.4303528287923222,0.06542059015012673,-0.5960208806124601,-6.838351142181817,-5.972095789574347,-4.937776517134272,-7.706608158551172,-4.119144110768649,-6.7199607459,-4.215194793137935,-3.8667773412383717,-3.5429642177015523,-4.881952679485518,-2.9633242315724773,-3.8829637354070488,-3.913351773812231,-3.522045742132793,-3.1460578048490717,-4.631756748780433,-2.3772732817990763,-4.245766305923461,-13.998789685490785,-12.52233439053219,-11.19249892885999,NaN,NaN,-13.430518857797505,-6.7199607459,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1908,-1.1311897776132653,-0.6749791531049896,-0.2178737959511915,-1.435197766140528,0.06214320359485961,-0.5906124981966887,-6.774005543365976,-5.918893224863624,-4.896065617804739,-7.701565248306248,-4.100969415737408,-6.64097972783,-4.191966212605035,-3.8548327407980585,-3.5283875535233276,-4.7524771682392855,-2.9586915814897408,-3.8119527643377134,-3.9472630985660384,-3.5525661869746017,-3.173320109410707,-4.712714656117833,-2.2848657648547297,-4.304152536392211,-13.875233454983402,-12.40663331298061,-11.09115176098205,NaN,NaN,-13.478100215899776,-6.64097972783,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1909,-1.120829773202164,-0.6728901665352938,-0.2232775561350545,-1.4171421658712529,0.06472142400051509,-0.5851665410128508,-6.701513154709766,-5.858068279550861,-4.850451064311339,-7.528437472931354,-4.059688287894312,-6.56629558477,-4.137852216701269,-3.8130937429525034,-3.487969375868606,-4.634085718982968,-3.02529444487715,-3.7546384638006036,-3.960830979030163,-3.56477738044262,-3.1842277248505115,-4.728726577622129,-2.398210145963023,-4.4123697757720945,-13.672586075075422,-12.219716996148513,-10.92219772399131,NaN,NaN,-13.127202387002756,-6.56629558477,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1910,-1.11223524604528,-0.670716472810196,-0.2272682968744857,-1.413062347254895,0.041265190435396996,-0.5797470959750088,-6.63476865607957,-5.801435595827071,-4.807178607256163,-7.434281093326494,-4.023480603899243,-6.4967437354,-4.084931420006138,-3.767474709577889,-3.4507452761458244,-4.428793403252172,-3.1169147050317556,-3.709659749811346,-3.9342637196829835,-3.5408666491636076,-3.162869528998565,-4.691481616728516,-2.3854977723306736,-4.497396707534791,-13.487720063639484,-12.051854269556017,-10.772735528410877,NaN,NaN,-12.932223767549981,-6.4967437354,"posterior_predictive_ladrillo.jl | tag L27b | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27b.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
