component,n_years,coverage_param,coverage_pred,mean_bias,in_sample
ais,126,0.8333333333333334,0.9603174603174603,-0.08204854986894822,true
glaciers,124,0.7016129032258065,1.0,0.061143758465095795,true
gis,126,0.3492063492063492,0.9206349206349206,-0.14261985743389932,true
te,126,0.40476190476190477,0.9682539682539683,0.25928844532579054,true
total,125,0.816,NaN,0.17414810910838122,false
