gmt_K,pchip,linear,saturating,logistic2
0,0,0,0,0.019179445
0.01,2.92307992e-05,0,0,0.0196397698
0.02,0.000116201856,0,0,0.0201111039
0.03,0.000259831159,0,0,0.0205937089
0.04,0.000459036698,0,0,0.0210878523
0.05,0.000712736461,0,0,0.0215938078
0.06,0.00101984844,0,0,0.0221118557
0.07,0.00137929061,0,0,0.0226422827
0.08,0.00178998098,0,0,0.0231853823
0.09,0.00225083753,0,0,0.0237414547
0.1,0.00276077824,0,0,0.0243108071
0.11,0.00331872111,0,0,0.0248937541
0.12,0.00392358413,0,0,0.0254906172
0.13,0.00457428528,0,0,0.0261017259
0.14,0.00526974255,0,0,0.0267274168
0.15,0.00600887394,0,0,0.0273680346
0.16,0.00679059742,0,0,0.0280239321
0.17,0.007613831,0,0,0.02869547
0.18,0.00847749265,0,0,0.0293830174
0.19,0.00938050037,0,0,0.0300869522
0.2,0.0103217721,0,0,0.0308076606
0.21,0.011300226,0,0,0.031545538
0.22,0.0123147798,0,0,0.0323009889
0.23,0.0133643517,0,0,0.0330744269
0.24,0.0144478596,0,0,0.0338662754
0.25,0.0155642215,0,0,0.0346769673
0.26,0.0167123553,0,0,0.0355069454
0.27,0.0178911792,0,0,0.0363566629
0.28,0.019099611,0,0,0.0372265831
0.29,0.0203365688,0,0,0.03811718
0.3,0.0216009705,0,0,0.0390289385
0.31,0.0228917341,0,0,0.0399623544
0.32,0.0242077777,0,0,0.0409179348
0.33,0.0255480192,0,0,0.0418961984
0.34,0.0269113765,0,0,0.0428976758
0.35,0.0282967678,0,0,0.0439229092
0.36,0.0297031109,0,0,0.0449724535
0.37,0.031129324,0,0,0.046046876
0.38,0.0325743248,0,0,0.0471467567
0.39,0.0340370315,0,0,0.0482726888
0.4,0.035516362,0,0,0.0494252788
0.41,0.0370112344,0,0,0.0506051467
0.42,0.0385205665,0,0,0.0518129265
0.43,0.0400432765,0,0,0.0530492665
0.44,0.0415782822,0,0,0.0543148293
0.45,0.0431245018,0,0,0.0556102923
0.46,0.044680853,0,0,0.056936348
0.47,0.0462462541,0,0,0.0582937042
0.48,0.0478196228,0,0,0.0596830846
0.49,0.0493998774,0,0,0.0611052287
0.5,0.0509859356,0,0,0.0625608923
0.51,0.0526159953,0,0,0.0640508481
0.52,0.0543290324,0,0,0.0655758854
0.53,0.0561251325,0,0,0.0671368111
0.54,0.0580043808,0,0,0.0687344497
0.55,0.0599668628,0,0,0.0703696436
0.56,0.0620126638,0,0,0.0720432535
0.57,0.0641418693,0,0,0.073756159
0.58,0.0663545646,0,0,0.0755092586
0.59,0.0686508351,0,0,0.0773034702
0.6,0.0710307663,0,0,0.0791397314
0.61,0.0734944435,0,0,0.0810190002
0.62,0.0760419522,0,0,0.0829422549
0.63,0.0786733776,0,0,0.0849104947
0.64,0.0813888052,0,0,0.0869247402
0.65,0.0841883205,0,0,0.0889860335
0.66,0.0870720087,0,0,0.0910954391
0.67,0.0900399553,0,0,0.0932540434
0.68,0.0930922457,0,0,0.0954629562
0.69,0.0962289653,0,0,0.0977233102
0.7,0.0994501994,0,0,0.100036262
0.71,0.102756034,0,0,0.102402992
0.72,0.106146553,0,0,0.104824705
0.73,0.109621843,0,0,0.107302631
0.74,0.11318199,0,0,0.109838025
0.75,0.116827077,0,0,0.112432169
0.76,0.120557192,0,0,0.115086369
0.77,0.124372419,0,0,0.117801958
0.78,0.128272844,0,0,0.120580298
0.79,0.132258552,0,0,0.123422777
0.8,0.136329629,0,0,0.126330809
0.81,0.140486159,0,0,0.12930584
0.82,0.144728229,0,0,0.132349342
0.83,0.149055923,0.012709185,0,0.135462817
0.84,0.153469327,0.0300323535,0.0176274914,0.138647797
0.85,0.157968527,0.047355522,0.0362963456,0.141905842
0.86,0.162553608,0.0646786905,0.0549477582,0.145238545
0.87,0.167224655,0.082001859,0.0735817453,0.148647528
0.88,0.171981754,0.0993250275,0.0921983234,0.152134445
0.89,0.176824989,0.116648196,0.110797509,0.155700981
0.9,0.181754447,0.133971364,0.129379317,0.159348854
0.91,0.186770213,0.151294533,0.147943766,0.163079815
0.92,0.191872373,0.168617701,0.16649087,0.166895645
0.93,0.197218394,0.18594087,0.185020646,0.170798161
0.94,0.2029702,0.203264038,0.20353311,0.174789213
0.95,0.209118234,0.220587207,0.222028279,0.178870684
0.96,0.215652889,0.237910375,0.240506169,0.183044493
0.97,0.22256456,0.255233544,0.258966795,0.187312594
0.98,0.229843642,0.272556712,0.277410174,0.191676973
0.99,0.23748053,0.289879881,0.295836322,0.196139655
1,0.245465619,0.307203049,0.314245255,0.2007027
1.01,0.253789303,0.324526218,0.33263699,0.205368204
1.02,0.262441977,0.341849386,0.351011541,0.210138298
1.03,0.271414036,0.359172555,0.369368926,0.215015153
1.04,0.280695874,0.376495723,0.38770916,0.220000974
1.05,0.290277888,0.393818892,0.406032259,0.225098006
1.06,0.30015047,0.41114206,0.42433824,0.23030853
1.07,0.310304016,0.428465229,0.442627118,0.235634866
1.08,0.320728922,0.445788397,0.46089891,0.24107937
1.09,0.33141558,0.463111566,0.479153631,0.24664444
1.1,0.342354387,0.480434734,0.497391297,0.25233251
1.11,0.353535737,0.497757903,0.515611924,0.258146053
1.12,0.364950025,0.515081071,0.533815528,0.264087582
1.13,0.376587646,0.53240424,0.552002125,0.270159649
1.14,0.388438994,0.549727408,0.570171731,0.276364843
1.15,0.400494464,0.567050577,0.588324362,0.282705796
1.16,0.412744451,0.584373745,0.606460034,0.289185175
1.17,0.425179349,0.601696914,0.624578762,0.29580569
1.18,0.437789555,0.619020082,0.642680562,0.302570088
1.19,0.450565461,0.636343251,0.66076545,0.309481157
1.2,0.463497463,0.653666419,0.678833442,0.316541723
1.21,0.476575957,0.670989588,0.696884554,0.323754652
1.22,0.489791335,0.688312756,0.714918801,0.331122847
1.23,0.503133995,0.705635925,0.7329362,0.338649253
1.24,0.516594329,0.722959093,0.750936766,0.346336852
1.25,0.530162733,0.740282262,0.768920514,0.354188663
1.26,0.543829602,0.75760543,0.78688746,0.362207746
1.27,0.55758533,0.774928599,0.804837621,0.370397196
1.28,0.571420312,0.792251767,0.822771011,0.378760147
1.29,0.585324944,0.809574936,0.840687647,0.387299768
1.3,0.599289619,0.826898104,0.858587544,0.396019268
1.31,0.613304732,0.844221273,0.876470718,0.404921889
1.32,0.627360679,0.861544441,0.894337184,0.414010909
1.33,0.641447854,0.87886761,0.912186958,0.42328964
1.34,0.655556652,0.896190778,0.930020056,0.432761429
1.35,0.670198244,0.913513947,0.947836493,0.442429657
1.36,0.68592234,0.930837115,0.965636284,0.452297735
1.37,0.702666367,0.948160284,0.983419446,0.462369108
1.38,0.720367112,0.965483452,1.00118599,0.47264725
1.39,0.738961363,0.982806621,1.01893594,0.483135665
1.4,0.758385905,1.00012979,1.03666931,0.493837886
1.41,0.778577527,1.01745296,1.05438611,0.504757473
1.42,0.799473014,1.03477613,1.07208635,0.515898011
1.43,0.821009154,1.05209929,1.08977006,0.527263113
1.44,0.843122734,1.06942246,1.10743725,0.538856413
1.45,0.865750541,1.08674563,1.12508793,0.550681567
1.46,0.888829362,1.1040688,1.14272212,0.562742253
1.47,0.912295983,1.12139197,1.16033984,0.575042166
1.48,0.936087192,1.13871514,1.17794109,0.587585021
1.49,0.960139775,1.15603831,1.19552591,0.600374544
1.5,0.98439052,1.17336147,1.21309429,0.61341448
1.51,1.00877621,1.19068464,1.23064626,0.626708581
1.52,1.03323364,1.20800781,1.24818183,0.640260612
1.53,1.05769959,1.22533098,1.26570102,0.654074342
1.54,1.08211085,1.24265415,1.28320384,0.668153549
1.55,1.10640421,1.25997732,1.30069031,0.682502011
1.56,1.13051645,1.27730048,1.31816044,0.697123507
1.57,1.15438436,1.29462365,1.33561425,0.712021814
1.58,1.17794473,1.31194682,1.35305176,0.727200704
1.59,1.20113434,1.32926999,1.37047297,0.742663943
1.6,1.22388998,1.34659316,1.38787791,0.758415284
1.61,1.24614844,1.36391633,1.40526658,0.774458469
1.62,1.2678465,1.3812395,1.42263901,0.790797221
1.63,1.28892096,1.39856266,1.43999521,0.807435245
1.64,1.3093086,1.41588583,1.4573352,0.824376224
1.65,1.3289462,1.433209,1.47465898,0.841623812
1.66,1.34777055,1.45053217,1.49196658,0.859181636
1.67,1.36571844,1.46785534,1.50925801,0.877053287
1.68,1.38272666,1.48517851,1.52653328,0.895242321
1.69,1.398732,1.50250168,1.54379242,0.913752251
1.7,1.41367123,1.51982484,1.56103543,0.932586546
1.71,1.42748115,1.53714801,1.57826233,0.951748626
1.72,1.44009854,1.55447118,1.59547313,0.971241857
1.73,1.4514602,1.57179435,1.61266786,0.991069549
1.74,1.46150291,1.58911752,1.62984652,1.01123495
1.75,1.47016345,1.60644069,1.64700914,1.03174123
1.76,1.47737861,1.62376385,1.66415571,1.05259151
1.77,1.48359179,1.64108702,1.68128627,1.07378882
1.78,1.4894087,1.65841019,1.69840083,1.09533611
1.79,1.49485158,1.67573336,1.71549939,1.11723625
1.8,1.4999413,1.69305653,1.73258198,1.13949202
1.81,1.50469874,1.7103797,1.74964861,1.16210608
1.82,1.50914475,1.72770287,1.7666993,1.18508103
1.83,1.51330021,1.74502603,1.78373405,1.20841934
1.84,1.51718598,1.7623492,1.80075289,1.23212337
1.85,1.52082292,1.77967237,1.81775583,1.25619535
1.86,1.52423191,1.79699554,1.83474289,1.28063742
1.87,1.5274338,1.81431871,1.85171407,1.30545157
1.88,1.53044948,1.83164188,1.8686694,1.33063965
1.89,1.5332998,1.84896505,1.88560889,1.35620339
1.9,1.53600562,1.86628821,1.90253255,1.38214436
