model,n,R2_M1,R2_M2,beta_ohc,partial_corr,bias_M1,bias_M2,transfer_rmse_M1,transfer_rmse_M2
ACCESS-CM2,258,0.9501260642540519,0.9624220824836136,2.2684075661325096,0.4965299257596884,-0.12742391909382664,-0.018761659566126427,0.9834124519526642,0.5560508869016306
ACCESS-ESM1-5,260,0.9126008178153383,0.9307542541204481,3.2636431341741607,0.4557490147333015,-0.024047814337847837,0.10179429821810798,0.9312220453790004,0.49408946784526964
BCC-CSM2-MR,256,0.9321330549427981,0.9322295815143334,0.25720769918553976,0.03771327867936057,-0.09879810443946371,-0.10159195747599943,0.5973933744154161,0.6981367954757131
CMCC-CM2-SR5,288,0.9465081812761924,0.9505064684014073,1.4605017365527855,0.2733967245424929,0.15402804519912727,0.17291005532263976,0.43113132016656197,0.579656161390666
CNRM-CM6-1,263,0.9424149596787814,0.9642181768008197,4.704817522297332,0.6153262635518277,-0.10463880710031659,0.07153783164820497,2.0153068569791075,1.0665482176929575
CNRM-CM6-1-HR,263,0.9536565235983261,0.9766830878137442,3.769856428485311,0.7048882424059967,-0.2597357684914733,-0.10228768187589715,1.4322711971664168,0.6167473741503806
CNRM-ESM2-1,258,0.9396324536882943,0.9542120998169826,3.3547651444937756,0.49144138874098164,-0.10885892574424211,0.0015006646148868503,1.3469291922763598,0.8710972446507357
CanESM5,269,0.9590847874620368,0.9692036500496364,3.0004081534114353,0.4973057072832822,0.14368049280726153,0.20240778129119547,0.8632873182494321,0.5428490017622584
EC-Earth3-AerChem,260,0.9475801664674944,0.9536612379596153,2.0314694251101684,0.3405981117142536,0.028259910841472394,0.09432191246294705,0.5705519582916294,0.4297597704129763
EC-Earth3-Veg,261,0.9507090723975334,0.9557068722475012,1.9326416468566627,0.31842410312147673,0.014274243893766733,0.09059272273670306,0.5069340092610548,0.4371909729870678
GISS-E2-1-G,257,0.9173076729015465,0.9385276258638806,2.3498589752019168,0.5065701574698546,-0.11545343221308343,0.017402022553755354,2.094928086339119,0.6144284252472467
GISS-E2-1-H,257,0.9268528591760626,0.9358807929450742,0.18473994008980532,0.3513140385714502,-0.14024754032170778,0.08136789890661669,0.9882339648531407,0.5541037153098001
IPSL-CM6A-LR,414,0.9457853331652213,0.961403816761698,2.5572722236612986,0.5367363843301948,-0.04577390878123056,0.061562624148061934,1.3954324453343079,0.7495156921322665
MPI-ESM1-2-HR,281,0.8991016548189026,0.9075174315671946,1.6969937254174159,0.2888052483916889,0.018126919809684353,0.048958083607718396,0.8707148460467719,0.7951217262623749
MPI-ESM1-2-LR,285,0.8912854263672838,0.9103885646049585,2.1130332416742514,0.4191876467657975,-0.04177482816491292,-0.007777600975443366,1.0063163351332205,0.5541813073258295
MRI-ESM2-0,257,0.9062270954261751,0.9255399308066877,2.756565380745987,0.4538207353437365,-0.30301552710421265,-0.1320793919362997,1.383661756478058,0.969279972156879
UKESM1-0-LL,270,0.9609509369802872,0.9716880929237506,3.105382282570715,0.5243717924541057,0.07561680919524169,0.15779346156071183,0.92957592970933,0.49262387739820446
