tag,t_on_mid,t_on_high,v_tot,mid_share,tau,v_mid,v_high,m2300_SSP1-2.6,dorm2300_SSP1-2.6,dorm2100_SSP1-2.6,in_band_SSP1-2.6,m2300_SSP2-4.5,dorm2300_SSP2-4.5,dorm2100_SSP2-4.5,in_band_SSP2-4.5,m2300_SSP5-8.5,dorm2300_SSP5-8.5,dorm2100_SSP5-8.5,in_band_SSP5-8.5,g4_2100_cm,g4_rel_to_ref,keeps_2100,ratio_585_over_245,within_inventory,all_pass,inv_strict,inv_loose,onset_concentrated,onset_wide,lit_ok_strict,lit_ok_loose
L12,2.5,5.0,1.5,0.0,50,0.0,1.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.92868648814848,1.4598057555105906,0.0,True,8.067567299094108,1.0,True,11.215513653698569,True,True,True,True,True,True,True,True
L12,2.5,5.0,2.5,0.0,50,0.0,2.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.901890325155541,2.433009592517651,0.0,True,8.067567299094108,1.0,True,16.874795755199056,True,True,True,True,True,True,True,True
L12,2.5,5.0,2.5,0.0,100,0.0,2.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.557282958320894,2.0884022256830046,0.0,True,8.067567299094108,1.0,True,14.870867873892957,True,True,True,True,True,True,True,True
L12,2.5,5.0,2.5,0.0,200,0.0,2.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.953036606167832,1.4841558735299425,0.0,True,8.067567299094108,1.0,True,11.357112136807862,True,True,True,True,True,True,True,True
L12,2.5,5.0,3.5,0.0,200,0.0,3.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.546698955579809,2.07781822294192,0.0,True,8.067567299094108,1.0,True,14.80932079095187,True,True,False,True,True,True,False,True
L12,2.5,5.0,3.5,0.0,400,0.0,3.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.737023809199951,1.2681430765620616,0.0,True,8.067567299094108,1.0,True,10.10097512923612,True,True,False,True,True,True,False,True
L12,2.5,5.0,4.5,0.0,400,0.0,4.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.0993504025033976,1.630469669865508,0.0,True,8.067567299094108,1.0,True,12.207942165747058,True,True,False,False,True,True,False,False
L12,2.5,6.0,1.5,0.0,50,0.0,1.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.8855588849272376,1.4166781522893483,0.0,True,8.067567299094108,1.0,True,10.964722130166155,True,True,True,True,True,True,True,True
L12,2.5,6.0,2.5,0.0,50,0.0,2.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.83001098645347,2.3611302538155807,0.0,True,8.067567299094108,1.0,True,16.456809882645032,True,True,True,True,True,True,True,True
L12,2.5,6.0,2.5,0.0,100,0.0,2.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.3801821689277434,1.911301436289854,0.0,True,8.067567299094108,1.0,True,13.841008260251712,True,True,True,True,True,True,True,True
L12,2.5,6.0,2.5,0.0,200,0.0,2.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.7559694473458165,1.287088714707927,0.0,True,8.067567299094108,1.0,True,10.211145996615905,True,True,True,True,True,True,True,True
L12,2.5,6.0,3.5,0.0,200,0.0,3.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.2708049332289875,1.801924200591098,0.0,True,8.067567299094108,1.0,True,13.204968194683127,True,True,False,True,True,True,False,True
L12,2.5,6.0,4.5,0.0,200,0.0,4.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.785640419112158,2.3167596864742688,0.0,True,8.067567299094108,1.0,True,16.198790392750354,True,True,False,False,True,True,False,False
L12,2.5,6.0,4.5,0.0,400,0.0,4.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.8346095735999983,1.365728840962109,0.0,True,8.067567299094108,1.0,True,10.668446555909526,True,True,False,False,True,True,False,False
L12,2.5,7.0,2.5,0.0,50,0.0,2.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.9925753869917024,1.5236946543538128,0.0,True,8.067567299094108,1.0,True,11.58703428273756,True,True,True,True,True,True,True,True
L12,2.5,7.0,3.5,0.0,50,0.0,3.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.602053248733227,2.1331725160953376,0.0,True,8.067567299094108,1.0,True,15.131211795253446,True,True,False,True,True,True,False,True
L12,2.5,7.0,3.5,0.0,100,0.0,3.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.9802755773796787,1.511394844741789,0.0,True,8.067567299094108,1.0,True,11.515509603382352,True,True,False,True,True,True,False,True
L12,2.5,7.0,4.5,0.0,100,0.0,4.5,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.412102675877333,1.9432219432394435,0.0,True,8.067567299094108,1.0,True,14.026629346792214,True,True,False,False,True,True,False,False
L12,4.0,5.0,3.5,0.3,400,1.05,2.4499999999999997,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.7755275068030112,1.3066467741651218,0.0117866178555784,True,9.24622908465195,1.146098785651307,True,10.324878157975416,True,True,True,True,True,True,True,True
L12,5.0,6.0,1.5,0.3,50,0.4499999999999999,1.0499999999999998,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.8984971658936105,1.4296164332557209,0.0,True,8.067567299094108,1.0,True,11.039959587225878,True,True,True,True,True,True,True,True
L12,5.0,6.0,1.5,0.5,50,0.75,0.75,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.9071226865378588,1.4382419538999691,0.0,True,8.067567299094108,1.0,True,11.090117891932362,True,True,True,True,True,True,True,True
L12,5.0,6.0,1.5,0.7,50,1.0499999999999998,0.45,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.9157482071821073,1.4468674745442178,0.0,True,8.067567299094108,1.0,True,11.140276196638844,True,True,True,True,True,True,True,True
L12,5.0,6.0,2.5,0.3,50,0.75,1.75,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.851574788064091,2.3826940554262017,0.0,True,8.067567299094108,1.0,True,16.58220564441124,True,True,True,True,True,True,True,True
L12,5.0,6.0,2.5,0.3,100,0.75,1.75,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.4333124057456885,1.964431673107799,0.0,True,8.067567299094108,1.0,True,14.149966144344084,True,True,True,True,True,True,True,True
L12,5.0,6.0,2.5,0.3,200,0.75,1.75,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.8150895949924213,1.346208862354532,0.0,True,8.067567299094108,1.0,True,10.55493583867349,True,True,True,True,True,True,True,True
L12,5.0,6.0,2.5,0.5,50,1.25,1.25,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.8659506558045056,2.397069923166616,0.0,True,8.067567299094108,1.0,True,16.665802818922046,True,True,True,True,True,True,True,True
L12,5.0,6.0,2.5,0.5,100,1.25,1.25,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.468732563624319,1.9998518309864293,0.0,True,8.067567299094108,1.0,True,14.355938067072335,True,True,True,True,True,True,True,True
L12,5.0,6.0,2.5,0.5,200,1.25,1.25,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.854503026756824,1.385622294118935,0.0,True,8.067567299094108,1.0,True,10.78412906671188,True,True,True,True,True,True,True,True
L12,5.0,6.0,2.5,0.7,50,1.75,0.7500000000000001,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.880326523544919,2.4114457909070297,0.0,True,8.067567299094108,1.0,True,16.74939999343285,True,True,False,False,True,True,False,False
L12,5.0,6.0,2.5,0.7,100,1.75,0.7500000000000001,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.504152721502949,2.035271988865059,0.0,True,8.067567299094108,1.0,True,14.561909989800585,True,True,False,False,True,True,False,False
L12,5.0,6.0,2.5,0.7,200,1.75,0.7500000000000001,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.8939164585212276,1.4250357258833382,0.0,True,8.067567299094108,1.0,True,11.013322294750274,True,True,False,False,True,True,False,False
L12,5.0,6.0,3.5,0.3,200,1.05,2.4499999999999997,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.353573139934234,1.8846924072963445,0.0,True,8.067567299094108,1.0,True,13.68627397356375,True,True,True,True,True,True,True,True
L12,5.0,6.0,3.5,0.5,200,1.75,1.75,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.4087519444043983,1.939871211766509,0.0,True,8.067567299094108,1.0,True,14.0071444928175,True,True,False,False,True,True,False,False
L12,5.0,6.0,3.5,0.7,200,2.4499999999999997,1.0500000000000005,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.4639307488745628,1.995050016236673,0.0,True,8.067567299094108,1.0,True,14.32801501207125,True,True,False,False,True,True,False,False
L12,5.0,6.0,4.5,0.3,200,1.35,3.15,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.8920566848760467,2.4231759522381573,0.0,True,8.067567299094108,1.0,True,16.81761210845401,True,True,False,False,True,True,False,False
L12,5.0,6.0,4.5,0.3,400,1.35,3.15,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,1.914031822271018,1.4451510896331283,0.0,True,8.067567299094108,1.0,True,11.130295238860786,True,True,False,False,True,True,False,False
L12,5.0,6.0,4.5,0.5,200,2.25,2.25,0.0917989089361568,0.0,0.0,True,0.171965952492283,0.0,0.0,True,2.963000862051972,2.4941201294140827,0.0,True,8.067567299094108,1.0,True,17.230159918923114,True,True,False,False,True,True,False,False
