component,pulse_gtco2,year,horizon_after,median,mean,q05,q95,n_carrier_1e6,frac_carrier_1e6,n_tip,frac_tip,n
ais,0.03,2100,70,0.0011877446015606807,0.0012712713721693147,0.0007328494167069266,0.0021144318773647077,841,1.0,0,0.0,841
total,0.03,2100,70,0.00508100812905236,0.005251783743447329,0.003503482551847626,0.007216831758860565,841,1.0,0,0.0,841
ais,0.03,2130,100,0.0017292878895514008,0.0018864822758634105,0.001008201252483687,0.0032797175708587627,841,1.0,0,0.0,841
total,0.03,2130,100,0.006514085511740339,0.006793297921975087,0.004316586059334901,0.009778037902326748,841,1.0,0,0.0,841
ais,0.03,2150,120,0.0020871842395150018,0.002302275592113277,0.001206400978004396,0.004057253568667817,841,1.0,0,0.0,841
total,0.03,2150,120,0.007399005118961337,0.00775319379827582,0.00473920622116412,0.0114729386568868,841,1.0,1,0.0011890606420927466,841
ais,0.03,2180,150,0.0026140937592344926,0.0029316855646972528,0.0014552046190274837,0.005378612256320037,841,1.0,1,0.0011890606420927466,841
total,0.03,2180,150,0.00863907138715092,0.009112858746654559,0.005290593473687248,0.013868515364260738,841,1.0,4,0.0047562425683709865,841
ais,0.1,2100,70,0.0011877495017520445,0.01626572697547194,0.0007328516653526407,0.002117682651237018,841,1.0,1,0.0011890606420927466,841
total,0.1,2100,70,0.005081012115049077,0.020246237446989696,0.003503485062283929,0.007319388571680452,841,1.0,1,0.0011890606420927466,841
ais,0.1,2130,100,0.0017292949582303763,0.03164330381679958,0.001008203859731438,0.0032942424531556807,841,1.0,2,0.0023781212841854932,841
total,0.1,2130,100,0.0065156934776489095,0.03655011810355788,0.004316587115638093,0.009808969552160816,841,1.0,2,0.0023781212841854932,841
ais,0.1,2150,120,0.0020871932111532487,0.03184091315994882,0.0012064040999515413,0.004131171044363662,841,1.0,2,0.0023781212841854932,841
total,0.1,2150,120,0.007424674914657814,0.037291830344244485,0.004739206903692228,0.011540259369002825,841,1.0,3,0.0035671819262782403,841
ais,0.1,2180,150,0.0026176025302859784,0.04712918772813971,0.0014552087281849424,0.0054380766472128484,841,1.0,4,0.0047562425683709865,841
total,0.1,2180,150,0.008653548784209875,0.053310360346191146,0.005290596630902478,0.014036431667641121,841,1.0,7,0.008323424494649227,841
ais,0.3,2100,70,0.0011877635420765031,0.016187547565045698,0.0007328577890097776,0.0021307943356418946,841,1.0,3,0.0035671819262782403,841
total,0.3,2100,70,0.005081023469670025,0.0201680526087522,0.003503492150317793,0.007356235452708284,841,1.0,3,0.0035671819262782403,841
ais,0.3,2130,100,0.0017293146138408488,0.026591067753513248,0.0010082120949217455,0.0033320826737792686,841,1.0,5,0.005945303210463734,841
total,0.3,2130,100,0.006527100038751973,0.031497878156695525,0.004316590557847574,0.009878152742670565,841,1.0,5,0.005945303210463734,841
ais,0.3,2150,120,0.0020872176467919465,0.026819124169437866,0.001206413824395014,0.004178863706035446,841,1.0,5,0.005945303210463734,841
total,0.3,2150,120,0.0074254837547638175,0.03227003843446524,0.004739209229461435,0.01160546911090539,841,1.0,6,0.007134363852556481,841
ais,0.3,2180,150,0.0026237957837516035,0.037182086255289536,0.0014552204460338558,0.005584353896637137,841,1.0,8,0.009512485136741973,841
total,0.3,2180,150,0.00867093901642709,0.04336325726230238,0.0052906059235062015,0.014286368686722284,841,1.0,11,0.013079667063020214,841
ais,1.0,2100,70,0.0012031447365057346,0.02657974155165955,0.000732878962350636,0.002270969698758837,841,1.0,16,0.019024970273483946,841
total,1.0,2100,70,0.005106159528545096,0.030560227601253435,0.003503517089487041,0.007637912545677138,841,1.0,16,0.019024970273483946,841
ais,1.0,2130,100,0.0017541243702567932,0.03291621413694,0.0010082412984169231,0.0036137156741888844,841,1.0,19,0.022592152199762187,841
total,1.0,2130,100,0.006559062455457898,0.03782301095015332,0.004316602523501967,0.010394306014060994,841,1.0,19,0.022592152199762187,841
ais,1.0,2150,120,0.0021264032387335874,0.039122987768017044,0.0012064475346740267,0.004588715912978713,841,1.0,23,0.027348394768133173,841
total,1.0,2150,120,0.007500479582489561,0.04457389181783141,0.00473986387528047,0.012432163560793777,841,1.0,24,0.028537455410225922,841
ais,1.0,2180,150,0.0026613371281403175,0.04536699694491527,0.0014552615243190736,0.006253047391480131,841,1.0,28,0.03329369797859691,841
total,1.0,2180,150,0.00883382140606237,0.051548162315188495,0.005290638619603882,0.015679177320615505,841,1.0,31,0.036860879904875146,841
ais,3.0,2100,70,0.0012181010235923218,0.02460754272133131,0.000732939398184751,0.4150068580996535,841,1.0,44,0.052318668252080855,841
total,3.0,2100,70,0.005157179738953428,0.028587974530550918,0.0035126313832956058,0.4192577130688249,841,1.0,44,0.052318668252080855,841
ais,3.0,2130,100,0.0017933815135928732,0.03347124753467386,0.0010083247474312884,0.41402073523291166,841,1.0,59,0.07015457788347206,841
total,3.0,2130,100,0.006705751300898714,0.038378005545814796,0.004324073648217149,0.4188878513800824,841,1.0,59,0.07015457788347206,841
ais,3.0,2150,120,0.002173748591305369,0.037172197869330216,0.0012065439020103597,0.412325058990574,841,1.0,66,0.07847800237812129,841
total,3.0,2150,120,0.007673967419800458,0.04262307275792138,0.004754688845872342,0.41735846124595355,841,1.0,67,0.07966706302021404,841
ais,3.0,2180,150,0.002763340281715839,0.04343655527589339,0.0014638464490679404,0.4125376058674135,841,1.0,79,0.093935790725327,841
total,3.0,2180,150,0.009094984224529886,0.04961770456438044,0.005301763325094023,0.4174697908640556,841,1.0,82,0.09750297265160524,841
ais,10.0,2100,70,0.0012621917159849616,0.021705021196467045,0.0007331509468289088,0.12715562779252565,841,1.0,124,0.14744351961950058,841
total,10.0,2100,70,0.005345464288188939,0.02568526349383877,0.00351683647897727,0.1314372508960604,841,1.0,124,0.14744351961950058,841
ais,10.0,2130,100,0.0019202082797376008,0.02990258892809736,0.0010086200161507632,0.12762713260447311,841,1.0,161,0.19143876337693222,841
total,10.0,2130,100,0.00714349819219029,0.03480921143706121,0.004350894745103195,0.13276560091026068,841,1.0,161,0.19143876337693222,841
ais,10.0,2150,120,0.0023968407970365035,0.03417565822453973,0.001212132808499078,0.1280345766948332,841,1.0,172,0.20451843043995244,841
