ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvL,gis,2300,joint,2000,8.312052325388951,8.616905223170244,5.491823707655874,12.735397148294371,7.243573440638498,1.1699027494336367,0.783459395721557,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,ais,2100,fixed,2000,4.807166506693477,6.783980425412177,3.5807905596733134,24.18208348274294,20.601292923069625,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,ais,2100,joint,2000,4.167477903646949,6.101319879955528,3.0758731587696926,7.795724326678526,4.719851167908834,0.2291046093822333,0.8669302171755797,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,ais,2150,fixed,2000,7.509465564059244,10.329168648930924,5.528916793758424,29.60961630903019,24.080699515271768,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,ais,2150,joint,2000,6.081863424331247,9.230546968773604,4.44199473697686,12.050058749065693,7.608064012088833,0.31594032421125745,0.8098929773963426,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,ais,2300,fixed,2000,13.409089568761782,16.107587703318014,10.193236025150597,34.18595455267072,23.992718527520125,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,ais,2300,joint,2000,9.64339696344599,13.463159738781103,6.666529765103977,19.108557544266066,12.442027779162089,0.5185751570790461,0.7191686589902074,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,te,2100,fixed,2000,15.449318094878738,15.437332133446672,13.726097184389657,17.18624906547629,3.4601518810866327,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,te,2100,joint,2000,10.42671168266373,10.742756120786987,5.9635016677394335,16.675821397808722,10.71231973006929,3.0959102658537554,0.674897857538454,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,te,2150,fixed,2000,19.030495344524397,19.015731017592188,16.907829003314156,21.170049760241568,4.262220756927412,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,te,2150,joint,2000,12.057577255967523,12.692878251376772,6.622261948289894,20.90458958437414,14.282327636084247,3.3509122240726494,0.6335924019674466,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,te,2300,fixed,2000,19.82920119687225,19.813817214270912,17.617446999638634,22.058552257517107,4.441105257878473,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,te,2300,joint,2000,12.632786346660517,13.990806376563723,6.744633531931027,25.719922229633006,18.97528869770198,4.272650071519927,0.6370799419117873,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,lws,2100,fixed,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,lws,2100,joint,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,lws,2150,fixed,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,lws,2150,joint,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,lws,2300,fixed,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,lws,2300,joint,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,total,2100,fixed,2000,37.254878919617376,39.16307599361106,34.56876662583353,56.62271661051024,22.053949984676706,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,total,2100,joint,2000,30.21398183189399,32.81276931364686,24.077603218388308,45.15157630501899,21.073973086630684,0.9555645633219029,0.8110073823373548,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,total,2150,fixed,2000,49.0324967537976,51.77012934563518,45.24180064343513,70.99416015169608,25.75235950826095,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,total,2150,joint,2000,38.05408139874547,42.33190081879445,29.627352305006788,60.331091451856906,30.70373914685012,1.1922689700336329,0.776099197840627,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,total,2300,fixed,2000,64.03327486097258,66.72728812574883,58.69595918507515,85.75356399345819,27.05760480838304,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,total,2300,joint,2000,48.53277773843238,54.35868513590434,37.33091580053606,81.34014164924844,44.009225848712376,1.6265011689089846,0.7579305891164478,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
