component,stat,value_cm
glaciers,mean_abs,0.6095236614557064
glaciers,max_abs,1.449439704741616
glaciers,at_2024,-0.18881967324535998
total,mean_abs,0.6176370004762332
total,max_abs,1.4658549647239045
total,at_2024,-0.19197644713197093
total,diff_1920,1.1768923604902026
total,diff_1950,0.7422282773554927
total,diff_1980,0.3031500259794031
total,diff_2000,0.048541728692105934
total,diff_2010,-0.059688198112592517
total,diff_2024,-0.19197644713197093
