arm,gcm,tau_yr,amp_2100,ism_2100,ism_2300,ours_2100,ours_2300,tapped_2100,tapped_2300,r_2100,rt_2100,r_2300,rt_2300
SSP5-8.5 r2300,CESM2-Leo,inf,1.6523210900677479,16.391140437007223,77.73042609873318,18.906910483085504,34.679647473474276,19.203767100456353,82.35965622486073,1.1534835270155017,1.1715943240348854,0.4461528028860178,1.0595549305267864
SSP5-8.5 r2300,CESM2-Leo,400.0,1.5886655294195553,16.391140437007223,77.73042609873318,18.053651070873094,30.981053901588602,18.350507688243944,78.66106265297506,1.1014273924535676,1.1195381894729513,0.39857048850132987,1.0119726161420985
SSP5-8.5 r2300,CESM2-Leo,200.0,1.5360249821152472,16.391140437007223,77.73042609873318,17.33898644310428,28.916834291302322,17.63584306047513,76.59684304268877,1.0578267271725066,1.0759375241918903,0.37201435451507964,0.9854164821558482
SSP5-8.5 r2300,CESM2-Leo,100.0,1.4564945618449379,16.391140437007223,77.73042609873318,16.217352885643628,27.01854579446932,16.514209503014477,74.69855454585577,0.989397470418152,1.0075082674375355,0.34759292017967797,0.9609950478204465
SSP5-8.5 r2300,CESM2-Leo,50.0,1.3649130690772209,16.391140437007223,77.73042609873318,14.801582827613041,26.03467289625781,15.098439444983892,73.71468164764426,0.9030233670742429,0.9211341640936267,0.33493541979544245,0.9483375474362109
SSP5-8.5 r2300,CESM2-Leo,25.0,1.3020535184811808,16.391140437007223,77.73042609873318,13.597279218440555,25.747130496547108,13.894135835811406,73.42713924793355,0.8295505288784661,0.8476613258978499,0.33123619396918147,0.9446383216099499
SSP5-8.5 r2300,CESM2-Leo,0.0,1.2844567693508286,16.391140437007223,77.73042609873318,12.816468253793568,25.653337612580554,13.11332487116442,73.33334636396701,0.7819143703300283,0.8000251673494121,0.3300295508478969,0.9434316784886655
SSP5-8.5 r2300,CNRM-ESM2-1,inf,1.6523210900677479,12.783127305731856,56.31152294884991,16.83866920790183,32.30178815469739,16.934740530916294,52.05113837424396,1.3172574132428063,1.3247728921015194,0.5736266125147857,0.9243425794312856
SSP5-8.5 r2300,CNRM-ESM2-1,400.0,1.5886655294195553,12.783127305731856,56.31152294884991,16.095177446980372,28.9494844561738,16.191248769994836,48.69883467572036,1.259095451530348,1.266610930389061,0.5140952142684867,0.8648111811849865
SSP5-8.5 r2300,CNRM-ESM2-1,200.0,1.5360249821152472,12.783127305731856,56.31152294884991,15.468210354745553,27.08748889535146,15.564281677760015,46.83683911489803,1.2100489954292895,1.2175644742880023,0.4810292365908155,0.8317452035073153
SSP5-8.5 r2300,CNRM-ESM2-1,100.0,1.4564945618449379,12.783127305731856,56.31152294884991,14.499283915650327,25.368813714449814,14.595355238664789,45.118163933996385,1.1342517029576136,1.1417671818163262,0.45050839306003776,0.8012243599765377
SSP5-8.5 r2300,CNRM-ESM2-1,50.0,1.3649130690772209,12.783127305731856,56.31152294884991,13.276163646792961,24.471084737581258,13.372234969807423,44.22043495712782,1.0385693054030707,1.0460847842617835,0.43456620343600644,0.7852821703525062
SSP5-8.5 r2300,CNRM-ESM2-1,25.0,1.3020535184811808,12.783127305731856,56.31152294884991,12.244090594169334,24.218022475119277,12.340161917183796,43.96737269466584,0.9578321721539281,0.9653476510126409,0.43007223401003575,0.7807882009265356
SSP5-8.5 r2300,CNRM-ESM2-1,0.0,1.2844567693508286,12.783127305731856,56.31152294884991,11.583004053079732,24.13268572250334,11.679075376094193,43.88203594204991,0.906116615758493,0.9136320946172057,0.42855679368544264,0.7792727606019425
