marker,decline,R,year,shipped_cm,regrow_cm,delta_cm,delta_p05,delta_p95,headroom_cm
vvVL,True,1,2100,7.040260198206823,7.040260198206823,0.0,0.0,0.0,0.0
vvVL,True,1,2150,8.58759955192003,8.58759955192003,0.0,0.0,0.0,0.0
vvVL,True,1,2300,10.291221369710575,10.291221369710575,0.0,0.0,0.0,0.0
vvVL,True,3,2100,7.040260198206823,7.040457417394064,0.0001526829030344956,3.490316933643101e-05,0.0003914976798285785,0.0
vvVL,True,3,2150,8.58759955192003,8.587711700903473,0.00010100905035237417,2.2539519323672152e-05,0.00023717207416904527,0.0
vvVL,True,3,2300,10.291221369710575,10.291290123090373,5.381152302597059e-05,1.181469746036612e-05,0.0001354581072465777,0.0
vvVL,True,10,2100,7.040260198206823,7.04052675888717,0.00020651831988782732,4.7122775896735194e-05,0.0005295823092379415,0.0
vvVL,True,10,2150,8.58759955192003,8.58775109195863,0.00013640016733162952,3.0451487697380487e-05,0.0003204120586918435,0.0
vvVL,True,10,2300,10.291221369710575,10.29131422198306,7.267762423346369e-05,1.595073745734865e-05,0.00018321767676079403,0.0
vvVL,True,30,2100,7.040260198206823,7.040546600917871,0.00022193796164060586,5.0614425341333206e-05,0.0005691367902419308,0.0
vvVL,True,30,2150,8.58759955192003,8.5877623598616,0.0001465155331139556,3.271426351201256e-05,0.0003442169002822126,0.0
vvVL,True,30,2300,10.291221369710575,10.291321110740371,7.807099739842727e-05,1.7132548545450987e-05,0.00019689673668219496,0.0
vvVL,True,100,2100,7.040260198206823,7.0405535488040165,0.00022733884822567774,5.1836537647886874e-05,0.0005829915662508789,0.0
vvVL,True,100,2150,8.58759955192003,8.587766305028856,0.0001500562911758152,3.3506467803512406e-05,0.00035255090746026945,0.0
vvVL,True,100,2300,10.291221369710575,10.291323522158375,7.995899931856343e-05,1.7546191361361708e-05,0.00020168792923422882,0.0
vvLN,True,1,2100,7.4825100031049985,7.4825100031049985,0.0,0.0,0.0,0.0
vvLN,True,1,2150,8.835711903290296,8.835711903290296,0.0,0.0,0.0,0.0
vvLN,True,1,2300,8.99752962646794,8.99752962646794,0.0,0.0,0.0,2.1410865736084834
vvLN,True,3,2100,7.4825100031049985,7.482624827631051,0.00014167524030295198,3.360949072090947e-05,0.00035796751458239123,0.0
vvLN,True,3,2150,8.835711903290296,8.835822712150271,9.926238622881556e-05,2.2258036258193672e-05,0.000233348744125017,0.0
vvLN,True,3,2300,8.99752962646794,9.090976893832114,0.08998132642857115,0.01665185220181407,0.2662683211671299,2.1410865736084834
vvLN,True,10,2100,7.4825100031049985,7.482665120077053,0.00019134471402093567,4.5375941133318784e-05,0.00048427336269316604,0.0
vvLN,True,10,2150,8.835711903290296,8.835861633030436,0.00013404152586105056,3.007116535203025e-05,0.0003152474808077343,0.0
vvLN,True,10,2300,8.99752962646794,9.164093083833837,0.12488955323081186,0.022665273529027193,0.3897805132810451,2.1410865736084834
