arm,anchor_ssp,anchor_horizon,lambda_rescale,ssp,horizon,med_cm,spread_cm,vs_n0_med,domain
n0p25,ssp245,2150,3.01278353947579,ssp126,2100,4.181206245375232,0.7659574546268759,0.0,UNVERIFIED
n0p25,ssp245,2150,3.01278353947579,ssp126,2150,6.408378037246744,1.2097115022596814,0.0,UNVERIFIED
n0p25,ssp245,2150,3.01278353947579,ssp126,2300,12.669291570939832,2.3914326789982585,0.0,UNVERIFIED
n0p25,ssp245,2150,3.01278353947579,ssp245,2100,5.397637609751614,46.73009509564252,0.0,UNVERIFIED
n0p25,ssp245,2150,3.01278353947579,ssp245,2150,37.15509590386423,151.56629449167784,0.7884815882446006,UNVERIFIED
n0p25,ssp245,2150,3.01278353947579,ssp245,2300,213.7818212902128,484.6902239299917,55.04448801419164,UNVERIFIED
n0p25,ssp245,2150,3.01278353947579,ssp585,2100,73.78310284815014,89.66045311220975,28.26587821976029,UNVERIFIED
n0p25,ssp245,2150,3.01278353947579,ssp585,2150,250.6213597371991,207.44900842612446,125.54651112849021,UNVERIFIED
n0p25,ssp245,2150,3.01278353947579,ssp585,2300,829.6018099841583,613.7007174488263,469.84416067245,UNVERIFIED
n0p25,ssp245,2300,2.173308948023372,ssp126,2100,4.181206245375232,0.7659574546268759,0.0,ok
n0p25,ssp245,2300,2.173308948023372,ssp126,2150,6.408378037246744,1.2097115022596814,0.0,ok
n0p25,ssp245,2300,2.173308948023372,ssp126,2300,12.669291570939832,2.3914326789982585,0.0,ok
n0p25,ssp245,2300,2.173308948023372,ssp245,2100,5.397637609751614,33.78403661510415,0.0,ok
n0p25,ssp245,2300,2.173308948023372,ssp245,2150,29.459799771812122,109.48717876733667,-6.906814543807506,ok
n0p25,ssp245,2300,2.173308948023372,ssp245,2300,160.59244235592774,350.2207894455211,1.8551090799065832,ok
n0p25,ssp245,2300,2.173308948023372,ssp585,2100,55.40686924134247,65.07774749611804,9.889644612952623,ok
n0p25,ssp245,2300,2.173308948023372,ssp585,2150,186.5073198038541,151.82868113724624,61.43247119514521,ok
n0p25,ssp245,2300,2.173308948023372,ssp585,2300,626.2515639327885,445.9861049043677,266.4939146210802,ok
n0p25,ssp585,2100,1.754999641484878,ssp126,2100,4.181206245375232,0.7659574546268759,0.0,ok
n0p25,ssp585,2100,1.754999641484878,ssp126,2150,6.408378037246744,1.2097115022596814,0.0,ok
n0p25,ssp585,2100,1.754999641484878,ssp126,2300,12.669291570939832,2.3914326789982585,0.0,ok
n0p25,ssp585,2100,1.754999641484878,ssp245,2100,5.397637609751614,27.33302928201592,0.0,ok
n0p25,ssp585,2100,1.754999641484878,ssp245,2150,25.6252417978326,88.51919963178248,-10.741372517787028,ok
n0p25,ssp585,2100,1.754999641484878,ssp245,2300,134.08823074099516,283.21481158441446,-24.649102535026003,ok
n0p25,ssp585,2100,1.754999641484878,ssp585,2100,46.25001135055926,52.828211126808974,0.7327867221694149,ok
n0p25,ssp585,2100,1.754999641484878,ssp585,2150,154.5593610961378,124.1131305124201,29.4845124874289,ok
n0p25,ssp585,2100,1.754999641484878,ssp585,2300,523.9635907444183,364.3316084103128,164.20594143271,ok
n0p25,ssp585,2150,1.392333647759435,ssp126,2100,4.181206245375232,0.7659574546268759,0.0,ok
n0p25,ssp585,2150,1.392333647759435,ssp126,2150,6.408378037246744,1.2097115022596814,0.0,ok
n0p25,ssp585,2150,1.392333647759435,ssp126,2300,12.669291570939832,2.3914326789982585,0.0,ok
n0p25,ssp585,2150,1.392333647759435,ssp245,2100,5.397637609751614,21.740131996644937,0.0,ok
n0p25,ssp585,2150,1.392333647759435,ssp245,2150,22.300754973384837,70.34037149970901,-14.065859342234791,ok
n0p25,ssp585,2150,1.392333647759435,ssp245,2300,111.10959724421826,225.12193828060936,-47.6277360318029,ok
n0p25,ssp585,2150,1.392333647759435,ssp585,2100,38.311194512263654,42.20810248802921,-7.206030116126193,ok
n0p25,ssp585,2150,1.392333647759435,ssp585,2150,126.86110525738769,100.08428976733514,1.7862566486788012,ok
n0p25,ssp585,2150,1.392333647759435,ssp585,2300,432.47691102095234,299.148767706679,72.71926170924405,ok
