ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp245,ais,2300,fixed,2000,178.2475166347444,171.85604659596487,24.739921704428916,325.48287659516257,300.74295489073364,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,ais,2300,joint,2000,158.64522009064166,150.48186935600285,16.314104067953252,335.72071693704584,319.40661286909256,1.062058504363435,0.8900276597722775,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2100,fixed,2000,20.109773948161248,20.137448242772475,17.917427223693938,22.394176582018737,4.476749358324799,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2100,joint,2000,19.818244145295036,20.142441817384807,13.469568231622096,27.264137517608546,13.79456928598645,3.0813807479158006,0.9855030790690281,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2150,fixed,2000,29.628894984412124,29.66966912592746,26.39878354526285,32.99463772797324,6.59585418271039,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2150,joint,2000,29.122525393978343,29.67862214960313,18.644530786957503,41.75295152923869,23.10842074228119,3.5034765933508556,0.9829096025788278,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2300,fixed,2000,46.371881984505784,46.43569717840226,41.316467446372116,51.63957169675238,10.323104250380261,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2300,joint,2000,44.840522444908615,46.43186513021891,25.056282351311335,72.51664651399045,47.46036416267911,4.597489574023324,0.9669765497093942,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,lws,2100,fixed,2000,2.8138468232151475,2.813846823215153,2.8138468232151475,2.8138468232151475,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,lws,2100,joint,2000,2.8138468232151475,2.813846823215153,2.8138468232151475,2.8138468232151475,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,lws,2150,fixed,2000,4.3138468232151554,4.313846823215159,4.3138468232151554,4.3138468232151554,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,lws,2150,joint,2000,4.3138468232151554,4.313846823215159,4.3138468232151554,4.3138468232151554,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,lws,2300,fixed,2000,8.813846823215119,8.813846823215131,8.813846823215119,8.813846823215119,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,lws,2300,joint,2000,8.813846823215119,8.813846823215131,8.813846823215119,8.813846823215119,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,total,2100,fixed,2000,53.608601485276935,61.25142912790753,43.95009259810702,93.21386781028568,49.26377521217866,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,total,2100,joint,2000,53.52176838708618,62.112856719110994,37.232778554887915,107.90943654337332,70.6766579884854,1.434657772046126,0.9983802394432058,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,total,2150,fixed,2000,114.00931651373999,113.55281936183732,67.2258521836771,177.14263948804916,109.91678730437205,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,total,2150,joint,2000,106.18900312165195,111.1837844800158,54.48217910943519,197.69093696718642,143.20875785775124,1.3028834027070855,0.931406365451322,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,total,2300,fixed,2000,271.6996944538836,265.3171513490338,117.32142926842874,418.74676282341403,301.4253335549853,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,total,2300,joint,2000,251.05006215305391,245.52440026175034,86.8481616936004,457.1883903380463,370.3402286444459,1.2286300699303674,0.9239983234344984,scope_slr_fair_uncertainty.jl | Ladrillo L32 | ssp ssp245 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
