param,mean,sd,lo,hi,p05,p50,p95,provenance
anto_alpha,0.36223876,0.26114184,7.3700244e-07,0.9999599,0.033367638,0.30709684,0.8666669,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
anto_beta,0.9759287,0.5780004,2.5803324e-06,1.9999987,0.09504073,0.9573805,1.8952781,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
antarctic_gamma,2.7706168,0.9376221,0.5000172,4.2499385,1.1682719,2.8344574,4.1222043,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
antarctic_alpha,0.29618737,0.23016505,1.0231069e-05,0.9999879,0.0302798,0.23354092,0.79370946,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
ais_mu,10.803983,1.8146734,7.050094,13.649987,7.658277,10.976758,13.399475,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
antarctic_nu,0.008766364,0.0034420667,0.0030000487,0.014999919,0.00354073,0.008655853,0.014317487,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
ais_precip0,0.50865686,0.33630577,0.02600637,1.4999466,0.10657972,0.42593592,1.199535,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
antarctic_kappa,0.05877084,0.016584998,0.025000414,0.084999464,0.02997978,0.0601544,0.08269691,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
ais_iceflow0,1.2367046,0.34099928,0.6000201,1.7999885,0.67649376,1.2517099,1.7470522,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
ais_runoff_h0,1426.0156,403.6118,735.50397,2206.3896,807.6726,1411.1984,2096.828,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
ais_c,97.23491,26.614157,47.501354,142.49982,53.691025,98.18221,137.9467,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
ais_bedheight0,780.0119,22.981419,740.0019,819.99963,744.1342,779.8237,816.05237,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
ais_slope,0.0006282574,6.241866e-05,0.00045041894,0.0007499916,0.00052202557,0.0006298672,0.0007280782,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
antarctic_lambda,0.010340416,0.003575958,0.0017231186,0.02952429,0.0052902335,0.009913323,0.016843138,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
antarctic_temp_threshold,-15.61148,0.43431145,-16.94382,-13.888588,-16.206644,-15.66716,-14.825921,"DAISfastdyn_calibratedParameters_gamma_29Jan2017.nc (MimiBRICK v2.0.0 calibration data), N=800000 members; mean/sd/min/max = MimiBRICK's own prior construction (bounds = paleo min/max); 2026-09-19"
