ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvHL,glaciers,2100,fixed,2000,11.268552754212807,11.293327555321362,9.826103887423015,12.893396232270828,3.0672923448478127,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2100,joint,2000,10.527684316798762,10.728738527116551,8.328577433479468,13.963018829546249,5.63444139606678,1.8369430633278419,0.9342534526328532,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2150,fixed,2000,13.866624997009758,13.915264242844348,11.893036134041145,16.076181128439316,4.183144994398171,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2150,joint,2000,12.70933765420779,12.989062168912712,9.857514922934843,17.37973676967689,7.522221846742045,1.7982216386989633,0.9165415273686619,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2300,fixed,2000,14.889166961978065,14.964361224859488,12.614110814068535,17.49428822124565,4.880177407177115,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2300,joint,2000,13.23695003317859,13.53785944604536,10.195276217741037,18.23368866818171,8.038412450440672,1.6471557854882173,0.8890322787689411,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2100,fixed,2000,8.454984004255651,8.479505498459497,6.62566599724148,10.341099615375864,3.7154336181343837,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2100,joint,2000,7.9764976211794245,8.193302779110091,5.997908461494046,11.147990609408625,5.150082147914579,1.3861321926942594,0.9434077719324614,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2150,fixed,2000,11.659060659029372,11.691418196622347,8.679234242548722,14.667053716316612,5.987819473767891,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2150,joint,2000,10.673006632912106,11.04618222438898,7.578020972685391,15.79011632490786,8.21209535222247,1.371466756504423,0.915425945969874,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2300,fixed,2000,13.062838997279652,13.231618105901056,9.278771176111052,17.748658161951226,8.469886985840175,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
