tag,shift,block,scenario,window,horizon,metric,value
L15,0.0,H,,1950-1992,0,bias_cm,-0.05699907733785948
L15,0.0,H,,1950-1992,0,bias_sigma,-0.3404063740307156
L15,0.0,H,,1950-1992,0,rmse_cm,0.06113294854477365
L15,0.0,H,,1950-1992,0,cov90,0.06976744186046512
L15,0.0,H,,1950-1992,0,band_cm,0.08183485220530698
L15,0.0,H,,1993-2026,0,bias_cm,-0.04051405658404796
L15,0.0,H,,1993-2026,0,bias_sigma,-0.241955549864501
L15,0.0,H,,1993-2026,0,rmse_cm,0.08063766897039785
L15,0.0,H,,1993-2026,0,cov90,0.36363636363636365
L15,0.0,H,,1993-2026,0,band_cm,0.07902233004429092
L15,0.0,P,ssp126,,2100,ais_med,5.6049057502721364
L15,0.0,P,ssp126,,2100,ais_p05,4.439471686335532
L15,0.0,P,ssp126,,2100,ais_p95,7.246898716829677
L15,0.0,P,ssp126,,2100,tipped_frac,0.0205
L15,0.0,P,ssp126,,2150,ais_med,8.730034295892239
L15,0.0,P,ssp126,,2150,ais_p05,6.875685453915727
L15,0.0,P,ssp126,,2150,ais_p95,11.224686068451206
L15,0.0,P,ssp126,,2150,tipped_frac,0.003
L15,0.0,P,ssp126,,2300,ais_med,17.377045261146634
L15,0.0,P,ssp126,,2300,ais_p05,13.712376011409342
L15,0.0,P,ssp126,,2300,ais_p95,22.116487474407712
L15,0.0,P,ssp126,,2300,tipped_frac,0.0045
L15,0.0,P,ssp245,,2100,ais_med,18.308476732339912
L15,0.0,P,ssp245,,2100,ais_p05,5.996863022994092
L15,0.0,P,ssp245,,2100,ais_p95,58.88414440696491
L15,0.0,P,ssp245,,2100,tipped_frac,0.634
L15,0.0,P,ssp245,,2150,ais_med,65.90577833639367
L15,0.0,P,ssp245,,2150,ais_p05,11.883806701063595
L15,0.0,P,ssp245,,2150,ais_p95,130.58709848229395
L15,0.0,P,ssp245,,2150,tipped_frac,0.808
L15,0.0,P,ssp245,,2300,ais_med,212.8429578140481
L15,0.0,P,ssp245,,2300,ais_p05,31.82694068220529
L15,0.0,P,ssp245,,2300,ais_p95,351.8202592643094
L15,0.0,P,ssp245,,2300,tipped_frac,0.8815
L15,0.0,P,ssp585,,2100,ais_med,50.05905774537152
L15,0.0,P,ssp585,,2100,ais_p05,28.675358689079676
L15,0.0,P,ssp585,,2100,ais_p95,82.29599112977984
L15,0.0,P,ssp585,,2100,tipped_frac,1.0
L15,0.0,P,ssp585,,2150,ais_med,118.00883307522994
L15,0.0,P,ssp585,,2150,ais_p05,72.52457602429087
L15,0.0,P,ssp585,,2150,ais_p95,177.00520843532493
L15,0.0,P,ssp585,,2150,tipped_frac,1.0
L15,0.0,P,ssp585,,2300,ais_med,349.8555411989399
L15,0.0,P,ssp585,,2300,ais_p05,221.17175820508652
L15,0.0,P,ssp585,,2300,ais_p95,514.3236824965126
L15,0.0,P,ssp585,,2300,tipped_frac,1.0
L15,-0.04,H,,full,0,bias_cm,-0.03399632993991447
L15,-0.04,H,,full,0,bias_sigma,-0.20303078480730952
L15,-0.04,H,,full,0,rmse_cm,0.06941947968713219
L15,-0.04,H,,full,0,cov90,0.5793650793650794
L15,-0.04,H,,full,0,band_cm,0.17048584140628206
L15,-0.04,H,,1920-1949,0,bias_cm,-0.04862014580843643
L15,-0.04,H,,1920-1949,0,bias_sigma,-0.29036623595486566
L15,-0.04,H,,1920-1949,0,rmse_cm,0.05349821201325421
L15,-0.04,H,,1920-1949,0,cov90,1.0
L15,-0.04,H,,1920-1949,0,band_cm,0.23838898172589743
L15,-0.04,H,,1950-1992,0,bias_cm,-0.06363123167150389
L15,-0.04,H,,1950-1992,0,bias_sigma,-0.380014517077418
L15,-0.04,H,,1950-1992,0,rmse_cm,0.0682015729269104
L15,-0.04,H,,1950-1992,0,cov90,0.2558139534883721
L15,-0.04,H,,1950-1992,0,band_cm,0.11065217353683376
L15,-0.04,H,,1993-2026,0,bias_cm,-0.040628801120880846
L15,-0.04,H,,1993-2026,0,bias_sigma,-0.2426408201100453
L15,-0.04,H,,1993-2026,0,rmse_cm,0.08068866680088461
L15,-0.04,H,,1993-2026,0,cov90,0.36363636363636365
L15,-0.04,H,,1993-2026,0,band_cm,0.08266689546318534
L15,-0.04,P,ssp126,,2100,ais_med,5.580553849301773
L15,-0.04,P,ssp126,,2100,ais_p05,4.463173589595823
L15,-0.04,P,ssp126,,2100,ais_p95,6.927757305764758
L15,-0.04,P,ssp126,,2100,tipped_frac,0.012
L15,-0.04,P,ssp126,,2150,ais_med,8.685396399349674
L15,-0.04,P,ssp126,,2150,ais_p05,6.941571671898333
L15,-0.04,P,ssp126,,2150,ais_p95,10.757789960885209
L15,-0.04,P,ssp126,,2150,tipped_frac,0.003
L15,-0.04,P,ssp126,,2300,ais_med,17.308397049423746
L15,-0.04,P,ssp126,,2300,ais_p05,13.836943151677081
L15,-0.04,P,ssp126,,2300,ais_p95,21.304152226990578
L15,-0.04,P,ssp126,,2300,tipped_frac,0.003
L15,-0.04,P,ssp245,,2100,ais_med,15.930092284316533
L15,-0.04,P,ssp245,,2100,ais_p05,5.9578218973938855
L15,-0.04,P,ssp245,,2100,ais_p95,56.774437190190994
L15,-0.04,P,ssp245,,2100,tipped_frac,0.6025
L15,-0.04,P,ssp245,,2150,ais_med,62.93263199726347
L15,-0.04,P,ssp245,,2150,ais_p05,11.738992088094722
L15,-0.04,P,ssp245,,2150,ais_p95,127.724981438762
L15,-0.04,P,ssp245,,2150,tipped_frac,0.7845
L15,-0.04,P,ssp245,,2300,ais_med,207.80768249925006
L15,-0.04,P,ssp245,,2300,ais_p05,31.28825052949701
L15,-0.04,P,ssp245,,2300,ais_p95,348.45242901978673
L15,-0.04,P,ssp245,,2300,tipped_frac,0.863
L15,-0.04,P,ssp585,,2100,ais_med,49.16016620382476
L15,-0.04,P,ssp585,,2100,ais_p05,27.93766776401183
L15,-0.04,P,ssp585,,2100,ais_p95,81.02414488314353
L15,-0.04,P,ssp585,,2100,tipped_frac,1.0
L15,-0.04,P,ssp585,,2150,ais_med,117.02789260995661
L15,-0.04,P,ssp585,,2150,ais_p05,71.97845272766784
L15,-0.04,P,ssp585,,2150,ais_p95,175.20942462467332
L15,-0.04,P,ssp585,,2150,tipped_frac,1.0
L15,-0.04,P,ssp585,,2300,ais_med,348.1791292554619
L15,-0.04,P,ssp585,,2300,ais_p05,220.52647855618318
L15,-0.04,P,ssp585,,2300,ais_p95,511.87173664926803
L15,-0.04,P,ssp585,,2300,tipped_frac,1.0
L15,-0.077,H,,full,0,bias_cm,-0.043871593118591116
L15,-0.077,H,,full,0,bias_sigma,-0.26200722246658265
L15,-0.077,H,,full,0,rmse_cm,0.07242914263311438
