k,gamma,gamma_on,rate_s,hind_resid_cm,rms_ssp585_r2300,rms_ssp585_x2300,rms_ssp126_r2300,rms_ssp126_x2300,rms_ssp245_r2300,rms_ssp585,rms_cool,rms_all,ours_SSP1-2.6_2100_cm,ours_SSP1-2.6_2300_cm,ours_SSP1-2.6_in_matched,ours_SSP2-4.5_2100_cm,ours_SSP2-4.5_2300_cm,ours_SSP2-4.5_in_matched,ours_SSP5-8.5_2100_cm,ours_SSP5-8.5_2300_cm,ours_SSP5-8.5_in_matched,d2100_585_cm,x_base_2300_585,ours_SSP5-8.5_2300_raw_m,baseline_9514_m,x_base_2300_585_raw,max_dr_calib,phi_585_2300
1.0,0.0,both,1.015245783914344,-8.881784197001252e-16,0.4082203943911438,0.5728274337488117,0.11587726396845824,0.3624137548797499,0.24579518876647016,0.49738071899306185,0.2615253619642525,0.37415550352860244,6.488681542081784,10.075208833708192,True,8.481855934851708,18.34276380018501,True,13.918605675902342,49.94190328175023,True,0.0,1.0,0.5585929082269552,0.05854714175767005,1.0,0.0,0.888852434085232
1.0,0.5,both,1.010794509284303,0.0,0.4067588088891984,0.5703897636710692,0.11688563797078357,0.3639206229918719,0.2478415605874003,0.4953772356041896,0.26301198411037424,0.37371730558450855,6.499282079037673,10.089724175268382,True,8.499246661746255,18.376983013918434,True,13.966468172814334,50.10595297369174,True,0.047862496911992736,1.0032848105731176,0.5602399294202818,0.05848877044292132,1.0029485179082465,0.013036876672993587,0.8913018516740898
1.0,1.0,both,1.0063208228576555,0.0,0.40529539342903054,0.5684286396023976,0.11788608690785067,0.3654069533076115,0.24987144394089805,0.49364738136397784,0.26448384292750643,0.37342484753002997,6.509721794328129,10.10402612521861,True,8.517053441941957,18.411439761469246,True,14.014825703414363,50.29275487595277,True,0.09622002751202174,1.0070251946991926,0.5618856346058408,0.05842899377402601,1.0058946798829531,0.026014665225140947,0.8937890546074794
1.0,2.0,both,0.9975670985443145,-8.881784197001252e-16,0.40273377815604633,0.5650352749457647,0.11982317803598509,0.36838795824248527,0.25376779140651634,0.4906421088741158,0.2673732557855227,0.37307498756387597,6.530609444482421,10.12922704971508,True,8.552411022155791,18.475036464655265,True,14.10841228579799,50.61183577157422,True,0.18980660989564768,1.0134142362585687,0.5650449917366569,0.05831724597346662,1.0115506004725006,0.05179527378290305,0.8984568334737619
1.0,5.0,both,0.9722325497429096,-8.881784197001252e-16,0.3965829207904577,0.5587573369871301,0.12591091467708068,0.37685434939661544,0.2647894231699753,0.48450375370044335,0.2756726305582122,0.3734900192552121,6.591188957421003,10.201276575298209,True,8.657090225055612,18.657861161311743,True,14.378970196642813,51.44135619721568,True,0.4603645207404714,1.0300239441618033,0.5726533701711582,0.057989961253444675,1.025171214559155,0.12776716505482946,0.9102626593983123
1.0,10.0,both,0.9330793329384126,-8.881784197001252e-16,0.39000147056873197,0.5554519107815148,0.13571493709491395,0.3897746165544233,0.2816383679620657,0.4799103938427513,0.2884804823953492,0.3769060727570649,6.686121692098879,10.315182186534805,True,8.81750534265667,18.9171682999388,True,14.802294386114735,52.46596774327608,True,0.8836887102123931,1.0505400134089042,0.5825704933645133,0.05746478997959973,1.0429249723446472,0.2500796265082967,0.9251894887172425
1.0,20.0,both,0.8654934907176977,-8.881784197001252e-16,0.3852063892298057,0.5604113011728218,0.15401865403992734,0.41201216303940136,0.30923323901362937,0.4808558977415582,0.31043032733907594,0.38769724094484276,6.8548512509396975,10.50541739308432,True,9.096173534861464,19.344673805147565,True,15.520430031542457,53.84285566598224,True,1.6018243556401153,1.0781098061526522,0.5953374688908434,0.056516735061659606,1.065780571365505,0.48012334981448196,0.9461340235163496
1.0,50.0,both,0.7182324572219254,-8.881784197001252e-16,0.39113989455225406,0.5880361443921015,0.196639977597698,0.45947410421223384,0.3653823377464583,0.499388087674244,0.3574390325488273,0.4200154545228548,7.24337256183299,10.919994710785682,True,9.742878540561804,20.147328908728838,True,17.102297574796822,55.778203831765765,True,3.1836918988944802,1.1168617967378955,0.6124315750648657,0.054299051430760664,1.0963826537089438,1.0789716350335476,0.9744833592247997
1.0,100.0,both,0.5702261558147739,-8.881784197001252e-16,0.4059322552360198,0.6177525762572077,0.2414754689733449,0.5068637224107057,0.4171979561014878,0.5226850109355625,0.40384624540666986,0.4551207776185594,7.676086571383147,11.332928666610098,True,10.425405584630246,20.886300028464056,True,18.638523874782123,56.980757236839516,True,4.719918198879782,1.1409408431108277,0.6217656692539721,0.051748954524546226,1.113092665690181,1.8681004864434465,0.9880997640312387
1.0,0.5,slow,1.0132391520608692,-8.881784197001252e-16,0.4068692310764346,0.5708785320715037,0.11661879411454276,0.36361980279974343,0.24724273697254517,0.49570397899192015,0.26264568980188857,0.37373604179724856,6.496041105957503,10.08911931381363,True,8.491400941919052,18.37219970926337,True,13.940154067877813,50.08170724347947,True,0.02154839197547176,1.0027993318744888,0.5598809323766356,0.05852467219708486,1.0023058369175664,0.013053954285109108,0.8905614955694581
1.0,1.0,slow,1.0112154183159228,0.0,0.4054739391031766,0.5689058571269517,0.1172722496987548,0.3647960030643419,0.24868584572678692,0.49399544004231366,0.2637382251816965,0.37329252439103894,6.502603975707002,10.102223797346856,True,8.502403928434672,18.40230383251933,True,13.962195079226964,50.22397155503275,True,0.04358940332462247,1.0056479279872699,0.5613009623781681,0.05849823466505479,1.0048479923596034,0.02608380076591192,0.8922561205491661
1.0,2.0,slow,1.0073015575910886,-8.881784197001252e-16,0.4031388938589541,0.5657716516681485,0.11882878277409353,0.3671739474192716,0.2515012921202382,0.4912323938692998,0.26595105265015223,0.37277564748526637,6.516862290566678,10.12215398611021,True,8.52522176343016,18.453396094288564,True,14.003614499244318,50.476020003077565,True,0.08500882334197613,1.010694761036921,0.5635506519125295,0.0584471858290309,1.0088754146580752,0.052068476618753926,0.8956327648758581
1.0,5.0,slow,0.9962966612133304,-8.881784197001252e-16,0.3966503751389042,0.5591059681641879,0.12325651079082439,0.3739035148527475,0.2593587538829332,0.4847324023286701,0.272190478089196,0.3720736413190063,6.559361928308979,10.189220444271088,True,8.581015033352555,18.61378724759335,True,14.133322733487338,51.11331056991989,True,0.2147170575849966,1.0234553993979985,0.5695822524800686,0.058299293832701056,1.0196732613165371,0.12941918644258127,0.9043579255873315
1.0,10.0,slow,0.9782063175128313,-8.881784197001252e-16,0.3895392661612522,0.5529946354310064,0.13091578892652792,0.38437602524893194,0.2711214229115877,0.47830111159024,0.2818928274705518,0.37307763407498584,6.629383292820355,10.292823552910058,True,8.67409997756101,18.826916342612726,True,14.324639837162525,51.84995432732781,True,0.4060341612601839,1.0382054130939542,0.57711537123121,0.058071422285487506,1.0331591445782,0.25649101811749125,0.9149443042712319
1.0,20.0,slow,0.9461742403955254,-8.881784197001252e-16,0.3817438717307177,0.5506726439370845,0.14550132024725676,0.40208656687678457,0.2911616934799329,0.4737978178424937,0.2986745013145895,0.3785731415700733,6.75613827989687,10.453698692119168,True,8.839803556947006,19.142367998400804,True,14.672681572306455,52.805456828919105,True,0.7540758964041139,1.0573376935799577,0.5860295987261421,0.0576430448562478,1.0491175059602431,0.5043404300686913,0.9294524389264734
1.0,50.0,slow,0.8693526834471023,0.0,0.3767354844349375,0.5588649126183527,0.17942291518888712,0.43892268325324507,0.32905544032374584,0.47658137594137373,0.3332282436887973,0.39683316468362556,7.047876610300426,10.749512551842,True,9.229742857700959,19.65637419667046,True,15.446220875556527,54.066885848635025,True,1.5276151996541856,1.08259562202933,0.5977725098329894,0.05657339563043004,1.0701398120688557,1.2045831516408079,0.9487820170759931
1.0,100.0,slow,0.7795845039106956,0.0,0.37968883524896624,0.5722496238738778,0.2102212781321968,0.47043658162605007,0.35926574203662115,0.4856095363749106,0.36266395672057156,0.4162231805532154,7.355338831177125,10.977711986780545,True,9.630097928149826,20.018916492133393,True,16.220883526960186,54.70703876177495,True,2.3022778510578448,1.0954135739109085,0.6024948383534428,0.05522060926637729,1.0785937835584736,2.265550389575784,0.9565478577356382
1.0,0.5,fast,1.0126499378633762,-8.881784197001252e-16,0.4080976604123746,0.572594171825999,0.1160573237276105,0.3627704679925582,0.24647496823435025,0.49719603077818086,0.26192977736057366,0.3742270462827706,6.4914590042902915,10.075766963494996,True,8.489492670838775,18.347415966063643,True,13.94402164627341,49.981232374558445,True,0.025415970371067687,1.0007874968758468,0.5588789962939178,0.058510430692673476,1.000512158430136,0.013048466047279467,0.8895553216176346
1.0,1.0,fast,1.0101815671927963,-8.881784197001252e-16,0.4080704082862652,0.572333956155333,0.11631246667610547,0.3630992575616725,0.24706345729020496,0.49703501661720667,0.2623039030554107,0.3742987117695279,6.494520214716836,10.076699383571487,True,8.496507491740534,18.351614345679728,True,13.971068921144965,50.01805993095047,True,0.05246324524262391,1.0015249048233223,0.5591533589856255,0.058478777606218973,1.0010033259470645,0.026062384531689152,0.8902254577394803
1.0,2.0,fast,1.0051213944480997,-8.881784197001252e-16,0.40798585166758383,0.5721743037710308,0.11669944646555304,0.363650407489998,0.24812687122821656,0.4969083864540765,0.26294950332621664,0.37450319436696383,6.500634004530283,10.078403237809923,True,8.51125520056585,18.360380588470314,True,14.022938532791951,50.0868214337049,True,0.10433285688960936,1.0029017346643179,0.5596081211598829,0.05841418332470209,1.001817446870477,0.051984886195077615,0.891351939972695
1.0,5.0,fast,0.9905161570176684,-8.881784197001252e-16,0.40810901536535354,0.5721368974167684,0.11788602263525191,0.36501566440277544,0.2511998835257407,0.4969374195047925,0.26472308240593884,0.3752675122852146,6.514589410858623,10.080297385244084,True,8.553316678955582,18.390847722299814,True,14.165296558574155,50.195157421668966,True,0.24669088267181394,1.0050709749384197,0.5609729984988268,0.05821949676665572,1.004260867327203,0.12895325764846644,0.8939855060541383
1.0,10.0,fast,0.9674219432106952,-8.881784197001252e-16,0.40875021897432245,0.574170531861329,0.11954728082497314,0.366957849519619,0.2552178692402031,0.4983716189599273,0.26713652967238666,0.37705021353281204,6.536969062276334,10.085318981906617,True,8.61022234364546,18.411286172221686,True,14.3706682332529,50.3704858499448,True,0.45206255735055834,1.0085816226461515,0.5619980845210375,0.057920945289393,1.0060959891254093,0.2546633599773628,0.8970514242549109
1.0,20.0,fast,0.9251387127892801,-8.881784197001252e-16,0.4110454806542282,0.5795014424490558,0.12153335886489233,0.3693510878662479,0.26106041950740877,0.502384468791981,0.27039669996651694,0.38055838843077666,6.566461329875985,10.088586859928343,True,8.703923613810272,18.439201967929904,True,14.696880059858305,50.450752633223985,True,0.7782743839559636,1.0101888257762834,0.5625114311232143,0.057363131679012275,1.007014988623284,0.4973667704795375,0.8988005693592425
1.0,50.0,fast,0.8254639542790567,-8.881784197001252e-16,0.4199150065510616,0.5937440020386698,0.12186343520241365,0.36881047423893676,0.2674215427822022,0.5142278447748985,0.27226588982812094,0.3876200967378677,6.579283226420802,10.062779088730789,True,8.85168038201205,18.408662376505816,True,15.258695429361548,50.23505791247827,True,1.340089753459207,1.0058699130682744,0.5587556737454302,0.056032815586214896,1.000291384863785,1.1666690392828432,0.8942566024003604
1.0,100.0,fast,0.7106941046528078,-8.881784197001252e-16,0.43270670878167533,0.6072836902686193,0.116602098452604,0.36012276283331535,0.26604966176521944,0.5272706023907182,0.2671247375288922,0.39245266020007574,6.518579412917575,9.960177239712557,True,8.901861041866043,18.220586254641788,True,15.64611131976938,49.54714177877288,True,1.7275056438670386,0.9920955855296448,0.5504642415519638,0.054491812024612195,0.9854479594078758,2.1393110661121253,0.8818109162521298
