ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp245,glaciers,2100,fixed,2000,9.935167246971123,9.948770785314055,8.674978328211623,11.363680214499922,2.6887018862882996,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2100,joint,2000,9.722654459880456,9.948707493468893,7.621796584029248,13.221791910210717,5.599995326181469,2.0827877403367143,0.9786100443195404,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2150,fixed,2000,13.748793785071404,13.80075231672566,11.823389776196466,15.943295160090114,4.119905383893649,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2150,joint,2000,13.409355908295353,13.700527445776848,10.081448992893211,18.569923611571717,8.488474618678506,2.0603566897102383,0.9753114431649549,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2300,fixed,2000,18.71641777258395,18.791438837720353,15.736694596602092,22.138115679577464,6.4014210829753715,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,glaciers,2300,joint,2000,18.06155008027173,18.38525621515261,13.168774811276613,24.651578109426993,11.48280329815038,1.7937897147070958,0.965011056054141,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2100,fixed,2000,7.485523297245688,7.486896617512578,5.983050949335036,8.978139927224436,2.9950889778894005,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2100,joint,2000,7.3086164614433144,7.547159984107602,5.61268051721886,10.310089162632512,4.697408645413652,1.568370315570342,0.9763668044600881,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2150,fixed,2000,11.54836164743772,11.5718152388585,8.647766517225307,14.448046747678243,5.800280230452936,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2150,joint,2000,11.177401928172838,11.801123373007655,7.939432269497732,17.465247130740128,9.525814861242395,1.6423025238038436,0.9678777188842898,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,gis,2300,fixed,2000,19.183186787828447,19.296889161973414,13.010004517762978,26.188130229883967,13.17812571212099,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp245 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
