V_m,onset_K,tau_yr,within_inventory,rms_ssp585,rms_cool,rms_all,rms_ssp585_r2300,ssp585_r2300_2150,ssp585_r2300_2150_in,rms_ssp585_x2300,ssp585_x2300_2150,ssp585_x2300_2150_in,rms_ssp126_r2300,ssp126_r2300_2150,ssp126_r2300_2150_in,rms_ssp126_x2300,ssp126_x2300_2150,ssp126_x2300_2150_in,rms_ssp245_r2300,ssp245_r2300_2150,ssp245_r2300_2150_in,ours_SSP1-2.6_2300_cm,ours_SSP1-2.6_d2100_cm,ours_SSP1-2.6_in_matched,ours_SSP2-4.5_2300_cm,ours_SSP2-4.5_d2100_cm,ours_SSP2-4.5_in_matched,ours_SSP5-8.5_2300_cm,ours_SSP5-8.5_d2100_cm,ours_SSP5-8.5_in_matched,bands_ok,keeps_2100,shape_better,all_pass
0.25,3.2,100,True,0.4548852851423123,0.261566934595672,0.35187868054184107,0.3118714342794373,42.497465372763145,True,0.5626521605383669,59.50576705028834,False,0.11587726396845824,8.431715672049059,True,0.3624137548797499,9.162252705580592,False,0.24592786298114835,13.388512224400579,True,10.075208833708192,0.0,True,18.34276380018501,0.0,True,72.17578928068761,4.354226646727543,True,True,False,True,False
0.25,3.2,200,True,0.4163444655964017,0.26155514697001964,0.33224048903919956,0.2506592538160572,36.820053258658106,True,0.5327807865735062,53.832536690267375,False,0.11587726396845824,8.431715672049059,True,0.3624137548797499,9.162252705580592,False,0.24589024927530273,13.386943534566482,True,10.075208833708192,0.0,True,18.34276380018501,0.0,True,66.60649330240545,2.2851006686952178,True,True,False,True,False
0.25,3.2,400,True,0.42360548365470596,0.2615434449747076,0.3358863296987207,0.2693899084502637,32.94557659474248,True,0.5350815720895584,49.96390879377027,True,0.11587726396845824,8.431715672049059,True,0.3624137548797499,9.162252705580592,False,0.24585290479646268,13.385731613930481,True,10.075208833708192,0.0,True,18.34276380018501,0.0,True,60.49789388146036,1.170941105864474,True,True,False,True,False
0.25,3.2,800,True,0.44754722411284614,0.2615353690726349,0.3480802446132519,0.3176131259076322,30.67999667809396,True,0.5474659239381122,47.70266589559657,True,0.11587726396845824,8.431715672049059,True,0.3624137548797499,9.162252705580592,False,0.2458271299043759,13.384993110350191,True,10.075208833708192,0.0,True,18.34276380018501,0.0,True,55.93649053493255,0.5927504631168605,True,True,False,True,False
0.25,3.2,1600,True,0.468348088476586,0.2615306323614882,0.35885782113520776,0.3565828591610982,29.45464985777125,True,0.5581653236379347,46.47991840070624,True,0.11587726396845824,8.431715672049059,True,0.3624137548797499,9.162252705580592,False,0.24581201142203069,13.384587010523823,True,10.075208833708192,0.0,True,18.34276380018501,0.0,True,53.14350949477031,0.298218504228169,True,True,False,True,False
0.25,3.2,2200,True,0.4753561306940473,0.26152925025735524,0.36252435730509347,0.3692970777921637,29.109134022268528,True,0.5617353205122506,46.13516611347177,True,0.11587726396845824,8.431715672049059,True,0.3624137548797499,9.162252705580592,False,0.2458075999428574,13.38447177700962,True,10.075208833708192,0.0,True,18.34276380018501,0.0,True,52.313227632232994,0.2172537736776921,True,True,False,True,False
0.25,3.2,2700,True,0.4790550851373981,0.26152855276045484,0.36446648705167217,0.3759376986643111,28.936673737060204,True,0.5636119195998086,45.963091873504965,True,0.11587726396845824,8.431715672049059,True,0.3624137548797499,9.162252705580592,False,0.24580537361107233,13.384414148387576,True,10.075208833708192,0.0,True,18.34276380018501,0.0,True,51.89166725771621,0.17716975920906694,True,True,False,True,False
0.25,3.2,3200,True,0.48169364799530295,0.2615280673870791,0.36585470644279194,0.38064704302520436,28.81739732948628,True,0.5649472273356281,45.84408436631337,True,0.11587726396845824,8.431715672049059,True,0.3624137548797499,9.162252705580592,False,0.24580382434536405,13.38437424925755,True,10.075208833708192,0.0,True,18.34276380018501,0.0,True,51.59731557882093,0.14957301517401828,True,True,False,True,False
0.25,4.0,100,True,0.4247269433008976,0.2615253619642525,0.33644390248094785,0.27189696773217026,41.1955376001162,True,0.5355912542877255,58.30954976890993,False,0.11587726396845824,8.431715672049059,True,0.3624137548797499,9.162252705580592,False,0.24579518876647016,13.38415481593147,True,10.075208833708192,0.0,True,18.34276380018501,0.0,True,71.70108496047528,1.0901581196120609,True,True,False,True,False
0.25,4.0,200,True,0.40189335439125956,0.2615253619642525,0.32503017750950974,0.23161209629685967,35.85351759534628,True,0.5190302240300572,52.943546836803066,True,0.11587726396845824,8.431715672049059,True,0.3624137548797499,9.162252705580592,False,0.24579518876647016,13.38415481593147,True,10.075208833708192,0.0,True,18.34276380018501,0.0,True,65.92142494747755,0.5557989953600971,True,True,False,True,False
