V_m,onset_K,tau_yr,within_inventory,rms_ssp585,rms_cool,rms_all,stages,rms_ssp585_r2300,ssp585_r2300_2150,ssp585_r2300_2150_in,rms_ssp585_x2300,ssp585_x2300_2150,ssp585_x2300_2150_in,rms_ssp126_r2300,ssp126_r2300_2150,ssp126_r2300_2150_in,rms_ssp126_x2300,ssp126_x2300_2150,ssp126_x2300_2150_in,rms_ssp245_r2300,ssp245_r2300_2150,ssp245_r2300_2150_in,ours_SSP1-2.6_2300_cm,ours_SSP1-2.6_d2100_cm,ours_SSP1-2.6_in_matched,ours_SSP2-4.5_2300_cm,ours_SSP2-4.5_d2100_cm,ours_SSP2-4.5_in_matched,ours_SSP5-8.5_2300_cm,ours_SSP5-8.5_d2100_cm,ours_SSP5-8.5_in_matched,bands_ok,keeps_2100,shape_better,all_pass
0.25,1.6,100,True,0.4746781725419,0.9065601522495293,0.7637005517760879,2,0.345306047724067,44.623516835940094,True,0.5756756624876719,61.43080629054834,False,0.5544879683831696,13.796662593079585,False,1.1114460433484903,20.982314766506587,False,0.9606168406723676,27.95748759912525,False,13.364397755546127,2.2049354673387795,True,42.172715920322474,5.02636718798498,False,74.02644444151893,7.39143687696035,True,False,False,False,False
0.25,1.6,200,True,0.3990908450038472,0.6575137590651265,0.5684223843607198,2,0.22843016409607977,35.9003876060105,True,0.5161072226415822,52.75386768956626,True,0.36306913353988524,10.84858047433042,True,0.8307067660246894,14.629819333712701,False,0.6892605481465326,19.81969413746864,False,12.970139508932638,0.7741990423670811,True,35.6857218394489,1.680358705892641,False,68.00684427440282,2.5847127207364466,True,False,False,False,False
0.25,1.6,400,True,0.4254417761250084,0.43457961061980255,0.4309477285342576,2,0.2818128621701309,30.89177107793202,True,0.5315852899208954,47.84259705303326,True,0.20313450864521884,9.263245475077321,True,0.5726542699264938,11.072606607372043,False,0.44427668454668806,15.572055372719282,False,11.702015462936476,0.23084862803897271,True,26.817347522769033,0.48882508064608116,False,59.021737771676996,0.7692315956540609,True,False,True,False,False
0.25,1.6,800,True,0.4673127005155682,0.3148395891368681,0.38317991095304615,2,0.3573562573835793,28.978781510391062,True,0.5559305940808684,45.98125690999509,True,0.1312308125858216,8.677040834444949,True,0.4300421757055057,9.730553017452614,False,0.3085678233487018,14.025510335248796,False,10.708831557578037,0.06312521999177817,True,21.407555701015973,0.1320282777078112,True,53.28347516952813,0.21015152461956463,True,True,True,False,False
0.25,1.6,1600,True,0.48778043977533647,0.27534501544221424,0.3750477696084756,2,0.39221262243476895,28.386492164386063,True,0.567475791252528,45.407271041046016,True,0.11722472846481764,8.498437691529412,True,0.38067258082289196,9.317480075108355,False,0.26228111223000433,13.558007424583998,False,10.27455253427124,0.016511031282713078,True,19.271807687817606,0.03432093141083546,True,50.964506194901844,0.05494238680064602,True,True,True,False,False
0.25,1.6,2200,True,0.4919686418179738,0.2688817192889814,0.37442180117291235,2,0.3992228960480236,28.28428393878944,True,0.5698134504690746,45.30839886153487,True,0.11621100223855964,8.467832796737497,True,0.3722490519170909,9.2463782272564,False,0.25459336835222607,13.478176005678536,False,10.187565981286838,0.008841816661542067,True,18.861146688944782,0.01834830733989406,True,50.51401369546915,0.029418581417087305,True,True,True,False,False
0.25,1.6,2700,True,0.4936750399132571,0.26643083323873956,0.37426895590406084,2,0.4020676983010948,28.244584477499295,True,0.5707640984238338,45.27001647319594,True,0.11598422613632042,8.45597086930673,True,0.369007948301967,9.21878220324147,False,0.2516683533509904,13.447267881044784,False,10.152194022339517,0.005906299545215541,True,18.69618799714609,0.012246425760892438,True,50.33247674968162,0.01965031597746013,True,True,True,False,False
0.25,1.6,3200,True,0.49468686242455256,0.2650311584437735,0.37420708933665114,2,0.4037513176743728,28.22162873769828,True,0.571327451805971,45.24782909936457,True,0.11590140062025737,8.449119955237466,True,0.3671426958180459,9.202831832692391,False,0.24999530211559215,13.429427274020265,False,10.13121906040797,0.0042225058261431934,True,18.599018909496976,0.008750165004515916,True,50.22535417164105,0.014047737199233494,True,True,True,False,False
0.25,1.85,100,True,0.4624871029405621,0.7455470952413672,0.6473499910313167,2,0.3293529073717953,44.04225668232775,True,0.5650799086664238,60.91164431522458,False,0.23044587089227395,9.853260402436945,True,0.879317739873929,16.69249544969913,False,0.9171785140310621,26.563284930978277,False,10.114271229092058,0.22983015554632144,True,41.831982893641936,3.0400473259409346,False,73.92843789876753,6.274041437992644,True,False,False,False,False
0.25,1.85,200,True,0.39490246963784836,0.5477924797037965,0.49236688018432895,2,0.22230749427008967,35.459909191974674,True,0.5123234320656216,52.36937803373722,True,0.1633235700638657,9.035477118502381,True,0.6662115523610749,12.560428586404935,False,0.6555283223647499,18.95605848907627,False,10.169112616315523,0.07508436743024569,True,34.856412192201816,0.9714233545635033,False,67.6979146648057,2.118475124942562,True,False,True,False,False
