rff_idx,fair_cfg_idx,seed_idx,post_idx,axis
1,136,572,4534,lhs_s_brick
2,182,812,3713,lhs_s_brick
3,730,615,4557,lhs_s_brick
4,276,103,4499,lhs_s_brick
5,84,461,5197,lhs_s_brick
6,763,609,1595,lhs_s_brick
7,160,380,9394,lhs_s_brick
8,802,74,32,lhs_s_brick
9,629,897,8849,lhs_s_brick
10,584,152,831,lhs_s_brick
11,325,967,8375,lhs_s_brick
12,24,725,7440,lhs_s_brick
13,308,172,5034,lhs_s_brick
14,49,382,6251,lhs_s_brick
15,656,347,9483,lhs_s_brick
16,48,665,9696,lhs_s_brick
17,136,630,7911,lhs_s_brick
18,477,404,1224,lhs_s_brick
19,334,454,3709,lhs_s_brick
20,739,536,546,lhs_s_brick
21,119,667,5886,lhs_s_brick
22,657,476,8639,lhs_s_brick
23,783,266,6123,lhs_s_brick
24,166,615,2738,lhs_s_brick
25,424,815,4024,lhs_s_brick
26,756,439,5494,lhs_s_brick
27,466,928,8813,lhs_s_brick
28,239,578,5119,lhs_s_brick
29,392,841,2056,lhs_s_brick
30,496,973,5139,lhs_s_brick
31,631,80,8319,lhs_s_brick
32,176,782,6524,lhs_s_brick
33,783,459,6838,lhs_s_brick
34,272,842,9615,lhs_s_brick
35,269,509,5326,lhs_s_brick
36,36,13,640,lhs_s_brick
37,743,100,3136,lhs_s_brick
38,750,284,3807,lhs_s_brick
39,546,984,4398,lhs_s_brick
40,785,168,6471,lhs_s_brick
41,490,674,7710,lhs_s_brick
42,633,123,4402,lhs_s_brick
43,712,389,1810,lhs_s_brick
44,522,193,7230,lhs_s_brick
45,659,758,4267,lhs_s_brick
46,352,897,4020,lhs_s_brick
47,725,353,4584,lhs_s_brick
48,604,928,4914,lhs_s_brick
49,216,900,3061,lhs_s_brick
50,504,70,7418,lhs_s_brick
51,606,83,2824,lhs_s_brick
52,537,29,8506,lhs_s_brick
53,721,831,7760,lhs_s_brick
54,411,337,687,lhs_s_brick
55,150,14,8521,lhs_s_brick
56,375,638,4769,lhs_s_brick
57,226,385,2542,lhs_s_brick
58,653,488,459,lhs_s_brick
59,200,722,8765,lhs_s_brick
60,524,970,3968,lhs_s_brick
61,249,767,6733,lhs_s_brick
62,658,856,6837,lhs_s_brick
63,295,634,136,lhs_s_brick
64,652,902,2613,lhs_s_brick
65,777,213,5489,lhs_s_brick
66,806,496,4221,lhs_s_brick
67,457,334,6314,lhs_s_brick
68,386,904,6084,lhs_s_brick
69,695,741,6430,lhs_s_brick
70,572,106,5306,lhs_s_brick
71,693,388,6221,lhs_s_brick
72,839,288,7142,lhs_s_brick
73,818,664,2882,lhs_s_brick
74,389,438,8272,lhs_s_brick
75,805,615,7091,lhs_s_brick
76,210,538,5095,lhs_s_brick
77,285,339,104,lhs_s_brick
78,91,400,4513,lhs_s_brick
79,239,814,9594,lhs_s_brick
80,589,853,749,lhs_s_brick
81,5,895,974,lhs_s_brick
82,397,97,6233,lhs_s_brick
83,276,339,9582,lhs_s_brick
84,366,46,4472,lhs_s_brick
85,595,484,7653,lhs_s_brick
86,808,670,1465,lhs_s_brick
87,598,709,2997,lhs_s_brick
88,221,573,3862,lhs_s_brick
89,189,318,641,lhs_s_brick
90,375,274,5477,lhs_s_brick
91,792,956,9881,lhs_s_brick
92,499,734,2080,lhs_s_brick
93,491,101,5652,lhs_s_brick
94,151,646,2264,lhs_s_brick
95,672,565,7236,lhs_s_brick
96,690,397,9851,lhs_s_brick
97,360,666,536,lhs_s_brick
98,732,721,7668,lhs_s_brick
99,614,4,9891,lhs_s_brick
100,531,375,8565,lhs_s_brick
101,833,26,6584,lhs_s_brick
102,597,42,1954,lhs_s_brick
103,96,92,6928,lhs_s_brick
104,297,447,2974,lhs_s_brick
105,592,266,2163,lhs_s_brick
106,710,300,1781,lhs_s_brick
107,524,829,8308,lhs_s_brick
108,521,692,3095,lhs_s_brick
109,506,71,6026,lhs_s_brick
110,797,686,8840,lhs_s_brick
111,489,363,4754,lhs_s_brick
112,309,835,7421,lhs_s_brick
113,157,705,823,lhs_s_brick
114,770,296,6264,lhs_s_brick
115,444,779,4063,lhs_s_brick
116,825,584,7941,lhs_s_brick
117,188,656,6341,lhs_s_brick
118,314,240,8973,lhs_s_brick
119,604,765,4784,lhs_s_brick
120,797,18,5781,lhs_s_brick
121,413,291,1311,lhs_s_brick
122,320,248,2322,lhs_s_brick
123,85,220,7823,lhs_s_brick
124,282,698,8500,lhs_s_brick
125,825,381,5757,lhs_s_brick
126,460,673,495,lhs_s_brick
127,541,680,8214,lhs_s_brick
128,634,918,9062,lhs_s_brick
129,11,570,1885,lhs_s_brick
130,677,359,9003,lhs_s_brick
131,185,685,518,lhs_s_brick
132,84,212,8043,lhs_s_brick
133,89,209,9948,lhs_s_brick
134,194,439,1588,lhs_s_brick
135,787,967,296,lhs_s_brick
136,427,940,5115,lhs_s_brick
137,66,385,5523,lhs_s_brick
